RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,938,4501,126092,Steyning Grammar School,VC,0,0,-3,3,-9,182,74%,1%,71%,24%,21%,2%,2%,180,74%,-3,3,-9,0,0%,NA,NA,NA,2,SUPP,SUPP,SUPP,SUPP,50%,0%,50%,8%,8%,0%,0%
1,938,4602,126095,"St Wilfrid's Catholic Comprehensive School, Crawley",VA,0,0,-5,3,-13,93,67%,1%,66%,5%,5%,0%,0%,93,67%,-5,3,-13,0,0%,NA,NA,NA,0,0%,NA,NA,NA,55%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,938,4604,140472,"Bishop Luffa School, Chichester",ACC,0,0,9,16,1,122,91%,1%,89%,34%,32%,2%,1%,122,91%,9,16,1,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,4606,126098,"Holy Trinity CofE Secondary School, Crawley",VA,0,0,0,8,-8,92,68%,2%,66%,15%,11%,1%,0%,78,79%,5,14,-4,0,0%,NA,NA,NA,14,7%,-31,-5,-56,92%,0%,92%,25%,8%,SUPP,0%
1,938,4610,126101,St Paul's Catholic College,VA,0,0,5,12,-2,138,80%,1%,78%,20%,15%,1%,1%,130,82%,5,12,-2,8,50%,4,37,-29,0,0%,NA,NA,NA,86%,SUPP,71%,29%,14%,SUPP,SUPP
1,938,4800,144243,St Philip Howard Catholic School,ACC,0,0,15,24,5,88,91%,0%,89%,25%,22%,2%,2%,88,91%,15,23,6,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,6911,135744,The Sir Robert Woodard Academy,AC,0,0,-15,-1,-28,42,52%,0%,50%,12%,12%,0%,2%,39,51%,-19,-6,-31,0,0%,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,78%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,6912,135745,The Littlehampton Academy,AC,0,0,13,25,0,50,80%,2%,76%,10%,8%,0%,2%,50,80%,13,24,1,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,6913,135760,Midhurst Rother College,AC,0,0,0,11,-11,54,74%,2%,72%,20%,11%,0%,0%,54,74%,0,11,-11,0,0%,NA,NA,NA,0,0%,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,6914,135962,Shoreham Academy,AC,0,0,-15,-3,-26,54,48%,4%,43%,4%,4%,0%,2%,43,51%,-16,-3,-28,6,33%,-12,26,-50,5,SUPP,SUPP,SUPP,SUPP,45%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,938,8003,130842,Greater Brighton Metropolitan College,General Further Education College,0,0,-5,-1,-8,626,39%,1%,27%,1%,SP,0%,11%,18,39%,-18,1,-37,40,15%,-22,-6,-37,568,41%,-3,1,-7,30%,1%,21%,0%,SUPP,0%,7%
1,938,8004,130843,Chichester College Group,General Further Education College,0,0,-9,-6,-11,898,43%,1%,35%,5%,4%,0%,6%,266,60%,-11,-6,-15,115,24%,-19,-10,-27,517,38%,-7,-2,-11,39%,1%,28%,1%,1%,0%,9%
1,938,8602,130847,The College of Richard Collyer In Horsham,Sixth Form College,0,0,-9,-5,-12,789,63%,2%,61%,20%,19%,2%,1%,691,66%,-9,-5,-12,27,59%,10,28,-8,71,32%,-12,0,-23,52%,3%,48%,6%,9%,3%,0%
LA,938,,,,,,,-6,NA,NA,4354,58%,1%,53%,12%,11%,1%,4%,2903,68%,-6,NA,NA,229,32%,-11,NA,NA,1222,38%,-6,NA,NA,59%,1%,55%,13%,11%,1%,3%
