"Year","Achieved A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","75","70","0.9470000000000001","0"
"2019","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","105","100","0.925","0"
"2020","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","30","30","0.9380000000000001","0"
"2021","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","45","40","0.867","0"
"2022","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","65","60","0.896","0"
"2023","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","155","140","0.898","0"
"2010","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","205","175","0.852","0"
"2011","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","230","200","0.868","0"
"2012","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","185","165","0.902","0"
"2013","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","170","155","0.917","0"
"2014","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","200","185","0.906","0"
"2015","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","205","195","0.937","0"
"2016","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","195","180","0.929","0"
"2017","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","205","190","0.932","0"
"2018","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","180","170","0.934","0"
"2019","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","240","220","0.905","0"
"2020","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","70","65","0.9410000000000001","0"
"2021","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","100","95","0.9500000000000001","0"
"2022","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","165","155","0.928","0"
"2023","5 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","290","265","0.904","0"
"2010","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","360","325","0.906","0"
"2011","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","410","355","0.864","0"
"2012","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","345","310","0.896","0"
"2013","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","290","270","0.928","0"
"2014","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","360","335","0.93","0"
"2015","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","345","315","0.922","0"
"2016","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","340","315","0.921","0"
"2017","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","315","295","0.9390000000000001","0"
"2018","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","320","300","0.9380000000000001","0"
"2019","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","405","380","0.934","0"
"2020","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","170","155","0.929","0"
"2021","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","155","150","0.9430000000000001","0"
"2022","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","255","235","0.925","0"
"2023","6 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","435","400","0.926","0"
"2010","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","515","465","0.901","0"
"2011","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","630","565","0.899","0"
"2012","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","465","415","0.891","0"
"2013","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","470","440","0.934","0"
"2014","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","485","450","0.926","0"
"2015","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","520","485","0.933","0"
"2016","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","515","465","0.904","0"
"2017","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","500","465","0.926","0"
"2018","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","480","445","0.927","0"
"2019","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","605","565","0.932","0"
"2020","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","285","270","0.9510000000000001","0"
"2021","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","235","225","0.9410000000000001","0"
"2022","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","385","355","0.925","0"
"2023","7 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","630","590","0.9380000000000001","0"
"2010","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","655","585","0.896","0"
"2011","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","800","715","0.896","0"
"2012","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","655","605","0.925","0"
"2013","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","575","525","0.908","0"
"2014","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","695","635","0.914","0"
"2015","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","660","615","0.936","0"
"2016","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","745","695","0.9380000000000001","0"
"2017","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","765","715","0.933","0"
"2018","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","725","695","0.9590000000000001","0"
"2019","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","890","850","0.9540000000000001","0"
"2020","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","510","490","0.9570000000000001","0"
"2021","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","330","310","0.936","0"
"2022","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","565","535","0.9490000000000001","0"
"2023","8 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","865","805","0.932","0"
"2010","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","700","640","0.913","0"
"2011","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","885","805","0.912","0"
"2012","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","740","685","0.927","0"
"2013","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","725","680","0.935","0"
"2014","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","810","750","0.926","0"
"2015","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","845","805","0.9480000000000001","0"
"2016","9 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","945","885","0.933","0"
