"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","Lower tariff","25 - 29","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Lower tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Higher tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","45","10"," "
"2020","Higher tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","35","10"," "
"2021","Higher tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","45","15","0.289"
"2022","Higher tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","30","10"," "
"2023","Higher tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","20","5"," "
"2019","Medium tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","Medium tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2021","Medium tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2022","Medium tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2023","Medium tariff","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Lower tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Higher tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","10"," "
"2020","Higher tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","5"," "
"2021","Higher tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","15","5"," "
"2022","Higher tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","5"," "
"2023","Higher tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","5"," "
"2019","Medium tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Medium tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Medium tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Medium tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Medium tariff","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Higher tariff","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Higher tariff","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Higher tariff","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Lower tariff","18","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Lower tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","10","5"," "
"2020","Lower tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","10","5"," "
"2021","Lower tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","10","5"," "
"2022","Lower tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","60","25","0.435"
"2023","Lower tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","55","20","0.377"
"2019","Higher tariff","21 - 24","England","Female","Main scheme applicant","Main scheme application","40","20","0.45"
