"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2020","Northern Ireland","21 - 24","All","Female","Main scheme applicant","Main scheme application","310","130","0.41500000000000004"
"2021","Northern Ireland","21 - 24","All","Female","Main scheme applicant","Main scheme application","410","115","0.28400000000000003"
"2022","Northern Ireland","21 - 24","All","Female","Main scheme applicant","Main scheme application","310","80","0.266"
"2023","Northern Ireland","21 - 24","All","Female","Main scheme applicant","Main scheme application","265","90","0.333"
"2019","Scotland","21 - 24","All","Female","Main scheme applicant","Main scheme application","1020","530","0.52"
"2020","Scotland","21 - 24","All","Female","Main scheme applicant","Main scheme application","1080","570","0.527"
"2021","Scotland","21 - 24","All","Female","Main scheme applicant","Main scheme application","1230","605","0.491"
"2022","Scotland","21 - 24","All","Female","Main scheme applicant","Main scheme application","1020","480","0.47000000000000003"
"2023","Scotland","21 - 24","All","Female","Main scheme applicant","Main scheme application","850","405","0.47900000000000004"
"2019","Wales","21 - 24","All","Female","Main scheme applicant","Main scheme application","535","230","0.431"
"2020","Wales","21 - 24","All","Female","Main scheme applicant","Main scheme application","525","235","0.442"
"2021","Wales","21 - 24","All","Female","Main scheme applicant","Main scheme application","645","215","0.336"
"2022","Wales","21 - 24","All","Female","Main scheme applicant","Main scheme application","455","135","0.293"
"2023","Wales","21 - 24","All","Female","Main scheme applicant","Main scheme application","335","95","0.277"
"2019","England","25 - 29","All","Female","Main scheme applicant","Main scheme application","3360","1825","0.544"
"2020","England","25 - 29","All","Female","Main scheme applicant","Main scheme application","4025","2300","0.5720000000000001"
"2021","England","25 - 29","All","Female","Main scheme applicant","Main scheme application","5055","2565","0.507"
"2022","England","25 - 29","All","Female","Main scheme applicant","Main scheme application","3935","1880","0.47900000000000004"
"2023","England","25 - 29","All","Female","Main scheme applicant","Main scheme application","3055","1380","0.452"
"2019","Northern Ireland","25 - 29","All","Female","Main scheme applicant","Main scheme application","205","90","0.446"
