"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2021","International","Not EU","Malaysia","18","Female","35","5","5"
"2022","International","Not EU","Malaysia","18","Female","25","5","5"
"2023","International","Not EU","Malaysia","18","Female","45","10","10"
"2019","International","Not EU","Mexico","18","Female","5","0","0"
"2022","International","Not EU","Mexico","18","Female","5","0","0"
"2019","International","Not EU","Morocco","18","Female","5","0","0"
"2019","International","Not EU","Oman","18","Female","5","0","0"
"2020","International","Not EU","Oman","18","Female","5","5","5"
"2021","International","Not EU","Oman","18","Female","5","0","0"
"2022","International","Not EU","Oman","18","Female","15","5","5"
"2023","International","Not EU","Oman","18","Female","5","0","0"
"2022","International","Not EU","Nepal","18","Female","5","0","0"
"2020","International","Not EU","New Zealand","18","Female","5","0","0"
"2021","International","Not EU","New Zealand","18","Female","5","0","0"
"2022","International","Not EU","New Zealand","18","Female","5","0","0"
"2019","International","Not EU","Nigeria","18","Female","10","10","10"
"2020","International","Not EU","Nigeria","18","Female","25","10","10"
"2021","International","Not EU","Nigeria","18","Female","10","5","5"
"2022","International","Not EU","Nigeria","18","Female","15","5","5"
"2023","International","Not EU","Nigeria","18","Female","15","10","10"
"2020","International","Not EU","Norway","18","Female","10","5","5"
"2021","International","Not EU","Norway","18","Female","10","0","0"
"2022","International","Not EU","Norway","18","Female","5","0","0"
"2023","International","Not EU","Norway","18","Female","5","0","0"
"2019","International","Not EU","Pakistan","18","Female","15","10","5"
"2020","International","Not EU","Pakistan","18","Female","25","15","15"
"2021","International","Not EU","Pakistan","18","Female","10","0","0"
"2022","International","Not EU","Pakistan","18","Female","10","5","5"
"2023","International","Not EU","Pakistan","18","Female","15","10","10"
"2023","International","Not EU","Philippines","18","Female","5","0","0"
"2019","International","Not EU","Qatar","18","Female","5","0","0"
"2020","International","Not EU","Qatar","18","Female","5","0","0"
"2021","International","Not EU","Qatar","18","Female","10","0","0"
"2022","International","Not EU","Qatar","18","Female","5","0","0"
"2023","International","Not EU","Qatar","18","Female","10","0","0"
"2019","International","Not EU","Saudi Arabia","18","Female","5","0","0"
"2020","International","Not EU","Saudi Arabia","18","Female","5","5","5"
"2021","International","Not EU","Saudi Arabia","18","Female","10","5","5"
"2022","International","Not EU","Saudi Arabia","18","Female","15","0","0"
"2023","International","Not EU","Saudi Arabia","18","Female","10","5","5"
"2019","International","Not EU","Singapore","18","Female","35","5","5"
"2020","International","Not EU","Singapore","18","Female","55","10","10"
"2021","International","Not EU","Singapore","18","Female","40","0","0"
"2022","International","Not EU","Singapore","18","Female","45","5","5"
"2023","International","Not EU","Singapore","18","Female","55","5","5"
"2020","International","Not EU","South Africa","18","Female","5","0","0"
"2021","International","Not EU","South Africa","18","Female","5","0","0"
"2023","International","Not EU","South Africa","18","Female","5","0","0"
"2019","International","Not EU","Switzerland","18","Female","30","5","5"
"2020","International","Not EU","Switzerland","18","Female","30","10","10"
"2021","International","Not EU","Switzerland","18","Female","40","5","5"
"2022","International","Not EU","Switzerland","18","Female","30","5","5"
"2023","International","Not EU","Switzerland","18","Female","35","10","10"
"2019","International","Not EU","Tanzania, United Republic of","18","Female","5","5","5"
"2019","International","Not EU","Thailand","18","Female","20","5","5"
"2020","International","Not EU","Thailand","18","Female","30","15","15"
"2021","International","Not EU","Thailand","18","Female","20","0","0"
"2022","International","Not EU","Thailand","18","Female","25","5","5"
"2023","International","Not EU","Thailand","18","Female","25","10","10"
"2019","International","Not EU","United Arab Emirates","18","Female","30","10","10"
"2020","International","Not EU","United Arab Emirates","18","Female","55","20","20"
"2021","International","Not EU","United Arab Emirates","18","Female","45","10","10"
"2022","International","Not EU","United Arab Emirates","18","Female","50","15","10"
"2023","International","Not EU","United Arab Emirates","18","Female","75","20","20"
"2019","International","Not EU","Turkey","18","Female","5","0","0"
"2020","International","Not EU","Turkey","18","Female","10","5","5"
"2021","International","Not EU","Turkey","18","Female","10","0","0"
"2022","International","Not EU","Turkey","18","Female","10","5","0"
"2023","International","Not EU","Turkey","18","Female","15","5","0"
"2020","International","Not EU","Uganda","18","Female","5","0","0"
"2022","International","Not EU","Uganda","18","Female","5","0","0"
"2023","International","Not EU","Uganda","18","Female","5","0","0"
"2019","International","Not EU","Egypt","18","Female","10","5","5"
"2020","International","Not EU","Egypt","18","Female","10","5","5"
"2021","International","Not EU","Egypt","18","Female","10","0","0"
"2022","International","Not EU","Egypt","18","Female","10","0","0"
"2023","International","Not EU","Egypt","18","Female","5","0","0"
"2019","International","Not EU","United States of America","18","Female","10","0","0"
"2020","International","Not EU","United States of America","18","Female","15","5","5"
"2021","International","Not EU","United States of America","18","Female","30","0","0"
"2022","International","Not EU","United States of America","18","Female","25","10","10"
"2023","International","Not EU","United States of America","18","Female","30","10","10"
"2019","International","Not EU","Vietnam [Viet Nam]","18","Female","10","5","5"
"2020","International","Not EU","Vietnam [Viet Nam]","18","Female","5","5","5"
"2021","International","Not EU","Vietnam [Viet Nam]","18","Female","5","0","0"
"2022","International","Not EU","Vietnam [Viet Nam]","18","Female","10","0","0"
