"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2023","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","1775"
"2006","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","465"
"2007","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","410"
"2008","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","550"
"2009","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","555"
"2010","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","395"
"2011","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","430"
"2012","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","635"
"2013","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","800"
"2014","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","765"
"2015","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","915"
"2016","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","875"
"2017","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","970"
"2018","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","935"
"2019","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","1055"
"2020","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","1145"
"2021","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","760"
"2022","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","940"
"2023","Direct Clearing","20","England","Female","Not main scheme applicant","Not main scheme application","1180"
"2006","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","815"
"2007","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","1010"
"2008","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","1195"
"2009","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","780"
"2010","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","485"
"2011","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","375"
"2012","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","540"
"2013","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","710"
"2014","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","825"
"2015","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","840"
"2016","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","855"
"2017","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","975"
"2018","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","1335"
"2019","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","1575"
"2020","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","1310"
"2021","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","1275"
"2022","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","1220"
"2023","RPA","20","England","Female","Not main scheme applicant","Not main scheme application","1325"
"2006","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","770"
"2007","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","760"
"2008","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","920"
"2009","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","980"
"2010","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","825"
"2011","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","880"
"2012","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","1265"
"2013","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","1465"
"2014","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","1310"
"2015","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","1475"
"2016","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","1425"
"2017","Direct Clearing","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","1610"
