"Year","Age group","Individual age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","35 and over","40","Northern Ireland","Female","65","30","0.431"
"2006","35 and over","41","Northern Ireland","Female","55","25","0.491"
"2007","35 and over","41","Northern Ireland","Female","30","15","0.5"
"2008","35 and over","41","Northern Ireland","Female","75","50","0.68"
"2009","35 and over","41","Northern Ireland","Female","40","20","0.525"
"2010","35 and over","41","Northern Ireland","Female","60","25","0.4"
"2011","35 and over","41","Northern Ireland","Female","45","25","0.578"
"2012","35 and over","41","Northern Ireland","Female","45","30","0.622"
"2013","35 and over","41","Northern Ireland","Female","40","15","0.35000000000000003"
"2014","35 and over","41","Northern Ireland","Female","65","25","0.41500000000000004"
"2015","35 and over","41","Northern Ireland","Female","55","15","0.255"
"2016","35 and over","41","Northern Ireland","Female","50","10","0.2"
"2017","35 and over","41","Northern Ireland","Female","60","35","0.617"
"2018","35 and over","41","Northern Ireland","Female","60","35","0.583"
"2019","35 and over","41","Northern Ireland","Female","70","40","0.557"
"2020","35 and over","41","Northern Ireland","Female","45","30","0.622"
"2021","35 and over","41","Northern Ireland","Female","75","25","0.333"
"2022","35 and over","41","Northern Ireland","Female","60","20","0.3"
"2023","35 and over","41","Northern Ireland","Female","50","25","0.52"
"2006","35 and over","42","Northern Ireland","Female","50","25","0.52"
"2007","35 and over","42","Northern Ireland","Female","85","55","0.635"
"2008","35 and over","42","Northern Ireland","Female","50","30","0.56"
"2009","35 and over","42","Northern Ireland","Female","30","20","0.7000000000000001"
"2010","35 and over","42","Northern Ireland","Female","85","50","0.5650000000000001"
"2011","35 and over","42","Northern Ireland","Female","45","20","0.422"
"2012","35 and over","42","Northern Ireland","Female","20","10","0.6"
"2013","35 and over","42","Northern Ireland","Female","30","15","0.467"
"2014","35 and over","42","Northern Ireland","Female","55","30","0.509"
"2015","35 and over","42","Northern Ireland","Female","65","20","0.308"
"2016","35 and over","42","Northern Ireland","Female","50","15","0.32"
"2017","35 and over","42","Northern Ireland","Female","35","15","0.4"
"2018","35 and over","42","Northern Ireland","Female","55","25","0.436"
"2019","35 and over","42","Northern Ireland","Female","60","25","0.4"
"2020","35 and over","42","Northern Ireland","Female","65","40","0.6"
"2021","35 and over","42","Northern Ireland","Female","85","30","0.365"
"2022","35 and over","42","Northern Ireland","Female","85","40","0.482"
"2023","35 and over","42","Northern Ireland","Female","45","20","0.489"
"2006","35 and over","43","Northern Ireland","Female","65","35","0.508"
"2007","35 and over","43","Northern Ireland","Female","10","5"," "
"2008","35 and over","43","Northern Ireland","Female","55","45","0.8"
"2009","35 and over","43","Northern Ireland","Female","40","20","0.5"
"2010","35 and over","43","Northern Ireland","Female","40","20","0.5"
"2011","35 and over","43","Northern Ireland","Female","45","20","0.489"
"2012","35 and over","43","Northern Ireland","Female","40","25","0.6"
"2013","35 and over","43","Northern Ireland","Female","40","10","0.275"
"2014","35 and over","43","Northern Ireland","Female","30","15","0.433"
"2015","35 and over","43","Northern Ireland","Female","45","20","0.422"
"2016","35 and over","43","Northern Ireland","Female","50","20","0.4"
"2017","35 and over","43","Northern Ireland","Female","50","25","0.54"
"2018","35 and over","43","Northern Ireland","Female","35","10","0.28600000000000003"
"2019","35 and over","43","Northern Ireland","Female","55","35","0.636"
"2020","35 and over","43","Northern Ireland","Female","40","25","0.6"
"2021","35 and over","43","Northern Ireland","Female","40","20","0.47500000000000003"
"2022","35 and over","43","Northern Ireland","Female","65","25","0.41500000000000004"
"2023","35 and over","43","Northern Ireland","Female","40","25","0.65"
"2006","35 and over","44","Northern Ireland","Female","45","25","0.556"
"2007","35 and over","44","Northern Ireland","Female","25","15","0.56"
"2008","35 and over","44","Northern Ireland","Female","35","20","0.6"
"2009","35 and over","44","Northern Ireland","Female","30","20","0.7000000000000001"
"2010","35 and over","44","Northern Ireland","Female","45","20","0.4"
"2011","35 and over","44","Northern Ireland","Female","40","25","0.5750000000000001"
"2012","35 and over","44","Northern Ireland","Female","40","15","0.4"
"2013","35 and over","44","Northern Ireland","Female","50","25","0.52"
"2014","35 and over","44","Northern Ireland","Female","50","30","0.56"
"2015","35 and over","44","Northern Ireland","Female","40","20","0.45"
"2016","35 and over","44","Northern Ireland","Female","40","20","0.525"
"2017","35 and over","44","Northern Ireland","Female","40","10","0.275"
"2018","35 and over","44","Northern Ireland","Female","50","30","0.58"
"2019","35 and over","44","Northern Ireland","Female","65","35","0.523"
"2020","35 and over","44","Northern Ireland","Female","35","20","0.514"
"2021","35 and over","44","Northern Ireland","Female","50","20","0.38"
"2022","35 and over","44","Northern Ireland","Female","35","10","0.314"
"2023","35 and over","44","Northern Ireland","Female","40","15","0.325"
"2006","35 and over","45","Northern Ireland","Female","5","5"," "
"2007","35 and over","45","Northern Ireland","Female","45","30","0.6890000000000001"
"2008","35 and over","45","Northern Ireland","Female","30","10"," "
"2009","35 and over","45","Northern Ireland","Female","30","10","0.4"
"2010","35 and over","45","Northern Ireland","Female","40","20","0.525"
"2011","35 and over","45","Northern Ireland","Female","40","25","0.65"
"2012","35 and over","45","Northern Ireland","Female","20","10"," "
"2013","35 and over","45","Northern Ireland","Female","45","30","0.622"
"2014","35 and over","45","Northern Ireland","Female","40","25","0.625"
"2015","35 and over","45","Northern Ireland","Female","40","25","0.675"
"2016","35 and over","45","Northern Ireland","Female","40","15","0.325"
"2017","35 and over","45","Northern Ireland","Female","20","10","0.5"
"2018","35 and over","45","Northern Ireland","Female","40","10","0.3"
"2019","35 and over","45","Northern Ireland","Female","40","25","0.6"
"2020","35 and over","45","Northern Ireland","Female","35","15","0.486"
"2021","35 and over","45","Northern Ireland","Female","35","10","0.314"
"2022","35 and over","45","Northern Ireland","Female","35","20","0.543"
"2023","35 and over","45","Northern Ireland","Female","45","20","0.422"
"2006","35 and over","46","Northern Ireland","Female","20","5"," "
"2007","35 and over","46","Northern Ireland","Female","15","10","0.667"
"2008","35 and over","46","Northern Ireland","Female","25","20","0.72"
"2009","35 and over","46","Northern Ireland","Female","25","15","0.52"
"2010","35 and over","46","Northern Ireland","Female","30","20","0.7000000000000001"
"2011","35 and over","46","Northern Ireland","Female","30","15","0.5"
"2012","35 and over","46","Northern Ireland","Female","25","15","0.52"
"2013","35 and over","46","Northern Ireland","Female","25","10"," "
"2014","35 and over","46","Northern Ireland","Female","40","20","0.525"
"2015","35 and over","46","Northern Ireland","Female","40","30","0.725"
"2016","35 and over","46","Northern Ireland","Female","30","10","0.367"
"2017","35 and over","46","Northern Ireland","Female","40","25","0.5750000000000001"
"2018","35 and over","46","Northern Ireland","Female","25","10","0.48"
"2019","35 and over","46","Northern Ireland","Female","15","10","0.8"
"2020","35 and over","46","Northern Ireland","Female","50","35","0.7000000000000001"
"2021","35 and over","46","Northern Ireland","Female","25","5"," "
"2022","35 and over","46","Northern Ireland","Female","25","5"," "
"2023","35 and over","46","Northern Ireland","Female","35","15","0.4"
"2006","35 and over","47","Northern Ireland","Female","25","15","0.64"
"2007","35 and over","47","Northern Ireland","Female","15","10","0.8"
"2008","35 and over","47","Northern Ireland","Female","15","10"," "
"2009","35 and over","47","Northern Ireland","Female","5","5"," "
"2010","35 and over","47","Northern Ireland","Female","25","10","0.44"
"2011","35 and over","47","Northern Ireland","Female","25","10","0.48"
"2012","35 and over","47","Northern Ireland","Female","10","5"," "
"2013","35 and over","47","Northern Ireland","Female","35","20","0.5710000000000001"
"2014","35 and over","47","Northern Ireland","Female","40","20","0.525"
"2015","35 and over","47","Northern Ireland","Female","30","15","0.533"
"2016","35 and over","47","Northern Ireland","Female","55","25","0.491"
"2017","35 and over","47","Northern Ireland","Female","30","10","0.333"
"2018","35 and over","47","Northern Ireland","Female","25","10","0.44"
"2019","35 and over","47","Northern Ireland","Female","25","10"," "
"2020","35 and over","47","Northern Ireland","Female","20","5"," "
"2021","35 and over","47","Northern Ireland","Female","25","5"," "
"2022","35 and over","47","Northern Ireland","Female","15","5"," "
"2023","35 and over","47","Northern Ireland","Female","15","10"," "
"2006","35 and over","48","Northern Ireland","Female","25","10"," "
"2007","35 and over","48","Northern Ireland","Female","10","5"," "
"2008","35 and over","48","Northern Ireland","Female","10","0"," "
"2009","35 and over","48","Northern Ireland","Female","10","5"," "
"2010","35 and over","48","Northern Ireland","Female","25","5"," "
"2011","35 and over","48","Northern Ireland","Female","25","10"," "
"2012","35 and over","48","Northern Ireland","Female","20","5"," "
"2013","35 and over","48","Northern Ireland","Female","20","10"," "
"2014","35 and over","48","Northern Ireland","Female","20","5"," "
"2015","35 and over","48","Northern Ireland","Female","30","5"," "
"2016","35 and over","48","Northern Ireland","Female","30","10"," "
"2017","35 and over","48","Northern Ireland","Female","20","5"," "
"2018","35 and over","48","Northern Ireland","Female","30","10"," "
"2019","35 and over","48","Northern Ireland","Female","15","5"," "
"2020","35 and over","48","Northern Ireland","Female","35","25","0.686"
"2021","35 and over","48","Northern Ireland","Female","25","15","0.52"
"2022","35 and over","48","Northern Ireland","Female","35","10","0.28600000000000003"
"2023","35 and over","48","Northern Ireland","Female","20","20","0.9"
"2006","35 and over","49","Northern Ireland","Female","25","15","0.68"
"2007","35 and over","49","Northern Ireland","Female","40","15","0.425"
"2008","35 and over","49","Northern Ireland","Female","15","10","0.733"
"2009","35 and over","49","Northern Ireland","Female","25","15","0.64"
"2010","35 and over","49","Northern Ireland","Female","5","5"," "
"2011","35 and over","49","Northern Ireland","Female","15","0"," "
"2012","35 and over","49","Northern Ireland","Female","15","5"," "
"2013","35 and over","49","Northern Ireland","Female","20","5"," "
"2014","35 and over","49","Northern Ireland","Female","35","20","0.6"
"2015","35 and over","49","Northern Ireland","Female","20","5"," "
"2016","35 and over","49","Northern Ireland","Female","10","10"," "
"2017","35 and over","49","Northern Ireland","Female","35","5"," "
"2018","35 and over","49","Northern Ireland","Female","15","10"," "
"2019","35 and over","49","Northern Ireland","Female","20","15","0.7000000000000001"
"2020","35 and over","49","Northern Ireland","Female","15","10"," "
"2021","35 and over","49","Northern Ireland","Female","25","10","0.48"
"2022","35 and over","49","Northern Ireland","Female","20","10","0.5"
"2023","35 and over","49","Northern Ireland","Female","20","10","0.55"
"2006","35 and over","50","Northern Ireland","Female","10","5"," "
"2007","35 and over","50","Northern Ireland","Female","20","15","0.65"
"2008","35 and over","50","Northern Ireland","Female","30","20","0.667"
"2009","35 and over","50","Northern Ireland","Female","10","5"," "
"2010","35 and over","50","Northern Ireland","Female","10","10","1"
"2011","35 and over","50","Northern Ireland","Female","10","5"," "
"2013","35 and over","50","Northern Ireland","Female","5","5"," "
"2014","35 and over","50","Northern Ireland","Female","25","10","0.4"
"2015","35 and over","50","Northern Ireland","Female","15","10","0.733"
"2016","35 and over","50","Northern Ireland","Female","20","15","0.7000000000000001"
"2017","35 and over","50","Northern Ireland","Female","10","5"," "
"2018","35 and over","50","Northern Ireland","Female","25","10","0.48"
"2019","35 and over","50","Northern Ireland","Female","20","10","0.55"
"2020","35 and over","50","Northern Ireland","Female","15","10"," "
"2021","35 and over","50","Northern Ireland","Female","35","5"," "
"2022","35 and over","50","Northern Ireland","Female","10","5"," "
"2023","35 and over","50","Northern Ireland","Female","30","15","0.5"
"2007","35 and over","51","Northern Ireland","Female","15","10"," "
"2008","35 and over","51","Northern Ireland","Female","5","5"," "
"2010","35 and over","51","Northern Ireland","Female","10","5"," "
