"Year","Subject group HECoS","Detailed subject group HECoS","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Scotland","All","570","200","0.35100000000000003"
"2020","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Scotland","All","520","220","0.423"
"2021","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Scotland","All","770","235","0.303"
"2022","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Scotland","All","665","205","0.307"
"2023","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Scotland","All","705","225","0.321"
"2019","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Scotland","All","530","205","0.39"
"2020","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Scotland","All","425","205","0.47900000000000004"
"2021","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Scotland","All","475","225","0.47300000000000003"
"2022","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Scotland","All","385","200","0.516"
"2023","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Scotland","All","345","225","0.646"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Wales","All","2860","1665","0.582"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Wales","All","2610","1655","0.634"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Wales","All","2810","1945","0.6920000000000001"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Wales","All","2580","1660","0.644"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Wales","All","2755","1840","0.669"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Wales","All","1555","910","0.585"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Wales","All","1560","930","0.595"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Wales","All","1610","995","0.619"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Wales","All","1610","880","0.548"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Wales","All","1645","925","0.562"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Wales","All","1385","885","0.639"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Wales","All","1405","960","0.684"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Wales","All","1430","1070","0.748"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Wales","All","1665","1145","0.687"
