"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","UK","Scotland","Scotland","17 and under","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2022","UK","Scotland","Scotland","17 and under","Female","Main scheme applicant","Main scheme application","20","0"," ","0"
"2023","UK","Scotland","Scotland","17 and under","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","International","EU (excluding UK)","Ireland","17 and under","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2020","International","EU (excluding UK)","Ireland","17 and under","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2021","International","EU (excluding UK)","Ireland","17 and under","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2022","International","EU (excluding UK)","Ireland","17 and under","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2023","International","EU (excluding UK)","Ireland","17 and under","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2019","UK","England","England","18","Female","Main scheme applicant","Main scheme application","2120","705","0.332","0"
"2020","UK","England","England","18","Female","Main scheme applicant","Main scheme application","2350","925","0.393","0"
"2021","UK","England","England","18","Female","Main scheme applicant","Main scheme application","2875","925","0.322","0"
"2022","UK","England","England","18","Female","Main scheme applicant","Main scheme application","2985","875","0.293","0"
"2023","UK","England","England","18","Female","Main scheme applicant","Main scheme application","2535","990","0.391","0"
"2019","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Main scheme application","175","20","0.115","0"
