"Year","Difference between predicted and achieved SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2012","More than 3 points","White","Main scheme applicant","All","15","10","0.857","0"
"2013","More than 3 points","White","Main scheme applicant","All","10","10","0.917","0"
"2014","More than 3 points","White","Main scheme applicant","All","15","10","0.857","0"
"2015","More than 3 points","White","Main scheme applicant","All","10","5"," ","0"
"2016","More than 3 points","White","Main scheme applicant","All","10","10"," ","0"
"2017","More than 3 points","White","Main scheme applicant","All","10","5"," ","0"
"2018","More than 3 points","White","Main scheme applicant","All","5","5"," ","0"
"2019","More than 3 points","White","Main scheme applicant","All","5","5"," ","0"
"2020","More than 3 points","White","Main scheme applicant","All","10","10"," ","0"
"2021","More than 3 points","White","Main scheme applicant","All","10","10","0.909","0"
"2022","More than 3 points","White","Main scheme applicant","All","10","5"," ","0"
"2023","More than 3 points","White","Main scheme applicant","All","10","10","1","0"
"2010","-1 points","White","Main scheme applicant","All","40","25","0.632","0"
"2011","-1 points","White","Main scheme applicant","All","25","15","0.542","0"
"2012","-1 points","White","Main scheme applicant","All","50","25","0.5630000000000001","0"
"2013","-1 points","White","Main scheme applicant","All","45","35","0.773","0"
"2014","-1 points","White","Main scheme applicant","All","45","30","0.727","0"
"2015","-1 points","White","Main scheme applicant","All","60","35","0.5690000000000001","0"
"2016","-1 points","White","Main scheme applicant","All","35","30","0.811","0"
"2017","-1 points","White","Main scheme applicant","All","45","35","0.733","0"
"2018","-1 points","White","Main scheme applicant","All","35","30","0.848","0"
"2019","-1 points","White","Main scheme applicant","All","30","30","0.875","0"
"2020","-1 points","White","Main scheme applicant","All","35","30","0.886","0"
"2021","-1 points","White","Main scheme applicant","All","45","30","0.744","0"
"2022","-1 points","White","Main scheme applicant","All","25","20","0.769","0"
"2023","-1 points","White","Main scheme applicant","All","30","20","0.71","0"
"2010","-2 points","White","Main scheme applicant","All","40","30","0.737","0"
"2011","-2 points","White","Main scheme applicant","All","40","25","0.643","0"
"2012","-2 points","White","Main scheme applicant","All","35","20","0.541","0"
"2013","-2 points","White","Main scheme applicant","All","35","20","0.588","0"
"2014","-2 points","White","Main scheme applicant","All","45","25","0.6","0"
"2015","-2 points","White","Main scheme applicant","All","45","25","0.5740000000000001","0"
"2016","-2 points","White","Main scheme applicant","All","40","30","0.718","0"
"2017","-2 points","White","Main scheme applicant","All","45","30","0.6890000000000001","0"
"2018","-2 points","White","Main scheme applicant","All","30","20","0.724","0"
"2019","-2 points","White","Main scheme applicant","All","40","25","0.658","0"
"2020","-2 points","White","Main scheme applicant","All","30","25","0.8","0"
"2021","-2 points","White","Main scheme applicant","All","25","20","0.808","0"
"2022","-2 points","White","Main scheme applicant","All","25","25","0.9580000000000001","0"
"2023","-2 points","White","Main scheme applicant","All","30","25","0.8210000000000001","0"
"2010","-3 points","White","Main scheme applicant","All","25","15","0.593","0"
"2011","-3 points","White","Main scheme applicant","All","25","15","0.615","0"
"2012","-3 points","White","Main scheme applicant","All","35","25","0.622","0"
"2013","-3 points","White","Main scheme applicant","All","40","20","0.487","0"
"2014","-3 points","White","Main scheme applicant","All","60","25","0.448","0"
"2015","-3 points","White","Main scheme applicant","All","35","20","0.5","0"
"2016","-3 points","White","Main scheme applicant","All","35","20","0.647","0"
"2017","-3 points","White","Main scheme applicant","All","30","20","0.613","0"
"2018","-3 points","White","Main scheme applicant","All","30","20","0.6880000000000001","0"
"2019","-3 points","White","Main scheme applicant","All","35","20","0.583","0"
"2020","-3 points","White","Main scheme applicant","All","20","10","0.47600000000000003","0"
"2021","-3 points","White","Main scheme applicant","All","15","10","0.588","0"
"2022","-3 points","White","Main scheme applicant","All","20","15","0.619","0"
"2023","-3 points","White","Main scheme applicant","All","20","15","0.833","0"
"2010","-4 points","White","Main scheme applicant","All","20","10","0.55","0"
"2011","-4 points","White","Main scheme applicant","All","20","10"," ","0"
"2012","-4 points","White","Main scheme applicant","All","45","15","0.356","0"
"2013","-4 points","White","Main scheme applicant","All","15","10","0.588","0"
"2014","-4 points","White","Main scheme applicant","All","40","20","0.439","0"
"2015","-4 points","White","Main scheme applicant","All","40","15","0.359","0"
"2016","-4 points","White","Main scheme applicant","All","35","15","0.35100000000000003","0"
"2017","-4 points","White","Main scheme applicant","All","30","20","0.625","0"
"2018","-4 points","White","Main scheme applicant","All","35","20","0.529","0"
"2019","-4 points","White","Main scheme applicant","All","35","20","0.559","0"
"2020","-4 points","White","Main scheme applicant","All","20","15","0.75","0"
"2021","-4 points","White","Main scheme applicant","All","10","10"," ","0"
"2022","-4 points","White","Main scheme applicant","All","10","5"," ","0"
"2023","-4 points","White","Main scheme applicant","All","15","5"," ","0"
"2010","-5 points","White","Main scheme applicant","All","25","15","0.52","0"
"2011","-5 points","White","Main scheme applicant","All","20","10"," ","0"
"2012","-5 points","White","Main scheme applicant","All","35","15","0.417","0"
"2013","-5 points","White","Main scheme applicant","All","25","10"," ","0"
"2014","-5 points","White","Main scheme applicant","All","20","5"," ","0"
"2015","-5 points","White","Main scheme applicant","All","25","10"," ","0"
"2016","-5 points","White","Main scheme applicant","All","25","5"," ","0"
"2017","-5 points","White","Main scheme applicant","All","20","10","0.5","0"
"2018","-5 points","White","Main scheme applicant","All","30","15","0.586","0"
"2019","-5 points","White","Main scheme applicant","All","20","10"," ","0"
"2020","-5 points","White","Main scheme applicant","All","10","5"," ","0"
"2021","-5 points","White","Main scheme applicant","All","10","5"," ","0"
"2022","-5 points","White","Main scheme applicant","All","5","5"," ","0"
"2023","-5 points","White","Main scheme applicant","All","10","5"," ","0"
"2010","-6 points","White","Main scheme applicant","All","20","5"," ","0"
"2011","-6 points","White","Main scheme applicant","All","15","5"," ","0"
"2012","-6 points","White","Main scheme applicant","All","25","5"," ","0"
"2013","-6 points","White","Main scheme applicant","All","15","5"," ","0"
"2014","-6 points","White","Main scheme applicant","All","15","0"," ","0"
"2015","-6 points","White","Main scheme applicant","All","20","5"," ","0"
"2016","-6 points","White","Main scheme applicant","All","25","10"," ","0"
"2017","-6 points","White","Main scheme applicant","All","25","10"," ","0"
"2018","-6 points","White","Main scheme applicant","All","20","10"," ","0"
"2019","-6 points","White","Main scheme applicant","All","20","10"," ","0"
"2020","-6 points","White","Main scheme applicant","All","5","0"," ","0"
"2021","-6 points","White","Main scheme applicant","All","10","5"," ","0"
"2022","-6 points","White","Main scheme applicant","All","10","5"," ","0"
"2023","-6 points","White","Main scheme applicant","All","5","5"," ","0"
"2010","Less than -6 points","White","Main scheme applicant","All","40","10"," ","0"
"2011","Less than -6 points","White","Main scheme applicant","All","40","10"," ","0"
"2012","Less than -6 points","White","Main scheme applicant","All","55","5"," ","0"
"2013","Less than -6 points","White","Main scheme applicant","All","45","5"," ","0"
"2014","Less than -6 points","White","Main scheme applicant","All","60","10"," ","0"
"2015","Less than -6 points","White","Main scheme applicant","All","65","10"," ","0"
"2016","Less than -6 points","White","Main scheme applicant","All","40","5"," ","0"
"2017","Less than -6 points","White","Main scheme applicant","All","40","5"," ","0"
"2018","Less than -6 points","White","Main scheme applicant","All","50","15","0.32","0"
"2019","Less than -6 points","White","Main scheme applicant","All","40","10","0.23800000000000002","0"
"2020","Less than -6 points","White","Main scheme applicant","All","10","5"," ","0"
"2021","Less than -6 points","White","Main scheme applicant","All","30","15","0.5","0"
"2022","Less than -6 points","White","Main scheme applicant","All","30","10","0.367","0"
"2023","Less than -6 points","White","Main scheme applicant","All","35","10","0.306","0"
"2020","0 points","Black","Main scheme applicant","All","5","5"," ","0"
"2021","0 points","Black","Main scheme applicant","All","5","5"," ","0"
"2022","0 points","Black","Main scheme applicant","All","5","5"," ","0"
"2021","2 points","Black","Main scheme applicant","All","5","5"," ","0"
"2021","More than 3 points","Black","Main scheme applicant","All","5","5"," ","0"
"2019","-1 points","Black","Main scheme applicant","All","5","5"," ","0"
"2022","-1 points","Black","Main scheme applicant","All","5","5"," ","0"
"2016","-2 points","Black","Main scheme applicant","All","5","0"," ","0"
