"Year","Difference between predicted and achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","-2 points","All","Main scheme applicant","Not main scheme application","110","75","0.706","0"
"2011","-2 points","All","Main scheme applicant","Not main scheme application","130","90","0.708","0"
"2012","-2 points","All","Main scheme applicant","Not main scheme application","155","115","0.732","0"
"2013","-2 points","All","Main scheme applicant","Not main scheme application","170","130","0.769","0"
"2014","-2 points","All","Main scheme applicant","Not main scheme application","205","175","0.844","0"
"2015","-2 points","All","Main scheme applicant","Not main scheme application","245","210","0.849","0"
"2016","-2 points","All","Main scheme applicant","Not main scheme application","230","200","0.87","0"
"2017","-2 points","All","Main scheme applicant","Not main scheme application","160","140","0.877","0"
"2018","-2 points","All","Main scheme applicant","Not main scheme application","175","160","0.904","0"
"2019","-2 points","All","Main scheme applicant","Not main scheme application","210","190","0.901","0"
"2020","-2 points","All","Main scheme applicant","Not main scheme application","190","175","0.901","0"
"2021","-2 points","All","Main scheme applicant","Not main scheme application","245","220","0.906","0"
"2022","-2 points","All","Main scheme applicant","Not main scheme application","305","265","0.865","0"
"2023","-2 points","All","Main scheme applicant","Not main scheme application","300","280","0.927","0"
"2010","-3 points","All","Main scheme applicant","Not main scheme application","50","40","0.731","0"
"2011","-3 points","All","Main scheme applicant","Not main scheme application","85","55","0.643","0"
"2012","-3 points","All","Main scheme applicant","Not main scheme application","95","80","0.8250000000000001","0"
"2013","-3 points","All","Main scheme applicant","Not main scheme application","110","90","0.795","0"
"2014","-3 points","All","Main scheme applicant","Not main scheme application","130","105","0.8220000000000001","0"
"2015","-3 points","All","Main scheme applicant","Not main scheme application","155","130","0.857","0"
"2016","-3 points","All","Main scheme applicant","Not main scheme application","125","105","0.811","0"
"2017","-3 points","All","Main scheme applicant","Not main scheme application","100","85","0.85","0"
"2018","-3 points","All","Main scheme applicant","Not main scheme application","105","90","0.86","0"
"2019","-3 points","All","Main scheme applicant","Not main scheme application","110","95","0.874","0"
"2020","-3 points","All","Main scheme applicant","Not main scheme application","115","100","0.87","0"
"2021","-3 points","All","Main scheme applicant","Not main scheme application","160","150","0.914","0"
"2022","-3 points","All","Main scheme applicant","Not main scheme application","175","140","0.8150000000000001","0"
"2023","-3 points","All","Main scheme applicant","Not main scheme application","145","130","0.877","0"
"2010","-4 points","All","Main scheme applicant","Not main scheme application","35","25","0.771","0"
"2011","-4 points","All","Main scheme applicant","Not main scheme application","50","35","0.74","0"
"2012","-4 points","All","Main scheme applicant","Not main scheme application","75","55","0.724","0"
"2013","-4 points","All","Main scheme applicant","Not main scheme application","55","50","0.842","0"
"2014","-4 points","All","Main scheme applicant","Not main scheme application","90","70","0.783","0"
"2015","-4 points","All","Main scheme applicant","Not main scheme application","110","85","0.755","0"
"2016","-4 points","All","Main scheme applicant","Not main scheme application","70","55","0.838","0"
"2017","-4 points","All","Main scheme applicant","Not main scheme application","65","60","0.921","0"
"2018","-4 points","All","Main scheme applicant","Not main scheme application","65","55","0.873","0"
"2019","-4 points","All","Main scheme applicant","Not main scheme application","65","55","0.862","0"
"2020","-4 points","All","Main scheme applicant","Not main scheme application","70","65","0.914","0"
"2021","-4 points","All","Main scheme applicant","Not main scheme application","90","80","0.911","0"
"2022","-4 points","All","Main scheme applicant","Not main scheme application","100","80","0.765","0"
"2023","-4 points","All","Main scheme applicant","Not main scheme application","70","55","0.789","0"
"2010","-5 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","-5 points","All","Main scheme applicant","Not main scheme application","25","20","0.741","0"
"2012","-5 points","All","Main scheme applicant","Not main scheme application","35","25","0.727","0"
"2013","-5 points","All","Main scheme applicant","Not main scheme application","30","25","0.806","0"
"2014","-5 points","All","Main scheme applicant","Not main scheme application","60","50","0.8280000000000001","0"
"2015","-5 points","All","Main scheme applicant","Not main scheme application","45","35","0.745","0"
"2016","-5 points","All","Main scheme applicant","Not main scheme application","35","25","0.722","0"
"2017","-5 points","All","Main scheme applicant","Not main scheme application","40","30","0.769","0"
"2018","-5 points","All","Main scheme applicant","Not main scheme application","35","25","0.758","0"
"2019","-5 points","All","Main scheme applicant","Not main scheme application","40","30","0.842","0"
"2020","-5 points","All","Main scheme applicant","Not main scheme application","25","25","1","0"
"2021","-5 points","All","Main scheme applicant","Not main scheme application","30","25","0.806","0"
"2022","-5 points","All","Main scheme applicant","Not main scheme application","50","35","0.725","0"
"2023","-5 points","All","Main scheme applicant","Not main scheme application","60","50","0.836","0"
"2010","-6 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","-6 points","All","Main scheme applicant","Not main scheme application","20","15","0.762","0"
"2012","-6 points","All","Main scheme applicant","Not main scheme application","20","15","0.789","0"
"2013","-6 points","All","Main scheme applicant","Not main scheme application","20","15","0.895","0"
"2014","-6 points","All","Main scheme applicant","Not main scheme application","40","30","0.769","0"
"2015","-6 points","All","Main scheme applicant","Not main scheme application","25","20","0.8","0"
"2016","-6 points","All","Main scheme applicant","Not main scheme application","30","20","0.645","0"
"2017","-6 points","All","Main scheme applicant","Not main scheme application","25","20","0.778","0"
"2018","-6 points","All","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2019","-6 points","All","Main scheme applicant","Not main scheme application","25","20","0.75","0"
"2020","-6 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","-6 points","All","Main scheme applicant","Not main scheme application","25","20","0.913","0"
"2022","-6 points","All","Main scheme applicant","Not main scheme application","25","20","0.731","0"
"2023","-6 points","All","Main scheme applicant","Not main scheme application","15","15","0.8240000000000001","0"
"2010","Less than -6 points","All","Main scheme applicant","Not main scheme application","15","10","0.769","0"
"2011","Less than -6 points","All","Main scheme applicant","Not main scheme application","25","20","0.917","0"
"2012","Less than -6 points","All","Main scheme applicant","Not main scheme application","25","20","0.769","0"
"2013","Less than -6 points","All","Main scheme applicant","Not main scheme application","35","25","0.788","0"
"2014","Less than -6 points","All","Main scheme applicant","Not main scheme application","55","40","0.736","0"
"2015","Less than -6 points","All","Main scheme applicant","Not main scheme application","65","55","0.806","0"
"2016","Less than -6 points","All","Main scheme applicant","Not main scheme application","65","50","0.778","0"
"2017","Less than -6 points","All","Main scheme applicant","Not main scheme application","60","50","0.8140000000000001","0"
"2018","Less than -6 points","All","Main scheme applicant","Not main scheme application","40","30","0.738","0"
"2019","Less than -6 points","All","Main scheme applicant","Not main scheme application","45","35","0.8220000000000001","0"
"2020","Less than -6 points","All","Main scheme applicant","Not main scheme application","25","25","0.889","0"
"2021","Less than -6 points","All","Main scheme applicant","Not main scheme application","20","20","0.9550000000000001","0"
"2022","Less than -6 points","All","Main scheme applicant","Not main scheme application","40","25","0.684","0"
