"Year","Difference between predicted and achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","-1 points","Other","Main scheme applicant","All","195","160","0.839","0"
"2010","-2 points","Other","Main scheme applicant","All","5","5"," ","0"
"2011","-2 points","Other","Main scheme applicant","All","15","10"," ","0"
"2012","-2 points","Other","Main scheme applicant","All","25","20","0.8150000000000001","0"
"2013","-2 points","Other","Main scheme applicant","All","30","25","0.767","0"
"2014","-2 points","Other","Main scheme applicant","All","35","25","0.794","0"
"2015","-2 points","Other","Main scheme applicant","All","40","30","0.842","0"
"2016","-2 points","Other","Main scheme applicant","All","45","35","0.8140000000000001","0"
"2017","-2 points","Other","Main scheme applicant","All","40","35","0.9","0"
"2018","-2 points","Other","Main scheme applicant","All","50","50","0.98","0"
"2019","-2 points","Other","Main scheme applicant","All","55","45","0.8210000000000001","0"
"2020","-2 points","Other","Main scheme applicant","All","60","55","0.918","0"
"2021","-2 points","Other","Main scheme applicant","All","70","60","0.873","0"
"2022","-2 points","Other","Main scheme applicant","All","85","65","0.774","0"
"2023","-2 points","Other","Main scheme applicant","All","85","70","0.8280000000000001","0"
"2010","-3 points","Other","Main scheme applicant","All","5","0"," ","0"
"2011","-3 points","Other","Main scheme applicant","All","10","5"," ","0"
"2012","-3 points","Other","Main scheme applicant","All","15","10","0.667","0"
"2013","-3 points","Other","Main scheme applicant","All","10","5"," ","0"
"2014","-3 points","Other","Main scheme applicant","All","15","5"," ","0"
"2015","-3 points","Other","Main scheme applicant","All","25","20","0.875","0"
"2016","-3 points","Other","Main scheme applicant","All","20","15","0.833","0"
"2017","-3 points","Other","Main scheme applicant","All","20","15","0.85","0"
"2018","-3 points","Other","Main scheme applicant","All","25","20","0.704","0"
"2019","-3 points","Other","Main scheme applicant","All","20","20","0.9470000000000001","0"
"2020","-3 points","Other","Main scheme applicant","All","35","30","0.848","0"
"2021","-3 points","Other","Main scheme applicant","All","45","35","0.841","0"
"2022","-3 points","Other","Main scheme applicant","All","45","35","0.787","0"
"2023","-3 points","Other","Main scheme applicant","All","40","30","0.789","0"
"2010","-4 points","Other","Main scheme applicant","All","5","5"," ","0"
"2011","-4 points","Other","Main scheme applicant","All","10","5"," ","0"
"2012","-4 points","Other","Main scheme applicant","All","15","5"," ","0"
"2013","-4 points","Other","Main scheme applicant","All","10","5"," ","0"
"2014","-4 points","Other","Main scheme applicant","All","15","5"," ","0"
"2015","-4 points","Other","Main scheme applicant","All","15","10"," ","0"
"2016","-4 points","Other","Main scheme applicant","All","15","15","0.765","0"
"2017","-4 points","Other","Main scheme applicant","All","10","5"," ","0"
"2018","-4 points","Other","Main scheme applicant","All","20","10","0.667","0"
"2019","-4 points","Other","Main scheme applicant","All","20","15","0.714","0"
"2020","-4 points","Other","Main scheme applicant","All","20","20","0.857","0"
"2021","-4 points","Other","Main scheme applicant","All","15","15","0.8130000000000001","0"
"2022","-4 points","Other","Main scheme applicant","All","20","10","0.6","0"
"2023","-4 points","Other","Main scheme applicant","All","25","20","0.741","0"
"2011","-5 points","Other","Main scheme applicant","All","5","0"," ","0"
"2013","-5 points","Other","Main scheme applicant","All","10","5"," ","0"
"2014","-5 points","Other","Main scheme applicant","All","10","10"," ","0"
"2015","-5 points","Other","Main scheme applicant","All","10","5"," ","0"
"2016","-5 points","Other","Main scheme applicant","All","5","0"," ","0"
"2017","-5 points","Other","Main scheme applicant","All","5","5"," ","0"
"2018","-5 points","Other","Main scheme applicant","All","15","10","0.733","0"
"2019","-5 points","Other","Main scheme applicant","All","15","10"," ","0"
"2020","-5 points","Other","Main scheme applicant","All","5","5"," ","0"
"2021","-5 points","Other","Main scheme applicant","All","10","5"," ","0"
"2022","-5 points","Other","Main scheme applicant","All","10","5"," ","0"
"2023","-5 points","Other","Main scheme applicant","All","15","10"," ","0"
"2011","-6 points","Other","Main scheme applicant","All","5","5"," ","0"
"2013","-6 points","Other","Main scheme applicant","All","5","0"," ","0"
"2014","-6 points","Other","Main scheme applicant","All","5","5"," ","0"
"2015","-6 points","Other","Main scheme applicant","All","5","5"," ","0"
"2016","-6 points","Other","Main scheme applicant","All","5","5"," ","0"
"2017","-6 points","Other","Main scheme applicant","All","5","5"," ","0"
"2018","-6 points","Other","Main scheme applicant","All","5","5"," ","0"
"2019","-6 points","Other","Main scheme applicant","All","10","5"," ","0"
"2020","-6 points","Other","Main scheme applicant","All","5","5"," ","0"
"2021","-6 points","Other","Main scheme applicant","All","5","0"," ","0"
"2022","-6 points","Other","Main scheme applicant","All","10","0"," ","0"
"2023","-6 points","Other","Main scheme applicant","All","10","5"," ","0"
"2010","Less than -6 points","Other","Main scheme applicant","All","5","5"," ","0"
"2011","Less than -6 points","Other","Main scheme applicant","All","5","5"," ","0"
"2012","Less than -6 points","Other","Main scheme applicant","All","5","0"," ","0"
"2013","Less than -6 points","Other","Main scheme applicant","All","10","10"," ","0"
"2014","Less than -6 points","Other","Main scheme applicant","All","10","5"," ","0"
