"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","Female","35 and over","Wales","125","65","0.504"
"2019","Male","35 and over","Wales","5","0"," "
"2022","Male","35 and over","Wales","65","35","0.554"
"2023","Male","35 and over","Wales","45","25","0.556"
"2019","Female","21 - 24","Not EU","35","10"," "
"2020","Female","21 - 24","Not EU","70","20","0.314"
"2021","Female","21 - 24","Not EU","40","10"," "
"2022","Female","21 - 24","Not EU","45","15","0.289"
"2023","Female","21 - 24","Not EU","65","10"," "
"2019","Male","21 - 24","Not EU","10","0"," "
"2020","Male","21 - 24","Not EU","15","5"," "
"2021","Male","21 - 24","Not EU","5","0"," "
"2022","Male","21 - 24","Not EU","15","0"," "
"2023","Male","21 - 24","Not EU","25","5"," "
"2019","Female","25 - 29","Not EU","55","15","0.23600000000000002"
"2020","Female","25 - 29","Not EU","45","10","0.267"
"2021","Female","25 - 29","Not EU","55","15","0.273"
"2022","Female","25 - 29","Not EU","65","15","0.215"
"2023","Female","25 - 29","Not EU","55","15","0.255"
"2019","Male","25 - 29","Not EU","5","5"," "
"2020","Male","25 - 29","Not EU","15","5"," "
"2021","Male","25 - 29","Not EU","15","5"," "
"2022","Male","25 - 29","Not EU","60","15","0.233"
"2023","Male","25 - 29","Not EU","25","10"," "
"2019","Female","30 - 34","Not EU","30","10"," "
"2020","Female","30 - 34","Not EU","30","5"," "
"2021","Female","30 - 34","Not EU","25","5"," "
"2022","Female","30 - 34","Not EU","50","20","0.44"
"2023","Female","30 - 34","Not EU","50","5"," "
"2019","Male","30 - 34","Not EU","15","0"," "
"2020","Male","30 - 34","Not EU","20","5"," "
"2021","Male","30 - 34","Not EU","5","0"," "
"2022","Male","30 - 34","Not EU","40","10"," "
"2023","Male","30 - 34","Not EU","10","0"," "
"2019","Female","35 and over","Not EU","25","5"," "
"2020","Female","35 and over","Not EU","25","5"," "
"2021","Female","35 and over","Not EU","35","5"," "
"2022","Female","35 and over","Not EU","65","5"," "
"2023","Female","35 and over","Not EU","45","5"," "
"2019","Male","35 and over","Not EU","20","0"," "
"2020","Male","35 and over","Not EU","10","0"," "
"2021","Male","35 and over","Not EU","35","5"," "
"2022","Male","35 and over","Not EU","60","20","0.3"
"2023","Male","35 and over","Not EU","35","5"," "
"2020","Female","19","EU (excluding UK)","5","0"," "
"2019","Female","20","EU (excluding UK)","10","0"," "
"2020","Female","20","EU (excluding UK)","10","0"," "
"2019","Female","21 - 24","EU (excluding UK)","335","60","0.17300000000000001"
"2020","Female","21 - 24","EU (excluding UK)","365","75","0.20800000000000002"
"2021","Female","21 - 24","EU (excluding UK)","250","45","0.188"
"2022","Female","21 - 24","EU (excluding UK)","140","30","0.229"
"2023","Female","21 - 24","EU (excluding UK)","140","35","0.23600000000000002"
"2019","Male","21 - 24","EU (excluding UK)","95","15","0.137"
"2020","Male","21 - 24","EU (excluding UK)","95","20","0.211"
"2021","Male","21 - 24","EU (excluding UK)","40","5"," "
"2022","Male","21 - 24","EU (excluding UK)","65","10"," "
"2023","Male","21 - 24","EU (excluding UK)","25","0"," "
"2019","Female","25 - 29","EU (excluding UK)","145","25","0.179"
"2020","Female","25 - 29","EU (excluding UK)","235","50","0.20400000000000001"
"2021","Female","25 - 29","EU (excluding UK)","155","30","0.187"
"2022","Female","25 - 29","EU (excluding UK)","120","40","0.342"
"2023","Female","25 - 29","EU (excluding UK)","60","10","0.2"
"2019","Male","25 - 29","EU (excluding UK)","55","5"," "
"2020","Male","25 - 29","EU (excluding UK)","60","10","0.167"
"2021","Male","25 - 29","EU (excluding UK)","40","10"," "
"2022","Male","25 - 29","EU (excluding UK)","20","5"," "
"2023","Male","25 - 29","EU (excluding UK)","5","0"," "
"2019","Female","30 - 34","EU (excluding UK)","75","15","0.2"
"2020","Female","30 - 34","EU (excluding UK)","45","10","0.222"
"2021","Female","30 - 34","EU (excluding UK)","35","5"," "
"2022","Female","30 - 34","EU (excluding UK)","25","5"," "
"2023","Female","30 - 34","EU (excluding UK)","15","5"," "
"2019","Male","30 - 34","EU (excluding UK)","45","10"," "
"2020","Male","30 - 34","EU (excluding UK)","50","15","0.32"
"2021","Male","30 - 34","EU (excluding UK)","20","0"," "
"2022","Male","30 - 34","EU (excluding UK)","10","5"," "
"2023","Male","30 - 34","EU (excluding UK)","10","0"," "
"2019","Female","35 and over","EU (excluding UK)","35","10"," "
"2020","Female","35 and over","EU (excluding UK)","35","5"," "
"2021","Female","35 and over","EU (excluding UK)","10","0"," "
"2022","Female","35 and over","EU (excluding UK)","20","5"," "
"2023","Female","35 and over","EU (excluding UK)","15","5"," "
"2019","Male","35 and over","EU (excluding UK)","15","5"," "
"2020","Male","35 and over","EU (excluding UK)","15","5"," "
"2021","Male","35 and over","EU (excluding UK)","25","0"," "
"2022","Male","35 and over","EU (excluding UK)","10","0"," "
"2023","Male","35 and over","EU (excluding UK)","20","0"," "
"2019","All","21 - 24","Northern Ireland","190","30","0.147"
