"Year","Subject group HECoS","Age group","Domicile","Gender","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2021","(CAH24) media, journalism and communications","18","Wales","Male","0","55","5","55"
"2022","(CAH24) media, journalism and communications","18","England","Male","170","810","105","1090"
"2022","(CAH24) media, journalism and communications","18","Northern Ireland","Male","0","5","0","5"
"2022","(CAH24) media, journalism and communications","18","Wales","Male","5","30","10","50"
"2023","(CAH24) media, journalism and communications","18","England","Male","0","555","160","715"
"2023","(CAH24) media, journalism and communications","18","Wales","Male","0","15","5","20"
"2019","(CAH23) combined and general studies","18","England","Male","120","35","10","160"
"2019","(CAH23) combined and general studies","18","Northern Ireland","Male","5","0","0","5"
"2020","(CAH23) combined and general studies","18","England","Male","15","50","45","110"
"2020","(CAH23) combined and general studies","18","Wales","Male","0","0","10","10"
"2021","(CAH23) combined and general studies","18","England","Male","0","35","5","40"
"2022","(CAH23) combined and general studies","18","England","Male","10","45","10","60"
"2023","(CAH23) combined and general studies","18","England","Male","0","40","5","40"
"2019","(CAH17) business and management","18","England","Male","6355","2405","1720","10480"
"2019","(CAH17) business and management","18","Northern Ireland","Male","35","25","15","75"
"2019","(CAH17) business and management","18","Wales","Male","110","135","85","330"
"2020","(CAH17) business and management","18","England","Male","3435","5580","4715","13730"
"2020","(CAH17) business and management","18","Northern Ireland","Male","15","40","240","295"
"2020","(CAH17) business and management","18","Wales","Male","25","140","375","540"
"2021","(CAH17) business and management","18","England","Male","0","1455","275","1730"
"2021","(CAH17) business and management","18","Northern Ireland","Male","0","25","0","25"
"2021","(CAH17) business and management","18","Wales","Male","0","120","65","185"
"2022","(CAH17) business and management","18","England","Male","315","2835","655","3805"
"2022","(CAH17) business and management","18","Northern Ireland","Male","5","10","0","15"
"2022","(CAH17) business and management","18","Wales","Male","0","40","80","125"
"2023","(CAH17) business and management","18","England","Male","0","1965","315","2285"
"2023","(CAH17) business and management","18","Northern Ireland","Male","0","5","0","5"
"2023","(CAH17) business and management","18","Wales","Male","0","10","5","15"
"2019","(CAH15) social sciences","18","England","Male","3380","795","630","4805"
