"Year","Tariff group of provider released from","Tariff group of provider accepted to","Age group","Domicile","Gender","Placed after self-releasing"
"2019","Medium tariff","Lower tariff","25 - 29","England","Female","10"
"2020","Medium tariff","Lower tariff","25 - 29","England","Female","20"
"2021","Medium tariff","Lower tariff","25 - 29","England","Female","10"
"2022","Medium tariff","Lower tariff","25 - 29","England","Female","5"
"2023","Medium tariff","Lower tariff","25 - 29","England","Female","10"
"2020","Higher tariff","Lower tariff","25 - 29","England","Female","5"
"2021","Higher tariff","Lower tariff","25 - 29","England","Female","5"
"2019","Lower tariff","Medium tariff","25 - 29","England","Female","5"
"2020","Lower tariff","Medium tariff","25 - 29","England","Female","25"
"2021","Lower tariff","Medium tariff","25 - 29","England","Female","20"
"2022","Lower tariff","Medium tariff","25 - 29","England","Female","15"
"2023","Lower tariff","Medium tariff","25 - 29","England","Female","15"
"2019","Medium tariff","Medium tariff","25 - 29","England","Female","5"
"2020","Medium tariff","Medium tariff","25 - 29","England","Female","10"
"2021","Medium tariff","Medium tariff","25 - 29","England","Female","5"
"2022","Medium tariff","Medium tariff","25 - 29","England","Female","15"
"2023","Medium tariff","Medium tariff","25 - 29","England","Female","5"
"2020","Higher tariff","Medium tariff","25 - 29","England","Female","5"
"2021","Higher tariff","Medium tariff","25 - 29","England","Female","10"
"2023","Higher tariff","Medium tariff","25 - 29","England","Female","5"
"2019","Lower tariff","Higher tariff","25 - 29","England","Female","5"
"2020","Lower tariff","Higher tariff","25 - 29","England","Female","5"
"2019","Medium tariff","Higher tariff","25 - 29","England","Female","5"
"2020","Medium tariff","Higher tariff","25 - 29","England","Female","5"
"2023","Medium tariff","Higher tariff","25 - 29","England","Female","5"
"2019","Higher tariff","Higher tariff","25 - 29","England","Female","5"
"2020","Higher tariff","Higher tariff","25 - 29","England","Female","5"
"2019","Lower tariff","Lower tariff","30 - 34","England","Female","35"
"2020","Lower tariff","Lower tariff","30 - 34","England","Female","30"
"2021","Lower tariff","Lower tariff","30 - 34","England","Female","40"
"2022","Lower tariff","Lower tariff","30 - 34","England","Female","30"
"2023","Lower tariff","Lower tariff","30 - 34","England","Female","25"
"2019","Medium tariff","Lower tariff","30 - 34","England","Female","5"
"2020","Medium tariff","Lower tariff","30 - 34","England","Female","5"
"2021","Medium tariff","Lower tariff","30 - 34","England","Female","5"
"2022","Medium tariff","Lower tariff","30 - 34","England","Female","10"
"2023","Medium tariff","Lower tariff","30 - 34","England","Female","10"
"2019","Lower tariff","Medium tariff","30 - 34","England","Female","5"
"2020","Lower tariff","Medium tariff","30 - 34","England","Female","15"
"2021","Lower tariff","Medium tariff","30 - 34","England","Female","5"
"2022","Lower tariff","Medium tariff","30 - 34","England","Female","5"
"2023","Lower tariff","Medium tariff","30 - 34","England","Female","10"
"2019","Medium tariff","Medium tariff","30 - 34","England","Female","5"
"2020","Medium tariff","Medium tariff","30 - 34","England","Female","10"
"2021","Medium tariff","Medium tariff","30 - 34","England","Female","5"
"2022","Medium tariff","Medium tariff","30 - 34","England","Female","5"
"2023","Medium tariff","Medium tariff","30 - 34","England","Female","10"
"2019","N/A","N/A","35 and over","England","Female","5"
"2020","N/A","N/A","35 and over","England","Female","5"
"2021","N/A","N/A","35 and over","England","Female","10"
"2022","N/A","N/A","35 and over","England","Female","5"
"2019","Lower tariff","Lower tariff","35 and over","England","Female","60"
"2020","Lower tariff","Lower tariff","35 and over","England","Female","65"
"2021","Lower tariff","Lower tariff","35 and over","England","Female","80"
"2022","Lower tariff","Lower tariff","35 and over","England","Female","65"
"2023","Lower tariff","Lower tariff","35 and over","England","Female","70"
"2019","Medium tariff","Lower tariff","35 and over","England","Female","5"
"2020","Medium tariff","Lower tariff","35 and over","England","Female","15"
"2021","Medium tariff","Lower tariff","35 and over","England","Female","15"
"2022","Medium tariff","Lower tariff","35 and over","England","Female","5"
"2023","Medium tariff","Lower tariff","35 and over","England","Female","10"
"2022","Higher tariff","Lower tariff","35 and over","England","Female","5"
"2019","Lower tariff","Medium tariff","35 and over","England","Female","10"
"2020","Lower tariff","Medium tariff","35 and over","England","Female","20"
"2021","Lower tariff","Medium tariff","35 and over","England","Female","25"
"2022","Lower tariff","Medium tariff","35 and over","England","Female","15"
"2023","Lower tariff","Medium tariff","35 and over","England","Female","5"
