"Year","Predicted SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","10 point(s)","All","All","All","All","Not main scheme application","15","10","0.667","0"
"2012","10 point(s)","All","All","All","All","Not main scheme application","10","10","0.833","0"
"2013","10 point(s)","All","All","All","All","Not main scheme application","10","5"," ","0"
"2014","10 point(s)","All","All","All","All","Not main scheme application","10","10","0.917","0"
"2015","10 point(s)","All","All","All","All","Not main scheme application","10","5"," ","0"
"2016","10 point(s)","All","All","All","All","Not main scheme application","10","10","1","0"
"2017","10 point(s)","All","All","All","All","Not main scheme application","15","10","0.8","0"
"2018","10 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","All","All","All","All","Not main scheme application","10","10"," ","0"
"2021","10 point(s)","All","All","All","All","Not main scheme application","10","5"," ","0"
"2022","10 point(s)","All","All","All","All","Not main scheme application","15","10"," ","0"
"2023","10 point(s)","All","All","All","All","Not main scheme application","15","15","0.9380000000000001","0"
"2010","11 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2011","11 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","All","All","All","All","Not main scheme application","15","10","0.857","0"
"2013","11 point(s)","All","All","All","All","Not main scheme application","5","5"," ","0"
"2014","11 point(s)","All","All","All","All","Not main scheme application","10","5"," ","0"
"2015","11 point(s)","All","All","All","All","Not main scheme application","10","10"," ","0"
"2016","11 point(s)","All","All","All","All","Not main scheme application","15","10","0.786","0"
"2017","11 point(s)","All","All","All","All","Not main scheme application","10","5"," ","0"
"2018","11 point(s)","All","All","All","All","Not main scheme application","10","10"," ","0"
"2019","11 point(s)","All","All","All","All","Not main scheme application","10","10"," ","0"
"2020","11 point(s)","All","All","All","All","Not main scheme application","10","10"," ","0"
