"Year","Predicted SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2016","18 point(s)","All","All","Main scheme application","40","20","0.463","0"
"2017","18 point(s)","All","All","Main scheme application","35","20","0.556","0"
"2018","18 point(s)","All","All","Main scheme application","50","35","0.686","0"
"2019","18 point(s)","All","All","Main scheme application","45","30","0.638","0"
"2020","18 point(s)","All","All","Main scheme application","55","45","0.87","0"
"2021","18 point(s)","All","All","Main scheme application","50","40","0.804","0"
"2022","18 point(s)","All","All","Main scheme application","30","20","0.613","0"
"2023","18 point(s)","All","All","Main scheme application","40","25","0.625","0"
"2010","19 point(s)","All","All","Main scheme application","10","5"," ","0"
"2011","19 point(s)","All","All","Main scheme application","10","5"," ","0"
"2012","19 point(s)","All","All","Main scheme application","35","20","0.667","0"
"2013","19 point(s)","All","All","Main scheme application","20","15","0.722","0"
"2014","19 point(s)","All","All","Main scheme application","25","20","0.88","0"
"2015","19 point(s)","All","All","Main scheme application","35","20","0.5760000000000001","0"
"2016","19 point(s)","All","All","Main scheme application","40","25","0.658","0"
"2017","19 point(s)","All","All","Main scheme application","50","35","0.771","0"
"2018","19 point(s)","All","All","Main scheme application","30","25","0.781","0"
"2019","19 point(s)","All","All","Main scheme application","35","30","0.778","0"
"2020","19 point(s)","All","All","Main scheme application","35","25","0.7030000000000001","0"
"2021","19 point(s)","All","All","Main scheme application","50","45","0.86","0"
"2022","19 point(s)","All","All","Main scheme application","30","20","0.667","0"
"2023","19 point(s)","All","All","Main scheme application","35","25","0.676","0"
"2010","20 point(s)","All","All","Main scheme application","10","5"," ","0"
"2011","20 point(s)","All","All","Main scheme application","10","5"," ","0"
"2012","20 point(s)","All","All","Main scheme application","20","15","0.722","0"
"2013","20 point(s)","All","All","Main scheme application","20","15","0.833","0"
"2014","20 point(s)","All","All","Main scheme application","20","15","0.722","0"
"2015","20 point(s)","All","All","Main scheme application","30","20","0.6880000000000001","0"
"2016","20 point(s)","All","All","Main scheme application","40","30","0.769","0"
"2017","20 point(s)","All","All","Main scheme application","35","25","0.657","0"
"2018","20 point(s)","All","All","Main scheme application","45","35","0.8220000000000001","0"
"2019","20 point(s)","All","All","Main scheme application","40","30","0.762","0"
"2020","20 point(s)","All","All","Main scheme application","45","35","0.767","0"
"2021","20 point(s)","All","All","Main scheme application","65","50","0.761","0"
"2022","20 point(s)","All","All","Main scheme application","60","50","0.833","0"
"2023","20 point(s)","All","All","Main scheme application","50","40","0.745","0"
"2010","All","All","All","Not main scheme application","50","45","0.882","0"
"2011","All","All","All","Not main scheme application","30","25","0.767","0"
"2012","All","All","All","Not main scheme application","45","30","0.727","0"
"2013","All","All","All","Not main scheme application","30","20","0.677","0"
"2014","All","All","All","Not main scheme application","55","40","0.684","0"
"2015","All","All","All","Not main scheme application","75","45","0.603","0"
"2016","All","All","All","Not main scheme application","50","30","0.549","0"
"2017","All","All","All","Not main scheme application","45","35","0.761","0"
"2018","All","All","All","Not main scheme application","40","20","0.538","0"
"2019","All","All","All","Not main scheme application","45","30","0.674","0"
"2020","All","All","All","Not main scheme application","50","45","0.9","0"
"2021","All","All","All","Not main scheme application","25","20","0.731","0"
"2022","All","All","All","Not main scheme application","30","20","0.621","0"
"2023","All","All","All","Not main scheme application","35","25","0.743","0"
"2010","All","All","All","Main scheme application","360","190","0.524","0"
"2011","All","All","All","Main scheme application","345","170","0.49","0"
"2012","All","All","All","Main scheme application","470","215","0.455","0"
"2013","All","All","All","Main scheme application","400","210","0.525","0"
"2014","All","All","All","Main scheme application","480","225","0.47000000000000003","0"
"2015","All","All","All","Main scheme application","510","220","0.437","0"
"2016","All","All","All","Main scheme application","425","220","0.517","0"
"2017","All","All","All","Main scheme application","395","215","0.547","0"
"2018","All","All","All","Main scheme application","420","255","0.604","0"
"2019","All","All","All","Main scheme application","365","205","0.56","0"
"2020","All","All","All","Main scheme application","395","265","0.668","0"
"2021","All","All","All","Main scheme application","400","290","0.728","0"
"2022","All","All","All","Main scheme application","290","180","0.623","0"
"2023","All","All","All","Main scheme application","350","215","0.616","0"
"2010","9 point(s)","White","Main scheme applicant","All","5","5"," ","0"
"2012","9 point(s)","White","Main scheme applicant","All","5","0"," ","0"
"2013","9 point(s)","White","Main scheme applicant","All","5","0"," ","0"
"2014","9 point(s)","White","Main scheme applicant","All","5","0"," ","0"
