"Year","Subject group HECoS","Detailed subject group HECoS","POLAR4 Quintile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2022","(CAH19) language and area studies","(CAH19-04-06) Asian studies","Unknown","5","5"," "
"2019","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","Unknown","5","5"," "
"2020","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","Unknown","5","0"," "
"2019","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Unknown","55","40","0.7030000000000001"
"2020","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Unknown","60","55","0.877"
"2021","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Unknown","50","35","0.721"
"2022","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Unknown","15","10","0.8"
"2023","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Unknown","10","5"," "
"2019","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","Unknown","5","5"," "
"2020","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","Unknown","10","5"," "
"2019","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Unknown","15","10","0.756"
"2020","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Unknown","15","15","0.889"
"2021","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Unknown","10","10","1.051"
"2022","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Unknown","10","10"," "
"2019","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","Unknown","5","0"," "
"2021","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","Unknown","10","10"," "
"2023","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","Unknown","5","5"," "
"2019","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","Unknown","5","5"," "
"2020","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","Unknown","5","5"," "
"2021","(CAH23) combined and general studies","(CAH23-01-02) personal development","Unknown","5","5"," "
"2019","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","Unknown","5","5"," "
"2020","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","Unknown","5","5"," "
"2021","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","Unknown","5","0"," "
"2022","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","Unknown","5","0"," "
"2019","(CAH17) business and management","(CAH17-01-03) marketing","Unknown","45","35","0.753"
"2020","(CAH17) business and management","(CAH17-01-03) marketing","Unknown","50","30","0.632"
"2021","(CAH17) business and management","(CAH17-01-03) marketing","Unknown","55","45","0.855"
"2022","(CAH17) business and management","(CAH17-01-03) marketing","Unknown","15","10","0.7010000000000001"
"2023","(CAH17) business and management","(CAH17-01-03) marketing","Unknown","25","15","0.68"
"2019","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Unknown","55","45","0.798"
"2020","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Unknown","60","40","0.658"
"2021","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Unknown","70","55","0.785"
"2022","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Unknown","15","10"," "
"2023","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Unknown","10","5"," "
"2019","(CAH17) business and management","(CAH17-01-02) business studies","Unknown","100","80","0.8150000000000001"
"2020","(CAH17) business and management","(CAH17-01-02) business studies","Unknown","75","45","0.601"
"2021","(CAH17) business and management","(CAH17-01-02) business studies","Unknown","90","60","0.671"
"2022","(CAH17) business and management","(CAH17-01-02) business studies","Unknown","25","20","0.774"
