"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2019","Scotland","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","15","5"," "
"2020","Scotland","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","25","5"," "
"2021","Scotland","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","15","0"," "
"2022","Scotland","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","10","5"," "
"2023","Scotland","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","20","5"," "
"2022","Wales","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Wales","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","15","5"," "
"2020","Scotland","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","15","5"," "
"2021","Scotland","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","15","5"," "
"2022","Scotland","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","15","5"," "
"2023","Scotland","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","15","5"," "
"2022","Wales","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Wales","25 - 29","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","10","5"," "
"2020","Scotland","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","10","0"," "
"2021","Scotland","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","10","5"," "
"2022","Scotland","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","10","0"," "
"2023","Scotland","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","15","0"," "
"2022","Wales","30 - 34","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","Scotland","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Scotland","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","10","0"," "
"2022","Scotland","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","15","0"," "
"2023","Scotland","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","10","0"," "
"2022","Wales","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Wales","35 and over","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Scotland","20","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","95","35","0.375"
"2020","Scotland","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","115","50","0.426"
"2021","Scotland","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Main scheme application","85","15","0.202"
