"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applicant","Main scheme application","Accepted applicants"
"2020","(CAH24) media, journalism and communications","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH24) media, journalism and communications","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH24) media, journalism and communications","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH24) media, journalism and communications","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH23) combined and general studies","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH17) business and management","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","40"
"2020","(CAH17) business and management","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH17) business and management","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH17) business and management","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","30"
"2023","(CAH17) business and management","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","50"
"2019","(CAH15) social sciences","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","45"
"2020","(CAH15) social sciences","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH15) social sciences","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH15) social sciences","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","30"
"2023","(CAH15) social sciences","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","35"
"2019","(CAH03) biological and sport sciences","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH03) biological and sport sciences","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH03) biological and sport sciences","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH03) biological and sport sciences","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH03) biological and sport sciences","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH13) architecture, building and planning","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH13) architecture, building and planning","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH13) architecture, building and planning","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH13) architecture, building and planning","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH20) historical, philosophical and religious studies","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH20) historical, philosophical and religious studies","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH20) historical, philosophical and religious studies","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH20) historical, philosophical and religious studies","All","All","Physical impairment/challenges with mobility","Not main scheme applicant","Not main scheme application","5"
