"Year","Predicted BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2016","6 points (DDM)","Black","Main scheme applicant","Main scheme application","380","260","0.675","0"
"2017","6 points (DDM)","Black","Main scheme applicant","Main scheme application","360","255","0.706","0"
"2018","6 points (DDM)","Black","Main scheme applicant","Main scheme application","360","260","0.726","0"
"2019","6 points (DDM)","Black","Main scheme applicant","Main scheme application","320","240","0.739","0"
"2020","6 points (DDM)","Black","Main scheme applicant","Main scheme application","385","285","0.743","0"
"2021","6 points (DDM)","Black","Main scheme applicant","Main scheme application","435","310","0.713","0"
"2022","6 points (DDM)","Black","Main scheme applicant","Main scheme application","535","380","0.715","0"
"2023","6 points (DDM)","Black","Main scheme applicant","Main scheme application","515","365","0.71","0"
"2010","7 points (DDD)","Black","Main scheme applicant","Main scheme application","175","135","0.773","0"
"2011","7 points (DDD)","Black","Main scheme applicant","Main scheme application","305","235","0.771","0"
"2012","7 points (DDD)","Black","Main scheme applicant","Main scheme application","260","175","0.677","0"
"2013","7 points (DDD)","Black","Main scheme applicant","Main scheme application","285","200","0.6990000000000001","0"
"2014","7 points (DDD)","Black","Main scheme applicant","Main scheme application","335","235","0.706","0"
"2015","7 points (DDD)","Black","Main scheme applicant","Main scheme application","410","295","0.714","0"
"2016","7 points (DDD)","Black","Main scheme applicant","Main scheme application","375","265","0.716","0"
