"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Not main scheme application","35","25","0.622","0"
"2022","UK","Wales","Wales","21 - 24","Female","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2023","UK","Wales","Wales","21 - 24","Female","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2020","International","EU (excluding UK)","Ireland","21 - 24","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Not main scheme application","40","20","0.5","0"
"2020","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Not main scheme application","45","20","0.426","0"
"2021","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Not main scheme application","55","20","0.333","0"
"2022","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Not main scheme application","30","15","0.5670000000000001","0"
"2023","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Not main scheme application","25","15","0.708","0"
"2023","UK","Wales","Wales","25 - 29","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","International","EU (excluding UK)","Ireland","25 - 29","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","Scotland","Scotland","30 - 34","Female","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2020","UK","Scotland","Scotland","30 - 34","Female","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2021","UK","Scotland","Scotland","30 - 34","Female","Main scheme applicant","Not main scheme application","20","10"," ","0"
"2022","UK","Scotland","Scotland","30 - 34","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","UK","Scotland","Scotland","30 - 34","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","UK","Scotland","Scotland","35 and over","Female","Main scheme applicant","Not main scheme application","35","20","0.647","0"
"2020","UK","Scotland","Scotland","35 and over","Female","Main scheme applicant","Not main scheme application","30","15","0.5","0"
"2021","UK","Scotland","Scotland","35 and over","Female","Main scheme applicant","Not main scheme application","15","10","0.667","0"
"2022","UK","Scotland","Scotland","35 and over","Female","Main scheme applicant","Not main scheme application","25","15","0.577","0"
"2023","UK","Scotland","Scotland","35 and over","Female","Main scheme applicant","Not main scheme application","15","10","0.667","0"
"2023","UK","Wales","Wales","35 and over","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","Scotland","Scotland","21 - 24","Male","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2020","UK","Scotland","Scotland","21 - 24","Male","Main scheme applicant","Not main scheme application","25","10","0.417","0"
"2021","UK","Scotland","Scotland","21 - 24","Male","Main scheme applicant","Not main scheme application","25","5"," ","0"
"2022","UK","Scotland","Scotland","21 - 24","Male","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","UK","Scotland","Scotland","21 - 24","Male","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2022","UK","Wales","Wales","21 - 24","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","Scotland","Scotland","25 - 29","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","UK","Scotland","Scotland","25 - 29","Male","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2021","UK","Scotland","Scotland","25 - 29","Male","Main scheme applicant","Not main scheme application","20","5"," ","0"
"2022","UK","Scotland","Scotland","25 - 29","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","UK","Scotland","Scotland","25 - 29","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","Wales","Wales","25 - 29","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Scotland","Scotland","30 - 34","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","UK","Scotland","Scotland","30 - 34","Male","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2022","UK","Scotland","Scotland","30 - 34","Male","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2023","UK","Scotland","Scotland","30 - 34","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","Scotland","Scotland","35 and over","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","UK","Scotland","Scotland","35 and over","Male","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2021","UK","Scotland","Scotland","35 and over","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","UK","Scotland","Scotland","35 and over","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","Scotland","Scotland","35 and over","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","UK","England","England","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","UK","England","England","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","UK","Scotland","Scotland","18","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2020","UK","Scotland","Scotland","18","Female","Main scheme applicant","Main scheme application","20","0"," ","0"
"2021","UK","Scotland","Scotland","18","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2022","UK","Scotland","Scotland","18","Female","Main scheme applicant","Main scheme application","20","0"," ","0"
"2023","UK","Scotland","Scotland","18","Female","Main scheme applicant","Main scheme application","20","0"," ","0"
"2020","UK","Wales","Wales","18","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","UK","Wales","Wales","18","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2019","UK","Scotland","Scotland","19","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","UK","Scotland","Scotland","19","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","UK","Scotland","Scotland","19","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2023","UK","Scotland","Scotland","19","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","UK","Scotland","Scotland","20","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","UK","Scotland","Scotland","20","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","UK","Scotland","Scotland","20","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
