"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH19) language and area studies","(CAH19-01-02) English language","North East","165","150","0.909"
"2020","(CAH19) language and area studies","(CAH19-01-02) English language","North East","145","135","0.9450000000000001"
"2021","(CAH19) language and area studies","(CAH19-01-02) English language","North East","160","150","0.9510000000000001"
"2022","(CAH19) language and area studies","(CAH19-01-02) English language","North East","160","145","0.899"
"2023","(CAH19) language and area studies","(CAH19-01-02) English language","North East","160","150","0.937"
"2019","(CAH19) language and area studies","(CAH19-01-03) literature in English","North East","610","535","0.874"
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","North East","670","575","0.86"
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","North East","625","555","0.885"
"2022","(CAH19) language and area studies","(CAH19-01-03) literature in English","North East","615","495","0.805"
"2023","(CAH19) language and area studies","(CAH19-01-03) literature in English","North East","635","545","0.859"
"2019","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North East","790","725","0.916"
"2020","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North East","695","610","0.876"
"2021","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North East","655","585","0.889"
"2022","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North East","705","595","0.846"
"2023","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North East","675","590","0.874"
"2019","(CAH19) language and area studies","(CAH19-04-01) French studies","North East","145","125","0.874"
"2020","(CAH19) language and area studies","(CAH19-04-01) French studies","North East","135","120","0.896"
"2021","(CAH19) language and area studies","(CAH19-04-01) French studies","North East","155","135","0.865"
"2022","(CAH19) language and area studies","(CAH19-04-01) French studies","North East","125","100","0.807"
"2023","(CAH19) language and area studies","(CAH19-04-01) French studies","North East","105","90","0.834"
"2019","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","North East","65","55","0.87"
"2020","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","North East","60","50","0.858"
"2021","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","North East","60","50","0.8150000000000001"
"2022","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","North East","45","35","0.795"
"2023","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","North East","55","45","0.849"
"2019","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","North East","145","120","0.811"
"2020","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","North East","175","155","0.874"
"2021","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","North East","130","110","0.853"
"2022","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","North East","145","110","0.773"
"2023","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","North East","130","105","0.8"
"2019","(CAH19) language and area studies","(CAH19-04-03) Italian studies","North East","25","20","0.862"
"2020","(CAH19) language and area studies","(CAH19-04-03) Italian studies","North East","20","15","0.777"
"2021","(CAH19) language and area studies","(CAH19-04-03) Italian studies","North East","25","20","0.781"
"2022","(CAH19) language and area studies","(CAH19-04-03) Italian studies","North East","20","15","0.7000000000000001"
"2023","(CAH19) language and area studies","(CAH19-04-03) Italian studies","North East","10","10"," "
"2019","(CAH19) language and area studies","(CAH19-01-07) linguistics","North East","150","135","0.908"
"2020","(CAH19) language and area studies","(CAH19-01-07) linguistics","North East","140","130","0.923"
"2021","(CAH19) language and area studies","(CAH19-01-07) linguistics","North East","110","105","0.9410000000000001"
"2022","(CAH19) language and area studies","(CAH19-01-07) linguistics","North East","140","120","0.862"
"2023","(CAH19) language and area studies","(CAH19-01-07) linguistics","North East","165","140","0.851"
