"Year","Deferred entry","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2014","Not deferred","18","EU (excluding UK)","All","65380","41310","0.632"
"2015","Not deferred","18","EU (excluding UK)","All","74055","47700","0.644"
"2016","Not deferred","18","EU (excluding UK)","All","80070","52950","0.661"
"2017","Not deferred","18","EU (excluding UK)","All","76945","52245","0.679"
"2018","Not deferred","18","EU (excluding UK)","All","79560","54040","0.679"
"2019","Not deferred","18","EU (excluding UK)","All","81390","55635","0.684"
"2020","Not deferred","18","EU (excluding UK)","All","81665","55905","0.685"
"2021","Not deferred","18","EU (excluding UK)","All","54495","35635","0.654"
"2022","Not deferred","18","EU (excluding UK)","All","47855","29585","0.618"
"2023","Not deferred","18","EU (excluding UK)","All","46420","29245","0.63"
"2006","Deferred","18","EU (excluding UK)","All","1585","1115","0.7030000000000001"
"2007","Deferred","18","EU (excluding UK)","All","1790","1255","0.7000000000000001"
"2008","Deferred","18","EU (excluding UK)","All","1650","1165","0.707"
"2009","Deferred","18","EU (excluding UK)","All","1995","1395","0.6990000000000001"
"2010","Deferred","18","EU (excluding UK)","All","2075","1370","0.661"
"2011","Deferred","18","EU (excluding UK)","All","1435","900","0.626"
"2012","Deferred","18","EU (excluding UK)","All","1750","1150","0.657"
"2013","Deferred","18","EU (excluding UK)","All","1645","1070","0.65"
"2014","Deferred","18","EU (excluding UK)","All","1770","1220","0.6900000000000001"
"2015","Deferred","18","EU (excluding UK)","All","1905","1330","0.6980000000000001"
"2016","Deferred","18","EU (excluding UK)","All","1935","1345","0.6960000000000001"
"2017","Deferred","18","EU (excluding UK)","All","1755","1280","0.73"
"2018","Deferred","18","EU (excluding UK)","All","1935","1460","0.756"
"2019","Deferred","18","EU (excluding UK)","All","1965","1520","0.774"
"2020","Deferred","18","EU (excluding UK)","All","1875","1515","0.807"
"2021","Deferred","18","EU (excluding UK)","All","1570","1245","0.792"
"2022","Deferred","18","EU (excluding UK)","All","1480","1065","0.718"
"2023","Deferred","18","EU (excluding UK)","All","1255","950","0.759"
"2006","Not deferred","19","EU (excluding UK)","All","26540","14860","0.56"
"2007","Not deferred","19","EU (excluding UK)","All","33795","19540","0.578"
"2008","Not deferred","19","EU (excluding UK)","All","31645","18725","0.592"
"2009","Not deferred","19","EU (excluding UK)","All","39720","23415","0.59"
"2010","Not deferred","19","EU (excluding UK)","All","51265","28255","0.551"
"2011","Not deferred","19","EU (excluding UK)","All","60750","34330","0.5650000000000001"
"2012","Not deferred","19","EU (excluding UK)","All","52790","30120","0.5710000000000001"
"2013","Not deferred","19","EU (excluding UK)","All","55765","32350","0.58"
"2014","Not deferred","19","EU (excluding UK)","All","58360","35345","0.606"
"2015","Not deferred","19","EU (excluding UK)","All","62830","38915","0.619"
"2016","Not deferred","19","EU (excluding UK)","All","68495","43770","0.639"
"2017","Not deferred","19","EU (excluding UK)","All","64735","42920","0.663"
"2018","Not deferred","19","EU (excluding UK)","All","65795","43835","0.666"
"2019","Not deferred","19","EU (excluding UK)","All","67050","45300","0.676"
"2020","Not deferred","19","EU (excluding UK)","All","66090","44960","0.68"
"2021","Not deferred","19","EU (excluding UK)","All","28835","17790","0.617"
"2022","Not deferred","19","EU (excluding UK)","All","23245","13465","0.579"
"2023","Not deferred","19","EU (excluding UK)","All","23480","13530","0.5760000000000001"
"2006","Deferred","19","EU (excluding UK)","All","865","590","0.681"
"2007","Deferred","19","EU (excluding UK)","All","970","655","0.676"
"2008","Deferred","19","EU (excluding UK)","All","1095","730","0.666"
"2009","Deferred","19","EU (excluding UK)","All","1250","850","0.679"
"2010","Deferred","19","EU (excluding UK)","All","1455","920","0.632"
"2011","Deferred","19","EU (excluding UK)","All","1330","810","0.608"
"2012","Deferred","19","EU (excluding UK)","All","1345","870","0.646"
"2013","Deferred","19","EU (excluding UK)","All","1370","875","0.637"
"2014","Deferred","19","EU (excluding UK)","All","1300","885","0.679"
"2015","Deferred","19","EU (excluding UK)","All","1455","965","0.662"
"2016","Deferred","19","EU (excluding UK)","All","1410","925","0.657"
"2017","Deferred","19","EU (excluding UK)","All","1095","750","0.685"
"2018","Deferred","19","EU (excluding UK)","All","1135","855","0.755"
"2019","Deferred","19","EU (excluding UK)","All","1165","845","0.727"
"2020","Deferred","19","EU (excluding UK)","All","875","650","0.741"
"2021","Deferred","19","EU (excluding UK)","All","705","540","0.765"
"2022","Deferred","19","EU (excluding UK)","All","665","460","0.6900000000000001"
"2023","Deferred","19","EU (excluding UK)","All","630","460","0.729"
"2006","Not deferred","20","EU (excluding UK)","All","15155","8295","0.547"
"2007","Not deferred","20","EU (excluding UK)","All","17470","9885","0.5660000000000001"
"2008","Not deferred","20","EU (excluding UK)","All","15630","8805","0.5630000000000001"
"2009","Not deferred","20","EU (excluding UK)","All","18310","10060","0.549"
"2010","Not deferred","20","EU (excluding UK)","All","22650","10495","0.463"
"2011","Not deferred","20","EU (excluding UK)","All","24010","11370","0.47300000000000003"
"2012","Not deferred","20","EU (excluding UK)","All","20050","9140","0.456"
"2013","Not deferred","20","EU (excluding UK)","All","21210","10210","0.481"
"2014","Not deferred","20","EU (excluding UK)","All","22595","11500","0.509"
"2015","Not deferred","20","EU (excluding UK)","All","22650","11960","0.528"
"2016","Not deferred","20","EU (excluding UK)","All","23710","13195","0.556"
"2017","Not deferred","20","EU (excluding UK)","All","22820","13100","0.5740000000000001"
"2018","Not deferred","20","EU (excluding UK)","All","21430","12560","0.586"
"2019","Not deferred","20","EU (excluding UK)","All","21960","13125","0.598"
"2020","Not deferred","20","EU (excluding UK)","All","21080","13055","0.619"
"2021","Not deferred","20","EU (excluding UK)","All","8960","4815","0.537"
"2022","Not deferred","20","EU (excluding UK)","All","7130","3680","0.516"
"2023","Not deferred","20","EU (excluding UK)","All","6650","3490","0.525"
"2006","Deferred","20","EU (excluding UK)","All","235","175","0.745"
"2007","Deferred","20","EU (excluding UK)","All","290","200","0.683"
"2008","Deferred","20","EU (excluding UK)","All","290","210","0.717"
"2009","Deferred","20","EU (excluding UK)","All","335","220","0.663"
"2010","Deferred","20","EU (excluding UK)","All","380","220","0.584"
"2011","Deferred","20","EU (excluding UK)","All","430","250","0.577"
"2012","Deferred","20","EU (excluding UK)","All","435","270","0.625"
"2013","Deferred","20","EU (excluding UK)","All","405","250","0.622"
"2014","Deferred","20","EU (excluding UK)","All","520","320","0.619"
"2015","Deferred","20","EU (excluding UK)","All","505","360","0.709"
"2016","Deferred","20","EU (excluding UK)","All","535","325","0.606"
"2017","Deferred","20","EU (excluding UK)","All","250","145","0.588"
"2018","Deferred","20","EU (excluding UK)","All","220","155","0.705"
"2019","Deferred","20","EU (excluding UK)","All","175","115","0.669"
"2020","Deferred","20","EU (excluding UK)","All","130","105","0.8150000000000001"
"2021","Deferred","20","EU (excluding UK)","All","80","70","0.863"
"2022","Deferred","20","EU (excluding UK)","All","95","55","0.6"
"2023","Deferred","20","EU (excluding UK)","All","35","25","0.657"
"2006","Not deferred","21 - 24","EU (excluding UK)","All","24695","13185","0.534"
"2007","Not deferred","21 - 24","EU (excluding UK)","All","26480","14100","0.532"
"2008","Not deferred","21 - 24","EU (excluding UK)","All","21430","11355","0.53"
"2009","Not deferred","21 - 24","EU (excluding UK)","All","23900","11890","0.497"
"2010","Not deferred","21 - 24","EU (excluding UK)","All","28790","11780","0.40900000000000003"
"2011","Not deferred","21 - 24","EU (excluding UK)","All","29425","12005","0.40800000000000003"
"2012","Not deferred","21 - 24","EU (excluding UK)","All","21940","8700","0.396"
"2013","Not deferred","21 - 24","EU (excluding UK)","All","22415","9150","0.40800000000000003"
"2014","Not deferred","21 - 24","EU (excluding UK)","All","22865","9910","0.433"
"2015","Not deferred","21 - 24","EU (excluding UK)","All","23375","10100","0.432"
"2016","Not deferred","21 - 24","EU (excluding UK)","All","23635","10670","0.451"
"2017","Not deferred","21 - 24","EU (excluding UK)","All","20335","9955","0.49"
"2018","Not deferred","21 - 24","EU (excluding UK)","All","19855","9690","0.488"
"2019","Not deferred","21 - 24","EU (excluding UK)","All","18790","9615","0.512"
"2020","Not deferred","21 - 24","EU (excluding UK)","All","17500","9290","0.531"
"2021","Not deferred","21 - 24","EU (excluding UK)","All","9155","4060","0.443"
"2022","Not deferred","21 - 24","EU (excluding UK)","All","6970","2870","0.41200000000000003"
"2023","Not deferred","21 - 24","EU (excluding UK)","All","6335","2685","0.424"
"2006","Deferred","21 - 24","EU (excluding UK)","All","195","145","0.754"
"2007","Deferred","21 - 24","EU (excluding UK)","All","285","175","0.614"
"2008","Deferred","21 - 24","EU (excluding UK)","All","240","170","0.7000000000000001"
"2009","Deferred","21 - 24","EU (excluding UK)","All","305","220","0.721"
"2010","Deferred","21 - 24","EU (excluding UK)","All","385","225","0.582"
"2011","Deferred","21 - 24","EU (excluding UK)","All","280","115","0.41100000000000003"
"2012","Deferred","21 - 24","EU (excluding UK)","All","235","125","0.536"
"2013","Deferred","21 - 24","EU (excluding UK)","All","325","165","0.508"
"2014","Deferred","21 - 24","EU (excluding UK)","All","330","165","0.506"
"2015","Deferred","21 - 24","EU (excluding UK)","All","295","150","0.512"
"2016","Deferred","21 - 24","EU (excluding UK)","All","295","160","0.536"
"2017","Deferred","21 - 24","EU (excluding UK)","All","280","165","0.596"
"2018","Deferred","21 - 24","EU (excluding UK)","All","220","145","0.655"
"2019","Deferred","21 - 24","EU (excluding UK)","All","165","110","0.673"
"2020","Deferred","21 - 24","EU (excluding UK)","All","140","100","0.729"
"2021","Deferred","21 - 24","EU (excluding UK)","All","100","80","0.8"
"2022","Deferred","21 - 24","EU (excluding UK)","All","110","65","0.6"
"2023","Deferred","21 - 24","EU (excluding UK)","All","115","75","0.67"
"2006","Not deferred","25 - 29","EU (excluding UK)","All","6185","2765","0.447"
"2007","Not deferred","25 - 29","EU (excluding UK)","All","6120","2720","0.444"
"2008","Not deferred","25 - 29","EU (excluding UK)","All","4750","2190","0.461"
"2009","Not deferred","25 - 29","EU (excluding UK)","All","4990","2025","0.406"
"2010","Not deferred","25 - 29","EU (excluding UK)","All","6905","2350","0.34"
"2011","Not deferred","25 - 29","EU (excluding UK)","All","6930","2480","0.358"
"2012","Not deferred","25 - 29","EU (excluding UK)","All","5035","1705","0.339"
"2013","Not deferred","25 - 29","EU (excluding UK)","All","4930","1720","0.34900000000000003"
"2014","Not deferred","25 - 29","EU (excluding UK)","All","4920","1650","0.335"
"2015","Not deferred","25 - 29","EU (excluding UK)","All","5580","1965","0.352"
"2016","Not deferred","25 - 29","EU (excluding UK)","All","5470","1960","0.358"
"2017","Not deferred","25 - 29","EU (excluding UK)","All","4290","1705","0.397"
"2018","Not deferred","25 - 29","EU (excluding UK)","All","4205","1780","0.424"
"2019","Not deferred","25 - 29","EU (excluding UK)","All","3515","1625","0.462"
"2020","Not deferred","25 - 29","EU (excluding UK)","All","3690","1630","0.442"
"2021","Not deferred","25 - 29","EU (excluding UK)","All","2005","690","0.34500000000000003"
"2022","Not deferred","25 - 29","EU (excluding UK)","All","1610","565","0.35100000000000003"
"2023","Not deferred","25 - 29","EU (excluding UK)","All","1265","405","0.319"
"2006","Deferred","25 - 29","EU (excluding UK)","All","75","70","0.92"
"2007","Deferred","25 - 29","EU (excluding UK)","All","105","65","0.638"
"2008","Deferred","25 - 29","EU (excluding UK)","All","70","60","0.843"
"2009","Deferred","25 - 29","EU (excluding UK)","All","80","55","0.6880000000000001"
"2010","Deferred","25 - 29","EU (excluding UK)","All","130","70","0.554"
"2011","Deferred","25 - 29","EU (excluding UK)","All","130","55","0.431"
"2012","Deferred","25 - 29","EU (excluding UK)","All","150","55","0.38"
"2013","Deferred","25 - 29","EU (excluding UK)","All","120","55","0.442"
"2014","Deferred","25 - 29","EU (excluding UK)","All","110","50","0.47300000000000003"
"2015","Deferred","25 - 29","EU (excluding UK)","All","145","55","0.372"
"2016","Deferred","25 - 29","EU (excluding UK)","All","105","45","0.419"
"2017","Deferred","25 - 29","EU (excluding UK)","All","100","45","0.44"
"2018","Deferred","25 - 29","EU (excluding UK)","All","80","45","0.588"
"2019","Deferred","25 - 29","EU (excluding UK)","All","60","35","0.5670000000000001"
"2020","Deferred","25 - 29","EU (excluding UK)","All","55","30","0.509"
"2021","Deferred","25 - 29","EU (excluding UK)","All","25","20","0.72"
"2022","Deferred","25 - 29","EU (excluding UK)","All","30","20","0.7000000000000001"
"2023","Deferred","25 - 29","EU (excluding UK)","All","20","15","0.7000000000000001"
"2006","Not deferred","30 - 34","EU (excluding UK)","All","1320","475","0.359"
"2007","Not deferred","30 - 34","EU (excluding UK)","All","1275","490","0.384"
"2008","Not deferred","30 - 34","EU (excluding UK)","All","1010","385","0.38"
"2009","Not deferred","30 - 34","EU (excluding UK)","All","1215","420","0.34400000000000003"
"2010","Not deferred","30 - 34","EU (excluding UK)","All","1660","545","0.328"
"2011","Not deferred","30 - 34","EU (excluding UK)","All","1690","490","0.291"
"2012","Not deferred","30 - 34","EU (excluding UK)","All","1365","440","0.322"
"2013","Not deferred","30 - 34","EU (excluding UK)","All","1360","430","0.318"
"2014","Not deferred","30 - 34","EU (excluding UK)","All","1215","375","0.309"
"2015","Not deferred","30 - 34","EU (excluding UK)","All","1210","400","0.331"
"2016","Not deferred","30 - 34","EU (excluding UK)","All","1095","290","0.266"
"2017","Not deferred","30 - 34","EU (excluding UK)","All","985","335","0.338"
"2018","Not deferred","30 - 34","EU (excluding UK)","All","965","325","0.338"
"2019","Not deferred","30 - 34","EU (excluding UK)","All","855","335","0.392"
"2020","Not deferred","30 - 34","EU (excluding UK)","All","785","335","0.424"
"2021","Not deferred","30 - 34","EU (excluding UK)","All","575","205","0.355"
"2022","Not deferred","30 - 34","EU (excluding UK)","All","410","135","0.324"
"2023","Not deferred","30 - 34","EU (excluding UK)","All","360","115","0.319"
"2006","Deferred","30 - 34","EU (excluding UK)","All","30","20","0.7000000000000001"
"2007","Deferred","30 - 34","EU (excluding UK)","All","25","20","0.76"
"2008","Deferred","30 - 34","EU (excluding UK)","All","20","10","0.6"
"2009","Deferred","30 - 34","EU (excluding UK)","All","20","15","0.85"
"2010","Deferred","30 - 34","EU (excluding UK)","All","80","45","0.538"
"2011","Deferred","30 - 34","EU (excluding UK)","All","35","20","0.6"
"2012","Deferred","30 - 34","EU (excluding UK)","All","30","15","0.467"
"2013","Deferred","30 - 34","EU (excluding UK)","All","30","20","0.6"
"2014","Deferred","30 - 34","EU (excluding UK)","All","30","15","0.467"
"2015","Deferred","30 - 34","EU (excluding UK)","All","25","15","0.52"
"2016","Deferred","30 - 34","EU (excluding UK)","All","20","5"," "
"2017","Deferred","30 - 34","EU (excluding UK)","All","30","5"," "
"2018","Deferred","30 - 34","EU (excluding UK)","All","35","15","0.457"
"2019","Deferred","30 - 34","EU (excluding UK)","All","25","15","0.6"
"2020","Deferred","30 - 34","EU (excluding UK)","All","10","5"," "
"2021","Deferred","30 - 34","EU (excluding UK)","All","15","10","0.667"
"2022","Deferred","30 - 34","EU (excluding UK)","All","5","5"," "
"2023","Deferred","30 - 34","EU (excluding UK)","All","15","10"," "
"2006","Not deferred","35 and over","EU (excluding UK)","All","705","265","0.377"
"2007","Not deferred","35 and over","EU (excluding UK)","All","760","280","0.368"
"2008","Not deferred","35 and over","EU (excluding UK)","All","620","235","0.381"
"2009","Not deferred","35 and over","EU (excluding UK)","All","785","265","0.335"
"2010","Not deferred","35 and over","EU (excluding UK)","All","1110","350","0.315"
"2011","Not deferred","35 and over","EU (excluding UK)","All","1040","295","0.28400000000000003"
"2012","Not deferred","35 and over","EU (excluding UK)","All","1060","280","0.265"
"2013","Not deferred","35 and over","EU (excluding UK)","All","1060","280","0.265"
"2014","Not deferred","35 and over","EU (excluding UK)","All","1000","300","0.302"
"2015","Not deferred","35 and over","EU (excluding UK)","All","1080","285","0.264"
"2016","Not deferred","35 and over","EU (excluding UK)","All","1070","310","0.28800000000000003"
"2017","Not deferred","35 and over","EU (excluding UK)","All","775","215","0.28"
"2018","Not deferred","35 and over","EU (excluding UK)","All","805","275","0.339"
"2019","Not deferred","35 and over","EU (excluding UK)","All","760","290","0.383"
"2020","Not deferred","35 and over","EU (excluding UK)","All","735","265","0.358"
"2021","Not deferred","35 and over","EU (excluding UK)","All","545","160","0.297"
"2022","Not deferred","35 and over","EU (excluding UK)","All","410","105","0.254"
"2023","Not deferred","35 and over","EU (excluding UK)","All","385","110","0.281"
"2006","Deferred","35 and over","EU (excluding UK)","All","20","15","0.85"
"2007","Deferred","35 and over","EU (excluding UK)","All","25","20","0.8"
"2008","Deferred","35 and over","EU (excluding UK)","All","35","15","0.429"
"2009","Deferred","35 and over","EU (excluding UK)","All","30","15","0.533"
"2010","Deferred","35 and over","EU (excluding UK)","All","40","25","0.5750000000000001"
"2011","Deferred","35 and over","EU (excluding UK)","All","40","15","0.325"
"2012","Deferred","35 and over","EU (excluding UK)","All","40","15","0.325"
"2013","Deferred","35 and over","EU (excluding UK)","All","40","20","0.45"
"2014","Deferred","35 and over","EU (excluding UK)","All","40","15","0.425"
"2015","Deferred","35 and over","EU (excluding UK)","All","50","15","0.32"
"2016","Deferred","35 and over","EU (excluding UK)","All","50","20","0.36"
"2017","Deferred","35 and over","EU (excluding UK)","All","25","10","0.48"
"2018","Deferred","35 and over","EU (excluding UK)","All","25","15","0.52"
"2019","Deferred","35 and over","EU (excluding UK)","All","20","5"," "
"2020","Deferred","35 and over","EU (excluding UK)","All","35","20","0.5710000000000001"
"2021","Deferred","35 and over","EU (excluding UK)","All","20","10","0.55"
"2022","Deferred","35 and over","EU (excluding UK)","All","15","10"," "
"2023","Deferred","35 and over","EU (excluding UK)","All","10","5"," "
"2006","All","17 and under","Northern Ireland","All","410","285","0.6930000000000001"
"2007","All","17 and under","Northern Ireland","All","365","285","0.786"
"2008","All","17 and under","Northern Ireland","All","250","180","0.724"
"2009","All","17 and under","Northern Ireland","All","290","200","0.6900000000000001"
"2010","All","17 and under","Northern Ireland","All","235","170","0.715"
"2011","All","17 and under","Northern Ireland","All","215","155","0.716"
"2012","All","17 and under","Northern Ireland","All","230","170","0.73"
"2013","All","17 and under","Northern Ireland","All","170","115","0.676"
"2014","All","17 and under","Northern Ireland","All","125","90","0.72"
"2015","All","17 and under","Northern Ireland","All","145","115","0.786"
"2016","All","17 and under","Northern Ireland","All","200","150","0.74"
"2017","All","17 and under","Northern Ireland","All","120","80","0.65"
"2018","All","17 and under","Northern Ireland","All","140","110","0.786"
"2019","All","17 and under","Northern Ireland","All","175","125","0.726"
"2020","All","17 and under","Northern Ireland","All","135","100","0.726"
"2021","All","17 and under","Northern Ireland","All","160","105","0.644"
"2022","All","17 and under","Northern Ireland","All","150","90","0.607"
"2023","All","17 and under","Northern Ireland","All","155","105","0.684"
"2006","All","18","Northern Ireland","All","64440","49415","0.767"
"2007","All","18","Northern Ireland","All","62915","48595","0.772"
"2008","All","18","Northern Ireland","All","52025","41115","0.79"
"2009","All","18","Northern Ireland","All","54925","43190","0.786"
"2010","All","18","Northern Ireland","All","57225","42710","0.746"
"2011","All","18","Northern Ireland","All","57610","40395","0.7010000000000001"
"2012","All","18","Northern Ireland","All","55850","41015","0.734"
"2013","All","18","Northern Ireland","All","56340","43040","0.764"
"2014","All","18","Northern Ireland","All","55175","43325","0.785"
"2015","All","18","Northern Ireland","All","57460","45040","0.784"
"2016","All","18","Northern Ireland","All","56565","44345","0.784"
"2017","All","18","Northern Ireland","All","55210","43470","0.787"
"2018","All","18","Northern Ireland","All","52900","41925","0.793"
"2019","All","18","Northern Ireland","All","50270","39745","0.791"
"2020","All","18","Northern Ireland","All","51225","40975","0.8"
"2021","All","18","Northern Ireland","All","55565","43410","0.781"
"2022","All","18","Northern Ireland","All","58600","44475","0.759"
"2023","All","18","Northern Ireland","All","57565","45535","0.791"
"2006","All","19","Northern Ireland","All","9345","5800","0.621"
"2007","All","19","Northern Ireland","All","10740","6940","0.646"
"2008","All","19","Northern Ireland","All","9175","6140","0.669"
"2009","All","19","Northern Ireland","All","8835","5855","0.663"
"2010","All","19","Northern Ireland","All","11340","7090","0.625"
"2011","All","19","Northern Ireland","All","14090","8270","0.587"
"2012","All","19","Northern Ireland","All","12325","7560","0.613"
"2013","All","19","Northern Ireland","All","13675","8805","0.644"
"2014","All","19","Northern Ireland","All","14145","9485","0.671"
"2015","All","19","Northern Ireland","All","14475","10085","0.6970000000000001"
"2016","All","19","Northern Ireland","All","16525","11585","0.7010000000000001"
"2017","All","19","Northern Ireland","All","15315","10725","0.7000000000000001"
"2018","All","19","Northern Ireland","All","14375","10350","0.72"
"2019","All","19","Northern Ireland","All","13855","10050","0.726"
"2020","All","19","Northern Ireland","All","12685","9305","0.734"
"2021","All","19","Northern Ireland","All","11290","7615","0.675"
"2022","All","19","Northern Ireland","All","10105","6365","0.63"
"2023","All","19","Northern Ireland","All","9810","6540","0.667"
"2006","All","20","Northern Ireland","All","3950","2310","0.585"
"2007","All","20","Northern Ireland","All","3890","2375","0.611"
"2008","All","20","Northern Ireland","All","3830","2490","0.65"
"2009","All","20","Northern Ireland","All","3790","2380","0.628"
"2010","All","20","Northern Ireland","All","4800","2810","0.585"
"2011","All","20","Northern Ireland","All","5475","2945","0.538"
"2012","All","20","Northern Ireland","All","5610","3185","0.5680000000000001"
"2013","All","20","Northern Ireland","All","6270","3805","0.607"
"2014","All","20","Northern Ireland","All","7020","4490","0.64"
"2015","All","20","Northern Ireland","All","6285","3955","0.629"
"2016","All","20","Northern Ireland","All","6570","4200","0.639"
"2017","All","20","Northern Ireland","All","6810","4390","0.645"
"2018","All","20","Northern Ireland","All","6660","4495","0.675"
"2019","All","20","Northern Ireland","All","6130","4250","0.6930000000000001"
"2020","All","20","Northern Ireland","All","5735","3950","0.6880000000000001"
"2021","All","20","Northern Ireland","All","5340","3620","0.678"
"2022","All","20","Northern Ireland","All","4265","2575","0.604"
"2023","All","20","Northern Ireland","All","3795","2330","0.614"
"2006","All","21 - 24","Northern Ireland","All","5845","2925","0.5"
"2007","All","21 - 24","Northern Ireland","All","6030","3110","0.516"
"2008","All","21 - 24","Northern Ireland","All","5425","3090","0.5700000000000001"
"2009","All","21 - 24","Northern Ireland","All","5690","3140","0.552"
"2010","All","21 - 24","Northern Ireland","All","7355","3790","0.515"
"2011","All","21 - 24","Northern Ireland","All","8295","3715","0.448"
"2012","All","21 - 24","Northern Ireland","All","7560","3720","0.492"
"2013","All","21 - 24","Northern Ireland","All","9125","4630","0.507"
"2014","All","21 - 24","Northern Ireland","All","9080","4635","0.51"
"2015","All","21 - 24","Northern Ireland","All","9385","4835","0.515"
"2016","All","21 - 24","Northern Ireland","All","9250","4720","0.51"
"2017","All","21 - 24","Northern Ireland","All","8200","4510","0.55"
"2018","All","21 - 24","Northern Ireland","All","7480","4165","0.557"
"2019","All","21 - 24","Northern Ireland","All","7285","4240","0.582"
"2020","All","21 - 24","Northern Ireland","All","6530","3975","0.608"
"2021","All","21 - 24","Northern Ireland","All","7430","4035","0.543"
"2022","All","21 - 24","Northern Ireland","All","6020","3190","0.53"
"2023","All","21 - 24","Northern Ireland","All","5365","2870","0.535"
"2006","All","25 - 29","Northern Ireland","All","1980","840","0.424"
"2007","All","25 - 29","Northern Ireland","All","1995","1020","0.511"
"2008","All","25 - 29","Northern Ireland","All","1640","885","0.54"
"2009","All","25 - 29","Northern Ireland","All","1870","955","0.512"
"2010","All","25 - 29","Northern Ireland","All","2630","1285","0.489"
"2011","All","25 - 29","Northern Ireland","All","3010","1280","0.426"
"2012","All","25 - 29","Northern Ireland","All","2510","1165","0.464"
"2013","All","25 - 29","Northern Ireland","All","3145","1345","0.427"
"2014","All","25 - 29","Northern Ireland","All","3180","1360","0.427"
"2015","All","25 - 29","Northern Ireland","All","3190","1385","0.434"
"2016","All","25 - 29","Northern Ireland","All","3235","1420","0.439"
"2017","All","25 - 29","Northern Ireland","All","2585","1170","0.453"
"2018","All","25 - 29","Northern Ireland","All","2500","1185","0.47400000000000003"
"2019","All","25 - 29","Northern Ireland","All","2120","1005","0.47400000000000003"
"2020","All","25 - 29","Northern Ireland","All","2040","1040","0.509"
"2021","All","25 - 29","Northern Ireland","All","2520","1055","0.419"
"2022","All","25 - 29","Northern Ireland","All","2030","915","0.452"
"2023","All","25 - 29","Northern Ireland","All","1730","830","0.47900000000000004"
"2006","All","30 - 34","Northern Ireland","All","970","460","0.47600000000000003"
"2007","All","30 - 34","Northern Ireland","All","725","395","0.543"
"2008","All","30 - 34","Northern Ireland","All","655","370","0.5650000000000001"
"2009","All","30 - 34","Northern Ireland","All","715","420","0.59"
"2010","All","30 - 34","Northern Ireland","All","915","480","0.527"
"2011","All","30 - 34","Northern Ireland","All","970","445","0.458"
"2012","All","30 - 34","Northern Ireland","All","935","460","0.49"
"2013","All","30 - 34","Northern Ireland","All","1115","445","0.399"
"2014","All","30 - 34","Northern Ireland","All","1255","530","0.421"
"2015","All","30 - 34","Northern Ireland","All","1380","630","0.455"
"2016","All","30 - 34","Northern Ireland","All","1365","590","0.432"
"2017","All","30 - 34","Northern Ireland","All","1230","575","0.467"
"2018","All","30 - 34","Northern Ireland","All","1050","490","0.465"
"2019","All","30 - 34","Northern Ireland","All","1160","555","0.47800000000000004"
"2020","All","30 - 34","Northern Ireland","All","1010","470","0.467"
"2021","All","30 - 34","Northern Ireland","All","1230","525","0.428"
"2022","All","30 - 34","Northern Ireland","All","1155","505","0.436"
"2023","All","30 - 34","Northern Ireland","All","905","395","0.438"
"2006","All","35 and over","Northern Ireland","All","1135","590","0.522"
"2007","All","35 and over","Northern Ireland","All","1150","670","0.584"
"2008","All","35 and over","Northern Ireland","All","1050","660","0.628"
"2009","All","35 and over","Northern Ireland","All","895","510","0.5700000000000001"
"2010","All","35 and over","Northern Ireland","All","1145","595","0.518"
"2011","All","35 and over","Northern Ireland","All","1225","605","0.494"
"2012","All","35 and over","Northern Ireland","All","975","505","0.519"
"2013","All","35 and over","Northern Ireland","All","1310","575","0.439"
"2014","All","35 and over","Northern Ireland","All","1395","735","0.528"
"2015","All","35 and over","Northern Ireland","All","1395","610","0.439"
"2016","All","35 and over","Northern Ireland","All","1495","695","0.465"
"2017","All","35 and over","Northern Ireland","All","1315","575","0.439"
"2018","All","35 and over","Northern Ireland","All","1240","630","0.51"
"2019","All","35 and over","Northern Ireland","All","1285","630","0.491"
"2020","All","35 and over","Northern Ireland","All","1265","695","0.55"
"2021","All","35 and over","Northern Ireland","All","1485","590","0.397"
"2022","All","35 and over","Northern Ireland","All","1295","530","0.40800000000000003"
"2023","All","35 and over","Northern Ireland","All","1280","625","0.49"
"2006","All","17 and under","England","All","6890","4705","0.683"
"2007","All","17 and under","England","All","7100","4845","0.683"
"2008","All","17 and under","England","All","6070","3815","0.629"
"2009","All","17 and under","England","All","5905","3635","0.616"
"2010","All","17 and under","England","All","5800","3280","0.5660000000000001"
"2011","All","17 and under","England","All","5170","3070","0.594"
"2012","All","17 and under","England","All","4105","2700","0.657"
"2013","All","17 and under","England","All","3810","2560","0.672"
"2014","All","17 and under","England","All","4105","2765","0.674"
"2015","All","17 and under","England","All","4220","2895","0.686"
"2016","All","17 and under","England","All","4125","2830","0.686"
"2017","All","17 and under","England","All","3960","2725","0.6880000000000001"
"2018","All","17 and under","England","All","3985","2750","0.6900000000000001"
"2019","All","17 and under","England","All","3690","2530","0.685"
"2020","All","17 and under","England","All","4035","2770","0.686"
"2021","All","17 and under","England","All","4150","2705","0.651"
"2022","All","17 and under","England","All","5165","3025","0.585"
"2023","All","17 and under","England","All","5175","2965","0.5730000000000001"
"2006","All","18","England","All","1007785","743080","0.737"
"2007","All","18","England","All","1028230","754735","0.734"
"2008","All","18","England","All","922495","689650","0.748"
"2009","All","18","England","All","974355","716050","0.735"
