"Year","Estranged status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Is not estranged from parents","19","England","Male","Main scheme applicant","Not main scheme application","3610","3185","0.882","0"
"2023","Is not estranged from parents","19","Scotland","Male","Main scheme applicant","Not main scheme application","150","115","0.748","0"
"2023","Is not estranged from parents","19","Wales","Male","Main scheme applicant","Not main scheme application","100","95","0.9410000000000001","0"
"2023","Is estranged from parents","19","England","Male","Main scheme applicant","Not main scheme application","70","55","0.794","0"
"2023","Is estranged from parents","19","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","20","England","Male","Main scheme applicant","Not main scheme application","30","25","0.774","0"
"2023","Is not estranged from parents","20","Northern Ireland","Male","Main scheme applicant","Not main scheme application","30","25","0.742","0"
"2023","Is not estranged from parents","20","England","Male","Main scheme applicant","Not main scheme application","1100","920","0.835","0"
"2023","Is not estranged from parents","20","Scotland","Male","Main scheme applicant","Not main scheme application","60","45","0.721","0"
"2023","Is not estranged from parents","20","Wales","Male","Main scheme applicant","Not main scheme application","40","35","0.868","0"
"2023","Is estranged from parents","20","England","Male","Main scheme applicant","Not main scheme application","45","30","0.744","0"
"2023","Is estranged from parents","20","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","21 - 24","England","Male","Main scheme applicant","Not main scheme application","25","15","0.739","0"
"2023","Not declared","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Is not estranged from parents","21 - 24","Northern Ireland","Male","Main scheme applicant","Not main scheme application","30","25","0.774","0"
"2023","Is not estranged from parents","21 - 24","England","Male","Main scheme applicant","Not main scheme application","1100","875","0.796","0"
"2023","Is not estranged from parents","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","120","85","0.7030000000000001","0"
"2023","Is not estranged from parents","21 - 24","Wales","Male","Main scheme applicant","Not main scheme application","35","30","0.806","0"
"2023","Is estranged from parents","21 - 24","England","Male","Main scheme applicant","Not main scheme application","95","65","0.674","0"
