"Year","Achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","305","225","0.734","0"
"2015","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","385","300","0.773","0"
"2016","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","355","265","0.749","0"
"2017","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","335","285","0.85","0"
"2018","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","270","230","0.851","0"
"2019","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","185","155","0.849","0"
"2020","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","245","220","0.894","0"
"2021","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","340","300","0.877","0"
"2022","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","160","135","0.844","0"
"2023","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","115","100","0.868","0"
"2010","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","30","20","0.759","0"
"2011","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","30","20","0.667","0"
"2012","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","25","20","0.6920000000000001","0"
"2013","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","35","25","0.765","0"
"2014","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","40","35","0.857","0"
"2015","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","35","30","0.889","0"
"2016","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","20","20","0.9470000000000001","0"
"2017","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2018","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","15","15","0.882","0"
"2019","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","15","15","1","0"
"2020","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","25","25","0.889","0"
"2021","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","50","45","0.917","0"
"2022","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","30","30","0.875","0"
"2023","1 point (PPP)","Black","Main scheme applicant","Not main scheme application","35","35","0.919","0"
"2010","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","25","10","0.458","0"
"2011","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","15","15","0.765","0"
"2012","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","35","25","0.727","0"
"2013","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","25","20","0.833","0"
"2014","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","30","30","0.9380000000000001","0"
"2015","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","50","45","0.92","0"
"2016","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","30","30","0.906","0"
"2017","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","20","20","1","0"
"2018","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","25","25","0.96","0"
"2019","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","35","25","0.8180000000000001","0"
"2020","2 points (MPP)","Black","Main scheme applicant","Not main scheme application","25","25","0.92","0"
