"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","All","30 - 34","EU (excluding UK)","15","0"," "
"2022","All","30 - 34","EU (excluding UK)","10","0"," "
"2019","All","35 and over","EU (excluding UK)","20","0"," "
"2020","All","35 and over","EU (excluding UK)","20","5"," "
"2021","All","35 and over","EU (excluding UK)","20","5"," "
"2022","All","35 and over","EU (excluding UK)","10","0"," "
"2023","All","35 and over","EU (excluding UK)","10","0"," "
"2019","Female","All","Northern Ireland","905","135","0.147"
"2020","Female","All","Northern Ireland","875","175","0.198"
"2021","Female","All","Northern Ireland","1120","160","0.14100000000000001"
"2022","Female","All","Northern Ireland","1050","175","0.168"
"2023","Female","All","Northern Ireland","870","125","0.146"
"2019","Male","All","Northern Ireland","5","0"," "
"2020","Male","All","Northern Ireland","5","0"," "
"2021","Male","All","Northern Ireland","5","0"," "
"2022","Male","All","Northern Ireland","5","0"," "
"2023","Male","All","Northern Ireland","5","0"," "
"2019","Female","All","England","23585","5735","0.243"
"2020","Female","All","England","24220","6755","0.279"
"2021","Female","All","England","31360","7265","0.232"
"2022","Female","All","England","29120","6305","0.217"
"2023","Female","All","England","23000","6675","0.29"
"2019","Male","All","England","60","15","0.267"
"2020","Male","All","England","45","15","0.289"
"2021","Male","All","England","115","25","0.209"
