"Year","Qualification group","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2013","Access to HE only","Unknown","Main scheme applicant","Main scheme application","45","25","0.523","0"
"2014","Access to HE only","Unknown","Main scheme applicant","Main scheme application","35","25","0.771","0"
"2015","Access to HE only","Unknown","Main scheme applicant","Main scheme application","30","20","0.679","0"
"2016","Access to HE only","Unknown","Main scheme applicant","Main scheme application","25","15","0.609","0"
"2017","Access to HE only","Unknown","Main scheme applicant","Main scheme application","35","20","0.5760000000000001","0"
"2018","Access to HE only","Unknown","Main scheme applicant","Main scheme application","25","20","0.72","0"
"2019","Access to HE only","Unknown","Main scheme applicant","Main scheme application","30","20","0.75","0"
"2020","Access to HE only","Unknown","Main scheme applicant","Main scheme application","20","15","0.833","0"
"2021","Access to HE only","Unknown","Main scheme applicant","Main scheme application","35","20","0.636","0"
"2022","Access to HE only","Unknown","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","Access to HE only","Unknown","Main scheme applicant","Main scheme application","10","5"," ","0"
"2015","A level & Cambridge Technicals","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","A level & Cambridge Technicals","Unknown","Main scheme applicant","Main scheme application","5","0"," ","0"
"2017","A level & Cambridge Technicals","Unknown","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","A level & Cambridge Technicals","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","A level & Cambridge Technicals","Unknown","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","A level & Cambridge Technicals","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","A level & Cambridge Technicals","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2008","Other","Unknown","Main scheme applicant","Main scheme application","3600","2140","0.594","0"
"2009","Other","Unknown","Main scheme applicant","Main scheme application","1185","640","0.54","0"
"2010","Other","Unknown","Main scheme applicant","Main scheme application","835","415","0.495","0"
"2011","Other","Unknown","Main scheme applicant","Main scheme application","805","410","0.51","0"
"2012","Other","Unknown","Main scheme applicant","Main scheme application","585","260","0.441","0"
"2013","Other","Unknown","Main scheme applicant","Main scheme application","415","200","0.482","0"
"2014","Other","Unknown","Main scheme applicant","Main scheme application","385","170","0.44","0"
"2015","Other","Unknown","Main scheme applicant","Main scheme application","355","170","0.487","0"
"2016","Other","Unknown","Main scheme applicant","Main scheme application","380","190","0.497","0"
"2017","Other","Unknown","Main scheme applicant","Main scheme application","305","165","0.545","0"
"2018","Other","Unknown","Main scheme applicant","Main scheme application","320","150","0.467","0"
"2019","Other","Unknown","Main scheme applicant","Main scheme application","335","195","0.578","0"
"2020","Other","Unknown","Main scheme applicant","Main scheme application","350","180","0.521","0"
