"Year","NPD ethnic group","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2014","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1440","13150","0.11"
"2014","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","90","1080","0.08"
"2014","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","820","10240","0.08"
"2014","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","17450","233620","0.075"
"2015","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","390","3770","0.10300000000000001"
"2015","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","3070","23910","0.128"
"2015","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1570","13720","0.115"
"2015","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","130","1100","0.11900000000000001"
"2015","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","910","10890","0.084"
"2015","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","17620","235800","0.075"
"2016","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","380","3930","0.097"
"2016","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","3190","24920","0.128"
"2016","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1500","13580","0.111"
"2016","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","90","1010","0.08600000000000001"
"2016","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","890","11210","0.079"
"2016","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","16940","230930","0.073"
"2017","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","360","4130","0.088"
"2017","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","3030","25660","0.11800000000000001"
"2017","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1470","13760","0.107"
"2017","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","100","1000","0.101"
"2017","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","880","11530","0.077"
"2017","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","16040","226910","0.07100000000000001"
"2018","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","390","4270","0.092"
"2018","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","3250","26580","0.122"
"2018","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1590","14130","0.113"
"2018","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","100","970","0.1"
"2018","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","920","11810","0.078"
"2018","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","15290","218750","0.07"
"2019","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","440","4430","0.099"
"2019","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","3530","27170","0.13"
"2019","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1690","14140","0.11900000000000001"
"2019","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","100","1020","0.096"
"2019","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","920","12060","0.077"
"2019","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","14450","210080","0.069"
"2020","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","480","4430","0.109"
"2020","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","3870","28670","0.135"
"2020","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1760","14600","0.12"
"2020","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","90","860","0.105"
"2020","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1080","12770","0.085"
"2020","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","14670","206440","0.07100000000000001"
"2021","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","510","4950","0.10400000000000001"
"2021","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","4020","30160","0.133"
"2021","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1950","15780","0.123"
"2021","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","100","980","0.099"
"2021","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1210","13920","0.08700000000000001"
"2021","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","15540","211220","0.074"
"2022","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","620","5420","0.114"
"2022","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","4190","31130","0.135"
"2022","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","2320","16630","0.139"
"2022","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","90","940","0.091"
"2022","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1390","15150","0.092"
"2022","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","16270","215900","0.075"
"2023","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","570","6040","0.094"
"2023","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","3800","33660","0.113"
