"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2022","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Scotland","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Scotland","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Scotland","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Scotland","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","Scotland","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","England","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","England","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","England","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","England","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Wales","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Wales","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Wales","18","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Wales","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," "
"2023","Wales","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","England","19","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Wales","19","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","England","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Wales","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Wales","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Wales","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Wales","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Wales","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Wales","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Wales","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","Wales","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Wales","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","England","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Wales","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Wales","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Wales","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Wales","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," "
"2020","Wales","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","England","18","Not EU","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","England","18","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","England","18","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","England","18","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","England","18","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","England","19","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","England","21 - 24","EU (excluding UK)","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Northern Ireland","17 and under","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","England","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","75","10","0.156"
"2020","England","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","85","15","0.155"
"2021","England","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","120","10"," "
"2022","England","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","120","10"," "
"2023","England","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","80","5"," "
"2019","Northern Ireland","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","160","10"," "
"2020","Northern Ireland","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","180","20","0.10400000000000001"
"2021","Northern Ireland","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","240","20","0.091"
"2022","Northern Ireland","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","270","30","0.11800000000000001"
"2023","Northern Ireland","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","250","25","0.097"
"2019","Scotland","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","25","0"," "
