2022 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
HIGHER LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    TOTAL MALE,119,143,90,19,9,3,1,3,387
,,,,,,,,,
    % MALE ,30.7,37,23.3,4.9,2.3,0.8,0.3,0.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    LAITVIS,2,5,9,14,9,14,6,9,68
,,,,,,,,,
    LATVIAN,2.9,7.4,13.2,20.6,13.2,20.6,8.8,13.2,
,,,,,,,,,
    TOTAL FEMALE,2,5,4,9,7,11,1,2,41
,,,,,,,,,
    % FEMALE ,4.9,12.2,9.8,22,17.1,26.8,2.4,4.9,
,,,,,,,,,
    TOTAL MALE,0,0,5,5,2,3,5,7,27
,,,,,,,,,
    % MALE ,0,0,18.5,18.5,7.4,11.1,18.5,25.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    LIOTUÁINIS,71,46,31,13,3,3,3,4,174
,,,,,,,,,
    LITHUANIAN,40.8,26.4,17.8,7.5,1.7,1.7,1.7,2.3,
,,,,,,,,,
    TOTAL FEMALE,50,24,14,5,1,1,1,2,98
,,,,,,,,,
    % FEMALE ,51,24.5,14.3,5.1,1,1,1,2,
,,,,,,,,,
    TOTAL MALE,21,22,17,8,2,2,2,2,76
,,,,,,,,,
    % MALE ,27.6,28.9,22.4,10.5,2.6,2.6,2.6,2.6,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    UNGÁIRIS,14,10,15,6,2,0,1,1,49
,,,,,,,,,
    HUNGARIAN,28.6,20.4,30.6,12.2,4.1,0,2,2,
,,,,,,,,,
    TOTAL FEMALE,7,5,5,1,0,0,0,0,18
,,,,,,,,,
    % FEMALE ,38.9,27.8,27.8,5.6,0,0,0,0,
,,,,,,,,,
    TOTAL MALE,7,5,10,5,2,0,1,1,31
,,,,,,,,,
    % MALE ,22.6,16.1,32.3,16.1,6.5,0,3.2,3.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
    RÓMÁINIS,78,77,104,65,31,16,4,4,379
,,,,,,,,,
    ROMANIAN,20.6,20.3,27.4,17.2,8.2,4.2,1.1,1.1,
,,,,,,,,,
    TOTAL FEMALE,61,49,50,32,12,5,1,0,210
,,,,,,,,,
    % FEMALE ,29,23.3,23.8,15.2,5.7,2.4,0.5,0,
,,,,,,,,,
    TOTAL MALE,17,28,54,33,19,11,3,4,169
,,,,,,,,,
    % MALE ,10.1,16.6,32,19.5,11.2,6.5,1.8,2.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    SLÓVAICIS,10,3,3,1,3,2,1,1,24
,,,,,,,,,
    SLOVAKIAN,41.7,12.5,12.5,4.2,12.5,8.3,4.2,4.2,
,,,,,,,,,
    TOTAL FEMALE,7,2,2,0,0,1,1,0,13
,,,,,,,,,
    % FEMALE ,53.8,15.4,15.4,0,0,7.7,7.7,0,
,,,,,,,,,
    TOTAL MALE,3,1,1,1,3,1,0,1,11
,,,,,,,,,
    % MALE ,27.3,9.1,9.1,9.1,27.3,9.1,0,9.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    BULGÁIRIS,2,14,5,5,4,0,1,0,31
,,,,,,,,,
    BULGARIAN,6.5,45.2,16.1,16.1,12.9,0,3.2,0,
,,,,,,,,,
    TOTAL FEMALE,2,9,2,1,2,0,0,0,16
,,,,,,,,,
    % FEMALE ,12.5,56.3,12.5,6.3,12.5,0,0,0,
,,,,,,,,,
    TOTAL MALE,0,5,3,4,2,0,1,0,15
,,,,,,,,,
    % MALE ,0,33.3,20,26.7,13.3,0,6.7,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GRAFAIC DHEARAIDH ,997,1061,1023,912,625,272,97,48,5035
,,,,,,,,,
    DESIGN & COMMUNICA,19.8,21.1,20.3,18.1,12.4,5.4,1.9,1,
,,,,,,,,,
    TOTAL FEMALE,197,213,211,143,96,36,12,10,918
,,,,,,,,,
    % FEMALE ,21.5,23.2,23,15.6,10.5,3.9,1.3,1.1,
,,,,,,,,,
    TOTAL MALE,800,848,812,769,529,236,85,38,4117
,,,,,,,,,
    % MALE ,19.4,20.6,19.7,18.7,12.8,5.7,2.1,0.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    SÍNIS MANDAIRÍNIS,244,15,11,6,1,2,1,0,280
,,,,,,,,,
    MANDARIN CHINESE,87.1,5.4,3.9,2.1,0.4,0.7,0.4,0,
,,,,,,,,,
    TOTAL FEMALE,141,8,5,3,1,0,0,0,158
,,,,,,,,,
    % FEMALE ,89.2,5.1,3.2,1.9,0.6,0,0,0,
 ,,,,,,,,,
,,,,,,,,,
    TOTAL MALE,103,7,6,3,0,2,1,0,122
,,,,,,,,,
    % MALE ,84.4,5.7,4.9,2.5,0,1.6,0.8,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CRÓITIS,19,17,22,16,12,3,1,2,92
,,,,,,,,,
    CROATIAN,20.7,18.5,23.9,17.4,13,3.3,1.1,2.2,
,,,,,,,,,
    TOTAL FEMALE,14,11,12,6,6,3,0,0,52
,,,,,,,,,
