"Year","Qualification group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","Access to HE only","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Access to HE only","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Access to HE only","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","A level & Cambridge Technicals","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","A level & Cambridge Technicals","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","A level & Cambridge Technicals","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","A level & Cambridge Technicals","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2018","A level & Cambridge Technicals","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","A level & Cambridge Technicals","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2020","A level & Cambridge Technicals","18","England","Female","Not main scheme applicant","Not main scheme application","35","35","0.9430000000000001","5"
"2021","A level & Cambridge Technicals","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","5"
"2022","A level & Cambridge Technicals","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.882","0"
"2023","A level & Cambridge Technicals","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2008","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","0"," ","5"
"2011","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.8240000000000001","5"
"2021","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Other","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1105","1080","0.976","145"
"2009","Other","18","England","Female","Not main scheme applicant","Not main scheme application","915","875","0.9550000000000001","145"
"2010","Other","18","England","Female","Not main scheme applicant","Not main scheme application","290","275","0.9420000000000001","90"
"2011","Other","18","England","Female","Not main scheme applicant","Not main scheme application","320","290","0.909","90"
"2012","Other","18","England","Female","Not main scheme applicant","Not main scheme application","460","435","0.9500000000000001","60"
"2013","Other","18","England","Female","Not main scheme applicant","Not main scheme application","635","600","0.9420000000000001","75"
"2014","Other","18","England","Female","Not main scheme applicant","Not main scheme application","615","565","0.92","55"
"2015","Other","18","England","Female","Not main scheme applicant","Not main scheme application","615","595","0.964","75"
"2016","Other","18","England","Female","Not main scheme applicant","Not main scheme application","665","625","0.937","70"
"2017","Other","18","England","Female","Not main scheme applicant","Not main scheme application","850","805","0.9420000000000001","70"
"2018","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1150","1100","0.9590000000000001","55"
"2019","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1180","1125","0.9520000000000001","55"
"2020","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1530","1440","0.9420000000000001","80"
"2021","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1475","1410","0.9580000000000001","60"
"2022","Other","18","England","Female","Not main scheme applicant","Not main scheme application","1475","1385","0.9400000000000001","70"
