"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","International","Not EU","United Arab Emirates","35 and over","Female","5","0"," "
"2022","International","Not EU","United Arab Emirates","35 and over","Female","5","0"," "
"2023","International","Not EU","United Arab Emirates","35 and over","Female","10","0"," "
"2023","International","Not EU","Turkey","35 and over","Female","5","0"," "
"2021","International","Not EU","Uganda","35 and over","Female","5","0"," "
"2020","International","Not EU","United States of America","35 and over","Female","5","0"," "
"2021","International","Not EU","United States of America","35 and over","Female","5","0"," "
"2022","International","Not EU","United States of America","35 and over","Female","5","0"," "
"2023","UK","England","England","18","Male","5","0"," "
"2019","UK","Scotland","Scotland","18","Male","5","0"," "
"2020","UK","Scotland","Scotland","18","Male","5","0"," "
"2021","UK","Scotland","Scotland","18","Male","5","0"," "
"2022","UK","Scotland","Scotland","18","Male","5","0"," "
"2023","UK","Scotland","Scotland","18","Male","10","0"," "
"2022","UK","Wales","Wales","18","Male","5","0"," "
"2023","UK","Wales","Wales","18","Male","5","0"," "
"2022","UK","Scotland","Scotland","19","Male","5","0"," "
"2021","UK","Scotland","Scotland","20","Male","5","0"," "
"2022","UK","Scotland","Scotland","20","Male","5","0"," "
"2023","UK","Scotland","Scotland","20","Male","10","0"," "
"2023","UK","Wales","Wales","20","Male","5","0"," "
"2019","UK","England","England","21 - 24","Male","50","10","0.24"
"2020","UK","England","England","21 - 24","Male","45","10","0.244"
"2021","UK","England","England","21 - 24","Male","55","10","0.182"
"2022","UK","England","England","21 - 24","Male","110","35","0.3"
"2023","UK","England","England","21 - 24","Male","80","40","0.47500000000000003"
"2019","UK","Northern Ireland","Northern Ireland","21 - 24","Male","40","5"," "
"2020","UK","Northern Ireland","Northern Ireland","21 - 24","Male","20","0"," "
"2021","UK","Northern Ireland","Northern Ireland","21 - 24","Male","65","5"," "
"2022","UK","Northern Ireland","Northern Ireland","21 - 24","Male","70","25","0.357"
"2023","UK","Northern Ireland","Northern Ireland","21 - 24","Male","15","5"," "
"2019","UK","Scotland","Scotland","21 - 24","Male","1440","300","0.20800000000000002"
"2020","UK","Scotland","Scotland","21 - 24","Male","1345","310","0.23"
"2021","UK","Scotland","Scotland","21 - 24","Male","1900","385","0.203"
"2022","UK","Scotland","Scotland","21 - 24","Male","1435","315","0.219"
"2023","UK","Scotland","Scotland","21 - 24","Male","1120","285","0.253"
"2021","UK","Wales","Wales","21 - 24","Male","5","0"," "
"2022","UK","Wales","Wales","21 - 24","Male","365","175","0.47700000000000004"
"2023","UK","Wales","Wales","21 - 24","Male","340","180","0.524"
"2020","International","EU (excluding UK)","Belgium","21 - 24","Male","5","0"," "
"2021","International","EU (excluding UK)","Bulgaria","21 - 24","Male","5","0"," "
"2019","International","EU (excluding UK)","France","21 - 24","Male","20","5"," "
"2023","International","EU (excluding UK)","France","21 - 24","Male","5","0"," "
"2020","International","EU (excluding UK)","Germany","21 - 24","Male","5","0"," "
"2020","International","EU (excluding UK)","Hungary","21 - 24","Male","5","0"," "
"2019","International","EU (excluding UK)","Ireland","21 - 24","Male","60","5"," "
"2020","International","EU (excluding UK)","Ireland","21 - 24","Male","75","10","0.16"
