"Year","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","25 - 29","Northern Ireland","All","100","20","0.22"
"2020","25 - 29","Northern Ireland","All","65","10","0.154"
"2021","25 - 29","Northern Ireland","All","90","15","0.178"
"2022","25 - 29","Northern Ireland","All","45","15","0.289"
"2023","25 - 29","Northern Ireland","All","50","10","0.2"
"2019","30 - 34","Northern Ireland","All","5","0"," "
"2020","30 - 34","Northern Ireland","All","15","5"," "
"2021","30 - 34","Northern Ireland","All","15","0"," "
"2022","30 - 34","Northern Ireland","All","20","5"," "
"2023","30 - 34","Northern Ireland","All","10","0"," "
"2019","35 and over","Northern Ireland","All","10","0"," "
"2020","35 and over","Northern Ireland","All","5","0"," "
"2021","35 and over","Northern Ireland","All","10","5"," "
"2022","35 and over","Northern Ireland","All","15","5"," "
"2023","35 and over","Northern Ireland","All","10","5"," "
"2020","18","England","All","5","0"," "
"2022","18","England","All","10","0"," "
"2023","18","England","All","5","0"," "
"2022","19","England","All","5","0"," "
"2019","21 - 24","England","All","195","55","0.28200000000000003"
"2020","21 - 24","England","All","125","30","0.248"
"2021","21 - 24","England","All","255","60","0.23900000000000002"
"2022","21 - 24","England","All","335","130","0.388"
"2023","21 - 24","England","All","265","115","0.442"
"2019","25 - 29","England","All","80","20","0.275"
"2020","25 - 29","England","All","90","25","0.256"
"2021","25 - 29","England","All","140","35","0.264"
"2022","25 - 29","England","All","115","20","0.183"
"2023","25 - 29","England","All","70","25","0.386"
"2019","30 - 34","England","All","35","10","0.314"
"2020","30 - 34","England","All","45","20","0.422"
"2021","30 - 34","England","All","55","5"," "
"2022","30 - 34","England","All","50","10","0.2"
"2023","30 - 34","England","All","30","10","0.333"
"2019","35 and over","England","All","45","5"," "
"2020","35 and over","England","All","30","10"," "
"2021","35 and over","England","All","45","20","0.444"
"2022","35 and over","England","All","25","10"," "
"2023","35 and over","England","All","20","15","0.65"
"2019","18","Scotland","All","20","0"," "
"2020","18","Scotland","All","25","0"," "
"2021","18","Scotland","All","20","0"," "
"2022","18","Scotland","All","20","0"," "
"2023","18","Scotland","All","30","0"," "
"2019","19","Scotland","All","10","0"," "
"2020","19","Scotland","All","5","0"," "
"2021","19","Scotland","All","10","0"," "
"2022","19","Scotland","All","15","0"," "
"2023","19","Scotland","All","10","0"," "
"2019","20","Scotland","All","15","0"," "
"2020","20","Scotland","All","15","0"," "
"2021","20","Scotland","All","25","0"," "
"2022","20","Scotland","All","20","0"," "
"2023","20","Scotland","All","15","0"," "
"2019","21 - 24","Scotland","All","5700","1320","0.232"
"2020","21 - 24","Scotland","All","5980","1400","0.234"
"2021","21 - 24","Scotland","All","7875","1615","0.20500000000000002"
"2022","21 - 24","Scotland","All","5800","1505","0.26"
"2023","21 - 24","Scotland","All","4850","1425","0.294"
"2019","25 - 29","Scotland","All","4615","1040","0.225"
"2020","25 - 29","Scotland","All","4540","1075","0.23700000000000002"
"2021","25 - 29","Scotland","All","6010","1215","0.202"
"2022","25 - 29","Scotland","All","4210","1075","0.255"
"2023","25 - 29","Scotland","All","3060","835","0.273"
"2019","30 - 34","Scotland","All","1845","425","0.229"
"2020","30 - 34","Scotland","All","1950","475","0.244"
"2021","30 - 34","Scotland","All","2285","475","0.20700000000000002"
"2022","30 - 34","Scotland","All","1710","455","0.266"
"2023","30 - 34","Scotland","All","1240","350","0.281"
"2019","35 and over","Scotland","All","2945","680","0.23"
"2020","35 and over","Scotland","All","2980","770","0.259"
"2021","35 and over","Scotland","All","3330","690","0.20700000000000002"
"2022","35 and over","Scotland","All","2435","625","0.256"
"2023","35 and over","Scotland","All","1960","595","0.304"
"2020","18","Wales","All","5","0"," "
"2022","18","Wales","All","20","0"," "
"2023","18","Wales","All","5","0"," "
"2023","20","Wales","All","5","0"," "
"2019","21 - 24","Wales","All","5","0"," "
"2020","21 - 24","Wales","All","15","0"," "
"2021","21 - 24","Wales","All","5","0"," "
"2022","21 - 24","Wales","All","1450","755","0.52"
"2023","21 - 24","Wales","All","1345","685","0.511"
"2019","25 - 29","Wales","All","10","0"," "
"2020","25 - 29","Wales","All","15","0"," "
"2021","25 - 29","Wales","All","5","0"," "
"2022","25 - 29","Wales","All","530","280","0.526"
"2023","25 - 29","Wales","All","465","240","0.512"
"2019","30 - 34","Wales","All","5","0"," "
"2022","30 - 34","Wales","All","190","100","0.526"
"2023","30 - 34","Wales","All","155","80","0.529"
"2019","35 and over","Wales","All","5","0"," "
"2022","35 and over","Wales","All","210","105","0.495"
