"Year","UK region","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2006","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","425","265","0.627","0"
"2007","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","410","285","0.6940000000000001","0"
"2008","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","470","330","0.7010000000000001","0"
"2009","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","460","340","0.736","0"
"2010","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","600","385","0.64","0"
"2011","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","640","430","0.676","0"
"2012","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","655","440","0.67","0"
"2013","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","780","545","0.6980000000000001","0"
"2014","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","780","555","0.707","0"
"2015","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","725","480","0.66","0"
"2016","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","795","560","0.706","0"
"2017","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","860","605","0.7020000000000001","0"
"2018","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","785","560","0.717","0"
"2019","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","740","535","0.728","0"
"2020","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","705","545","0.774","0"
"2021","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","635","445","0.7020000000000001","0"
"2022","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","440","275","0.627","0"
"2023","Northern Ireland","20","Northern Ireland","Male","All","Main scheme application","395","255","0.64","0"
"2006","Scotland","20","Scotland","Male","All","Main scheme application","1020","735","0.72","0"
"2007","Scotland","20","Scotland","Male","All","Main scheme application","1080","765","0.71","0"
"2008","Scotland","20","Scotland","Male","All","Main scheme application","1120","815","0.725","0"
"2009","Scotland","20","Scotland","Male","All","Main scheme application","1190","850","0.713","0"
"2010","Scotland","20","Scotland","Male","All","Main scheme application","1390","875","0.629","0"
"2011","Scotland","20","Scotland","Male","All","Main scheme application","1500","870","0.581","0"
"2012","Scotland","20","Scotland","Male","All","Main scheme application","1540","1000","0.649","0"
"2013","Scotland","20","Scotland","Male","All","Main scheme application","1715","1095","0.639","0"
"2014","Scotland","20","Scotland","Male","All","Main scheme application","1665","1110","0.666","0"
"2015","Scotland","20","Scotland","Male","All","Main scheme application","1705","1130","0.662","0"
"2016","Scotland","20","Scotland","Male","All","Main scheme application","1680","1100","0.657","0"
"2017","Scotland","20","Scotland","Male","All","Main scheme application","1660","1100","0.663","0"
"2018","Scotland","20","Scotland","Male","All","Main scheme application","1665","1140","0.684","0"
"2019","Scotland","20","Scotland","Male","All","Main scheme application","1520","1045","0.6880000000000001","0"
"2020","Scotland","20","Scotland","Male","All","Main scheme application","1400","990","0.709","0"
"2021","Scotland","20","Scotland","Male","All","Main scheme application","1430","965","0.672","0"
"2022","Scotland","20","Scotland","Male","All","Main scheme application","1215","795","0.652","0"
"2023","Scotland","20","Scotland","Male","All","Main scheme application","1160","840","0.723","0"
"2006","Wales","20","Wales","Male","All","Main scheme application","470","350","0.741","0"
"2007","Wales","20","Wales","Male","All","Main scheme application","540","420","0.777","0"
"2008","Wales","20","Wales","Male","All","Main scheme application","590","460","0.777","0"
"2009","Wales","20","Wales","Male","All","Main scheme application","670","490","0.735","0"
"2010","Wales","20","Wales","Male","All","Main scheme application","720","495","0.6880000000000001","0"
"2011","Wales","20","Wales","Male","All","Main scheme application","745","490","0.658","0"
"2012","Wales","20","Wales","Male","All","Main scheme application","765","560","0.732","0"
"2013","Wales","20","Wales","Male","All","Main scheme application","700","530","0.762","0"
"2014","Wales","20","Wales","Male","All","Main scheme application","700","530","0.755","0"
"2015","Wales","20","Wales","Male","All","Main scheme application","720","545","0.756","0"
"2016","Wales","20","Wales","Male","All","Main scheme application","655","500","0.762","0"
"2017","Wales","20","Wales","Male","All","Main scheme application","680","525","0.767","0"
"2018","Wales","20","Wales","Male","All","Main scheme application","595","450","0.75","0"
"2019","Wales","20","Wales","Male","All","Main scheme application","570","435","0.766","0"
"2020","Wales","20","Wales","Male","All","Main scheme application","555","435","0.789","0"
"2021","Wales","20","Wales","Male","All","Main scheme application","500","380","0.764","0"
"2022","Wales","20","Wales","Male","All","Main scheme application","530","375","0.711","0"
"2023","Wales","20","Wales","Male","All","Main scheme application","505","380","0.753","0"
"2006","Unknown","20","England","Male","All","Main scheme application","95","65","0.67","0"
"2007","Unknown","20","England","Male","All","Main scheme application","90","50","0.58","0"
"2008","Unknown","20","England","Male","All","Main scheme application","255","185","0.728","0"
"2009","Unknown","20","England","Male","All","Main scheme application","90","50","0.58","0"
"2010","Unknown","20","England","Male","All","Main scheme application","70","45","0.606","0"
"2011","Unknown","20","England","Male","All","Main scheme application","65","40","0.603","0"
"2012","Unknown","20","England","Male","All","Main scheme application","65","45","0.677","0"
"2013","Unknown","20","England","Male","All","Main scheme application","45","30","0.622","0"
"2014","Unknown","20","England","Male","All","Main scheme application","40","25","0.684","0"
"2015","Unknown","20","England","Male","All","Main scheme application","40","25","0.632","0"
"2016","Unknown","20","England","Male","All","Main scheme application","25","20","0.72","0"
"2017","Unknown","20","England","Male","All","Main scheme application","40","30","0.795","0"
"2018","Unknown","20","England","Male","All","Main scheme application","25","15","0.519","0"
"2019","Unknown","20","England","Male","All","Main scheme application","40","35","0.868","0"
"2020","Unknown","20","England","Male","All","Main scheme application","40","20","0.553","0"
"2021","Unknown","20","England","Male","All","Main scheme application","15","10","0.706","0"
"2022","Unknown","20","England","Male","All","Main scheme application","5","5"," ","0"
"2023","Unknown","20","England","Male","All","Main scheme application","5","5"," ","0"
"2006","North East","21 - 24","England","Male","All","Main scheme application","570","375","0.661","0"
"2007","North East","21 - 24","England","Male","All","Main scheme application","640","465","0.725","0"
