"Year","Parental responsibility status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Does not have parental responsibility","20","Wales","Female","Main scheme applicant","Not main scheme application","75","55","0.743","0"
"2023","Has parental responsibility","20","England","Female","Main scheme applicant","Not main scheme application","25","20","0.792","0"
"2023","Not declared","21 - 24","England","Female","Main scheme applicant","Not main scheme application","45","35","0.733","0"
"2023","Not declared","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have parental responsibility","21 - 24","Northern Ireland","Female","Main scheme applicant","Not main scheme application","85","60","0.6980000000000001","0"
"2023","Does not have parental responsibility","21 - 24","England","Female","Main scheme applicant","Not main scheme application","1635","1125","0.6880000000000001","0"
"2023","Does not have parental responsibility","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","210","130","0.627","0"
"2023","Does not have parental responsibility","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","90","70","0.775","0"
"2023","Has parental responsibility","21 - 24","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Has parental responsibility","21 - 24","England","Female","Main scheme applicant","Not main scheme application","105","70","0.657","0"
"2023","Has parental responsibility","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2023","Has parental responsibility","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","25 - 29","England","Female","Main scheme applicant","Not main scheme application","20","10","0.524","0"
"2023","Does not have parental responsibility","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","15","0.727","0"
"2023","Does not have parental responsibility","25 - 29","England","Female","Main scheme applicant","Not main scheme application","420","265","0.627","0"
"2023","Does not have parental responsibility","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","70","55","0.746","0"
"2023","Does not have parental responsibility","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","35","25","0.758","0"
"2023","Has parental responsibility","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2023","Has parental responsibility","25 - 29","England","Female","Main scheme applicant","Not main scheme application","215","150","0.6910000000000001","0"
"2023","Has parental responsibility","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","20","5"," ","0"
"2023","Has parental responsibility","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","20","10","0.6","0"
"2023","Not declared","30 - 34","England","Female","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2023","Does not have parental responsibility","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have parental responsibility","30 - 34","England","Female","Main scheme applicant","Not main scheme application","170","90","0.524","0"
"2023","Does not have parental responsibility","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","25","15","0.615","0"
"2023","Does not have parental responsibility","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","Has parental responsibility","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","15","0.8","0"
"2023","Has parental responsibility","30 - 34","England","Female","Main scheme applicant","Not main scheme application","300","200","0.664","0"
"2023","Has parental responsibility","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","30","20","0.6","0"
"2023","Has parental responsibility","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","20","20","1","0"
"2023","Not declared","35 and over","England","Female","Main scheme applicant","Not main scheme application","40","20","0.512","0"
"2023","Does not have parental responsibility","35 and over","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have parental responsibility","35 and over","England","Female","Main scheme applicant","Not main scheme application","230","130","0.5700000000000001","0"
"2023","Does not have parental responsibility","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","25","15","0.583","0"
"2023","Does not have parental responsibility","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has parental responsibility","35 and over","Northern Ireland","Female","Main scheme applicant","Not main scheme application","35","35","0.919","0"
"2023","Has parental responsibility","35 and over","England","Female","Main scheme applicant","Not main scheme application","825","530","0.645","0"
"2023","Has parental responsibility","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","80","45","0.551","0"
"2023","Has parental responsibility","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","40","35","0.872","0"
"2023","Not declared","17 and under","England","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Does not have parental responsibility","17 and under","England","Male","Main scheme applicant","Not main scheme application","65","40","0.656","0"
"2023","Does not have parental responsibility","17 and under","Scotland","Male","Main scheme applicant","Not main scheme application","20","15","0.7000000000000001","0"
"2023","Not declared","18","Northern Ireland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Male","Main scheme applicant","Not main scheme application","235","215","0.916","0"
"2023","Not declared","18","Scotland","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Not declared","18","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have parental responsibility","18","Northern Ireland","Male","Main scheme applicant","Not main scheme application","335","285","0.856","0"
"2023","Does not have parental responsibility","18","England","Male","Main scheme applicant","Not main scheme application","17690","16420","0.928","0"
"2023","Does not have parental responsibility","18","Scotland","Male","Main scheme applicant","Not main scheme application","390","340","0.872","0"
"2023","Does not have parental responsibility","18","Wales","Male","Main scheme applicant","Not main scheme application","445","400","0.903","0"
"2023","Has parental responsibility","18","England","Male","Main scheme applicant","Not main scheme application","60","50","0.836","0"
"2023","Has parental responsibility","18","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","19","England","Male","Main scheme applicant","Not main scheme application","85","70","0.847","0"
"2023","Does not have parental responsibility","19","Northern Ireland","Male","Main scheme applicant","Not main scheme application","85","75","0.839","0"
"2023","Does not have parental responsibility","19","England","Male","Main scheme applicant","Not main scheme application","3645","3215","0.881","0"
"2023","Does not have parental responsibility","19","Scotland","Male","Main scheme applicant","Not main scheme application","155","115","0.74","0"
"2023","Does not have parental responsibility","19","Wales","Male","Main scheme applicant","Not main scheme application","100","95","0.9410000000000001","0"
"2023","Has parental responsibility","19","England","Male","Main scheme applicant","Not main scheme application","25","20","0.84","0"
"2023","Not declared","20","England","Male","Main scheme applicant","Not main scheme application","30","20","0.786","0"
"2023","Does not have parental responsibility","20","Northern Ireland","Male","Main scheme applicant","Not main scheme application","35","25","0.6970000000000001","0"
"2023","Does not have parental responsibility","20","England","Male","Main scheme applicant","Not main scheme application","1140","950","0.8310000000000001","0"
"2023","Does not have parental responsibility","20","Scotland","Male","Main scheme applicant","Not main scheme application","65","45","0.719","0"
"2023","Does not have parental responsibility","20","Wales","Male","Main scheme applicant","Not main scheme application","40","35","0.872","0"
