"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","Female","25 - 29","Northern Ireland","Main scheme applicant","Not main scheme application","20","15","0.682","0"
"2022","Female","25 - 29","Northern Ireland","Main scheme applicant","Not main scheme application","25","15","0.6960000000000001","0"
"2023","Female","25 - 29","Northern Ireland","Main scheme applicant","Not main scheme application","20","15","0.778","0"
"2022","Male","25 - 29","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Male","25 - 29","Northern Ireland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","30 - 34","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","30 - 34","Northern Ireland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Female","30 - 34","Northern Ireland","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2022","Female","30 - 34","Northern Ireland","Main scheme applicant","Not main scheme application","25","20","0.88","0"
"2023","Female","30 - 34","Northern Ireland","Main scheme applicant","Not main scheme application","15","15","0.875","0"
"2022","Male","30 - 34","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","35 and over","Northern Ireland","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2020","Female","35 and over","Northern Ireland","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Female","35 and over","Northern Ireland","Main scheme applicant","Not main scheme application","20","10","0.6","0"
"2022","Female","35 and over","Northern Ireland","Main scheme applicant","Not main scheme application","25","25","1","0"
"2023","Female","35 and over","Northern Ireland","Main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2021","Male","35 and over","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Male","35 and over","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","17 and under","England","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","18","England","Main scheme applicant","Not main scheme application","770","645","0.838","0"
"2020","Female","18","England","Main scheme applicant","Not main scheme application","1050","935","0.887","0"
"2021","Female","18","England","Main scheme applicant","Not main scheme application","1030","820","0.796","0"
"2022","Female","18","England","Main scheme applicant","Not main scheme application","1185","935","0.787","0"
"2023","Female","18","England","Main scheme applicant","Not main scheme application","1100","955","0.869","0"
"2019","Male","18","England","Main scheme applicant","Not main scheme application","35","30","0.853","0"
"2020","Male","18","England","Main scheme applicant","Not main scheme application","55","50","0.909","0"
"2021","Male","18","England","Main scheme applicant","Not main scheme application","65","55","0.862","0"
"2022","Male","18","England","Main scheme applicant","Not main scheme application","65","55","0.8210000000000001","0"
"2023","Male","18","England","Main scheme applicant","Not main scheme application","70","60","0.861","0"
"2019","Female","19","England","Main scheme applicant","Not main scheme application","350","285","0.8130000000000001","0"
"2020","Female","19","England","Main scheme applicant","Not main scheme application","380","315","0.8320000000000001","0"
"2021","Female","19","England","Main scheme applicant","Not main scheme application","435","320","0.738","0"
"2022","Female","19","England","Main scheme applicant","Not main scheme application","435","310","0.714","0"
