"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Male","25 - 29","England","Main scheme applicant","Main scheme application","10","0"," ","0"
"2019","Female","30 - 34","England","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","Female","30 - 34","England","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","Female","30 - 34","England","Main scheme applicant","Main scheme application","15","0"," ","0"
"2022","Female","30 - 34","England","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","Female","30 - 34","England","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","Male","30 - 34","England","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","Male","30 - 34","England","Main scheme applicant","Main scheme application","10","10"," ","0"
"2021","Male","30 - 34","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","Male","30 - 34","England","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","Male","30 - 34","England","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","Female","35 and over","England","Main scheme applicant","Main scheme application","20","5"," ","0"
"2020","Female","35 and over","England","Main scheme applicant","Main scheme application","15","5"," ","0"
"2021","Female","35 and over","England","Main scheme applicant","Main scheme application","15","10","0.706","0"
"2022","Female","35 and over","England","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","Female","35 and over","England","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","Male","35 and over","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","Male","35 and over","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","Male","35 and over","England","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","Male","35 and over","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","Male","35 and over","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","18","Scotland","Main scheme applicant","Main scheme application","10","0"," ","0"
"2020","Female","18","Scotland","Main scheme applicant","Main scheme application","20","0"," ","0"
"2021","Female","18","Scotland","Main scheme applicant","Main scheme application","15","0"," ","0"
"2022","Female","18","Scotland","Main scheme applicant","Main scheme application","20","0"," ","0"
"2023","Female","18","Scotland","Main scheme applicant","Main scheme application","20","0"," ","0"
"2019","Male","18","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","Male","18","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","Male","18","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","Male","18","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","Male","18","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","19","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","Female","19","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","Female","19","Scotland","Main scheme applicant","Main scheme application","10","0"," ","0"
"2023","Female","19","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","20","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","Female","20","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","Female","20","Scotland","Main scheme applicant","Main scheme application","15","0"," ","0"
"2022","Female","20","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","Female","20","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","Male","20","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","Male","20","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","Male","20","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","21 - 24","Scotland","Main scheme applicant","Main scheme application","1145","615","0.54","0"
"2020","Female","21 - 24","Scotland","Main scheme applicant","Main scheme application","1270","700","0.549","0"
"2021","Female","21 - 24","Scotland","Main scheme applicant","Main scheme application","1580","675","0.429","0"
"2022","Female","21 - 24","Scotland","Main scheme applicant","Main scheme application","1125","610","0.543","0"
