"Year","Predicted SQA higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2013","20 point(s)","All","Main scheme applicant","All","20","15","0.833","0"
"2014","20 point(s)","All","Main scheme applicant","All","20","15","0.778","0"
"2015","20 point(s)","All","Main scheme applicant","All","30","25","0.719","0"
"2016","20 point(s)","All","Main scheme applicant","All","40","30","0.769","0"
"2017","20 point(s)","All","Main scheme applicant","All","35","25","0.743","0"
"2018","20 point(s)","All","Main scheme applicant","All","45","35","0.8220000000000001","0"
"2019","20 point(s)","All","Main scheme applicant","All","40","35","0.786","0"
"2020","20 point(s)","All","Main scheme applicant","All","45","40","0.907","0"
"2021","20 point(s)","All","Main scheme applicant","All","65","50","0.776","0"
"2022","20 point(s)","All","Main scheme applicant","All","60","50","0.867","0"
"2023","20 point(s)","All","Main scheme applicant","All","50","40","0.784","0"
"2010","All","All","Main scheme applicant","All","360","235","0.649","0"
"2011","All","All","Main scheme applicant","All","345","190","0.557","0"
"2012","All","All","Main scheme applicant","All","470","245","0.523","0"
"2013","All","All","Main scheme applicant","All","400","230","0.578","0"
"2014","All","All","Main scheme applicant","All","480","265","0.551","0"
"2015","All","All","Main scheme applicant","All","510","265","0.524","0"
"2016","All","All","Main scheme applicant","All","425","245","0.583","0"
"2017","All","All","Main scheme applicant","All","395","250","0.635","0"
"2018","All","All","Main scheme applicant","All","420","275","0.652","0"
"2019","All","All","Main scheme applicant","All","365","235","0.639","0"
"2020","All","All","Main scheme applicant","All","395","310","0.782","0"
"2021","All","All","Main scheme applicant","All","400","310","0.775","0"
"2022","All","All","Main scheme applicant","All","290","200","0.685","0"
"2023","All","All","Main scheme applicant","All","350","240","0.6880000000000001","0"
"2012","10 point(s)","Quintile 1","All","All","5","0"," ","0"
"2010","11 point(s)","Quintile 1","All","All","5","5"," ","0"
"2012","11 point(s)","Quintile 1","All","All","5","0"," ","0"
"2013","11 point(s)","Quintile 1","All","All","5","0"," ","0"
