"Year","Predicted A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10"," ","0"
"2015","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","10"," ","0"
"2016","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","30","20","0.679","0"
"2017","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.65","0"
"2019","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","10","0.6","0"
"2020","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10","0.75","0"
"2021","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","25","20","0.731","0"
"2022","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.714","0"
"2023","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","65","40","0.612","0"
"2011","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","35","20","0.543","0"
"2012","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","35","20","0.529","0"
"2013","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","30","15","0.517","0"
"2014","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","35","20","0.556","0"
"2015","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","40","30","0.718","0"
"2016","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","45","25","0.553","0"
"2017","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","40","25","0.561","0"
"2018","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","50","25","0.542","0"
"2019","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","40","25","0.595","0"
"2020","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","35","20","0.543","0"
"2021","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","45","30","0.652","0"
"2022","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","45","25","0.523","0"
"2023","9 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","35","20","0.588","0"
"2010","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","60","35","0.597","0"
"2011","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","55","35","0.611","0"
"2012","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","60","40","0.6900000000000001","0"
"2013","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","50","30","0.627","0"
"2014","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","35","20","0.5680000000000001","0"
"2015","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","55","40","0.679","0"
"2016","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","75","50","0.712","0"
"2017","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","60","35","0.627","0"
"2018","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","70","55","0.764","0"
"2019","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","60","35","0.5740000000000001","0"
"2020","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","60","40","0.724","0"
"2021","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","80","60","0.738","0"
"2022","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","50","30","0.558","0"
"2023","10 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","40","20","0.5","0"
"2010","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","85","65","0.774","0"
"2011","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","85","55","0.643","0"
"2012","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","75","45","0.61","0"
"2013","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","50","35","0.729","0"
"2014","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","40","20","0.513","0"
"2015","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","80","50","0.658","0"
"2016","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","90","55","0.614","0"
"2017","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","85","55","0.651","0"
"2018","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","85","55","0.655","0"
"2019","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","80","65","0.768","0"
"2020","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","70","45","0.652","0"
"2021","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","75","55","0.737","0"
"2022","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","75","55","0.726","0"
"2023","11 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","70","45","0.62","0"
"2010","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","105","75","0.6890000000000001","0"
"2011","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","100","70","0.683","0"
"2012","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","90","55","0.604","0"
"2013","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","75","50","0.658","0"
"2014","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","75","55","0.7010000000000001","0"
"2015","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","105","60","0.577","0"
"2016","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","110","75","0.679","0"
"2017","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","115","85","0.716","0"
"2018","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","120","75","0.636","0"
"2019","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","115","75","0.643","0"
"2020","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","130","95","0.718","0"
"2021","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","145","105","0.719","0"
"2022","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","115","80","0.687","0"
"2023","12 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","110","70","0.642","0"
"2010","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","140","95","0.676","0"
"2011","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","125","85","0.667","0"
"2012","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","90","60","0.663","0"
"2013","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","95","65","0.681","0"
"2014","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","100","55","0.535","0"
"2015","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","110","70","0.657","0"
"2016","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","135","100","0.721","0"
"2017","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","155","105","0.656","0"
"2018","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","125","95","0.764","0"
"2019","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","145","100","0.6920000000000001","0"
"2020","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","130","85","0.646","0"
"2021","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","150","110","0.728","0"
"2022","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","130","85","0.667","0"
"2023","13 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","135","90","0.669","0"
"2010","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","125","90","0.6930000000000001","0"
"2011","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","125","90","0.714","0"
"2012","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","110","80","0.731","0"
"2013","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","80","60","0.747","0"
"2014","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","95","70","0.734","0"
"2015","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","140","110","0.793","0"
"2016","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","150","110","0.72","0"
"2017","14 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","130","85","0.664","0"
