"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applicant","Main scheme application","Accepted applicants"
"2020","(CAH15) social sciences","(CAH15-03-01) politics","North East","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH15) social sciences","(CAH15-03-01) politics","North East","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH15) social sciences","(CAH15-03-01) politics","North East","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH15) social sciences","(CAH15-03-01) politics","North East","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH15) social sciences","(CAH15-02-01) economics","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH15) social sciences","(CAH15-02-01) economics","North East","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH15) social sciences","(CAH15-02-01) economics","North East","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","North East","Not main scheme applicant","Not main scheme application","65"
"2020","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","North East","Not main scheme applicant","Not main scheme application","80"
"2021","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","North East","Not main scheme applicant","Not main scheme application","55"
"2022","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","North East","Not main scheme applicant","Not main scheme application","55"
"2023","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","North East","Not main scheme applicant","Not main scheme application","35"
"2019","(CAH15) social sciences","(CAH15-04-01) social work","North East","Not main scheme applicant","Not main scheme application","55"
"2020","(CAH15) social sciences","(CAH15-04-01) social work","North East","Not main scheme applicant","Not main scheme application","40"
"2021","(CAH15) social sciences","(CAH15-04-01) social work","North East","Not main scheme applicant","Not main scheme application","40"
"2022","(CAH15) social sciences","(CAH15-04-01) social work","North East","Not main scheme applicant","Not main scheme application","30"
