"Year","Deferred entry","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2014","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1525","1115","0.732"
"2015","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1385","1005","0.723"
"2016","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1455","1080","0.742"
"2017","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1390","1035","0.744"
"2018","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1435","1065","0.743"
"2019","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1615","1240","0.766"
"2020","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1575","1255","0.796"
"2021","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1175","805","0.686"
"2022","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1470","860","0.585"
"2023","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1565","925","0.591"
"2006","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","25","25","0.92"
"2007","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","15","15","1"
"2008","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","20","15","0.762"
"2009","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","40","25","0.59"
"2010","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","25","25","1"
"2011","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","15","15","1"
"2012","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","35","30","0.882"
"2013","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","20","20","0.9550000000000001"
"2014","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","35","20","0.556"
"2015","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","35","35","0.9430000000000001"
"2016","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","65","20","0.277"
"2017","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","50","30","0.612"
"2018","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","50","20","0.458"
"2019","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","45","20","0.4"
"2020","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","100","80","0.782"
"2021","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","55","30","0.554"
"2022","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","50","25","0.51"
"2023","Deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","40","20","0.5640000000000001"
"2006","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","450","400","0.897"
"2007","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","450","410","0.905"
"2008","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","515","455","0.883"
"2009","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","630","490","0.779"
"2010","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","650","475","0.731"
"2011","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","635","480","0.754"
"2012","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","700","480","0.6910000000000001"
"2013","Not deferred","20","Not EU","All","Main scheme applicant","Not main scheme application","670","475","0.713"
