"Year","Difference between predicted and achieved A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","-2 points","Unknown or Prefer Not To Say","All","Not main scheme application","45","45","1","0"
"2021","-2 points","Unknown or Prefer Not To Say","All","Not main scheme application","20","20","0.9470000000000001","0"
"2022","-2 points","Unknown or Prefer Not To Say","All","Not main scheme application","35","30","0.912","0"
"2023","-2 points","Unknown or Prefer Not To Say","All","Not main scheme application","25","25","0.923","0"
"2010","-3 points","Unknown or Prefer Not To Say","All","Not main scheme application","20","15","0.833","0"
"2011","-3 points","Unknown or Prefer Not To Say","All","Not main scheme application","30","30","0.966","0"
"2012","-3 points","Unknown or Prefer Not To Say","All","Not main scheme application","20","20","1","0"
"2013","-3 points","Unknown or Prefer Not To Say","All","Not main scheme application","25","25","1","0"
"2014","-3 points","Unknown or Prefer Not To Say","All","Not main scheme application","25","20","0.913","0"
"2015","-3 points","Unknown or Prefer Not To Say","All","Not main scheme application","30","25","0.964","0"
"2016","-3 points","Unknown or Prefer Not To Say","All","Not main scheme application","40","40","0.974","0"
"2017","-3 points","Unknown or Prefer Not To Say","All","Not main scheme application","35","30","0.9410000000000001","0"
"2018","-3 points","Unknown or Prefer Not To Say","All","Not main scheme application","35","30","0.889","0"
"2019","-3 points","Unknown or Prefer Not To Say","All","Not main scheme application","45","40","0.907","0"
"2020","-3 points","Unknown or Prefer Not To Say","All","Not main scheme application","30","30","0.968","0"
"2021","-3 points","Unknown or Prefer Not To Say","All","Not main scheme application","25","25","1","0"
"2022","-3 points","Unknown or Prefer Not To Say","All","Not main scheme application","30","30","0.9380000000000001","0"
"2023","-3 points","Unknown or Prefer Not To Say","All","Not main scheme application","40","40","0.9520000000000001","0"
"2010","-4 points","Unknown or Prefer Not To Say","All","Not main scheme application","20","15","0.8","0"
"2011","-4 points","Unknown or Prefer Not To Say","All","Not main scheme application","15","10","0.769","0"
"2012","-4 points","Unknown or Prefer Not To Say","All","Not main scheme application","15","15","0.933","0"
"2013","-4 points","Unknown or Prefer Not To Say","All","Not main scheme application","15","15","0.9410000000000001","0"
"2014","-4 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","10","1","0"
"2015","-4 points","Unknown or Prefer Not To Say","All","Not main scheme application","20","15","0.85","0"
"2016","-4 points","Unknown or Prefer Not To Say","All","Not main scheme application","30","30","0.935","0"
"2017","-4 points","Unknown or Prefer Not To Say","All","Not main scheme application","30","30","1","0"
"2018","-4 points","Unknown or Prefer Not To Say","All","Not main scheme application","40","35","0.846","0"
"2019","-4 points","Unknown or Prefer Not To Say","All","Not main scheme application","30","25","0.931","0"
"2020","-4 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","10"," ","0"
"2021","-4 points","Unknown or Prefer Not To Say","All","Not main scheme application","15","15","1","0"
"2022","-4 points","Unknown or Prefer Not To Say","All","Not main scheme application","35","35","0.9430000000000001","0"
"2023","-4 points","Unknown or Prefer Not To Say","All","Not main scheme application","40","35","0.921","0"
"2010","-5 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","10"," ","0"
"2011","-5 points","Unknown or Prefer Not To Say","All","Not main scheme application","5","5"," ","0"
"2012","-5 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","10"," ","0"
"2013","-5 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","5"," ","0"
"2014","-5 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","10","1","0"
"2015","-5 points","Unknown or Prefer Not To Say","All","Not main scheme application","15","15","0.8130000000000001","0"
"2016","-5 points","Unknown or Prefer Not To Say","All","Not main scheme application","15","15","0.9380000000000001","0"
"2017","-5 points","Unknown or Prefer Not To Say","All","Not main scheme application","30","25","0.929","0"
"2018","-5 points","Unknown or Prefer Not To Say","All","Not main scheme application","25","25","0.92","0"
"2019","-5 points","Unknown or Prefer Not To Say","All","Not main scheme application","20","15","0.889","0"
"2020","-5 points","Unknown or Prefer Not To Say","All","Not main scheme application","15","15","1","0"
"2021","-5 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","10"," ","0"
"2022","-5 points","Unknown or Prefer Not To Say","All","Not main scheme application","25","20","0.917","0"
"2023","-5 points","Unknown or Prefer Not To Say","All","Not main scheme application","40","35","0.923","0"
"2010","-6 points","Unknown or Prefer Not To Say","All","Not main scheme application","5","5"," ","0"
"2011","-6 points","Unknown or Prefer Not To Say","All","Not main scheme application","5","0"," ","0"
"2012","-6 points","Unknown or Prefer Not To Say","All","Not main scheme application","5","5"," ","0"
"2013","-6 points","Unknown or Prefer Not To Say","All","Not main scheme application","5","0"," ","0"
"2014","-6 points","Unknown or Prefer Not To Say","All","Not main scheme application","5","5"," ","0"
"2015","-6 points","Unknown or Prefer Not To Say","All","Not main scheme application","5","5"," ","0"
"2016","-6 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","10"," ","0"
"2017","-6 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","10"," ","0"
"2018","-6 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","10","0.909","0"
"2019","-6 points","Unknown or Prefer Not To Say","All","Not main scheme application","20","20","0.905","0"
"2020","-6 points","Unknown or Prefer Not To Say","All","Not main scheme application","5","5"," ","0"
"2022","-6 points","Unknown or Prefer Not To Say","All","Not main scheme application","15","15","1","0"
"2023","-6 points","Unknown or Prefer Not To Say","All","Not main scheme application","30","25","0.867","0"
"2012","Less than -6 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","5"," ","0"
"2013","Less than -6 points","Unknown or Prefer Not To Say","All","Not main scheme application","5","5"," ","0"
"2014","Less than -6 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","10"," ","0"
"2015","Less than -6 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","10","0.909","0"
"2016","Less than -6 points","Unknown or Prefer Not To Say","All","Not main scheme application","15","15","0.929","0"
"2017","Less than -6 points","Unknown or Prefer Not To Say","All","Not main scheme application","15","10","0.769","0"
"2018","Less than -6 points","Unknown or Prefer Not To Say","All","Not main scheme application","30","25","0.857","0"
"2019","Less than -6 points","Unknown or Prefer Not To Say","All","Not main scheme application","35","30","0.909","0"
"2020","Less than -6 points","Unknown or Prefer Not To Say","All","Not main scheme application","5","5"," ","0"
"2021","Less than -6 points","Unknown or Prefer Not To Say","All","Not main scheme application","5","5"," ","0"
"2022","Less than -6 points","Unknown or Prefer Not To Say","All","Not main scheme application","10","5"," ","0"
"2023","Less than -6 points","Unknown or Prefer Not To Say","All","Not main scheme application","35","30","0.848","0"
"2010","0 points","White","All","Main scheme application","29690","25530","0.86","0"
"2011","0 points","White","All","Main scheme application","28945","25540","0.882","0"
"2012","0 points","White","All","Main scheme application","25555","22165","0.867","0"
"2013","0 points","White","All","Main scheme application","24160","21255","0.88","0"
"2014","0 points","White","All","Main scheme application","22425","19825","0.884","0"
"2015","0 points","White","All","Main scheme application","22415","19870","0.886","0"
"2016","0 points","White","All","Main scheme application","21120","18745","0.888","0"
"2017","0 points","White","All","Main scheme application","20675","18220","0.881","0"
"2018","0 points","White","All","Main scheme application","19270","16940","0.879","0"
"2019","0 points","White","All","Main scheme application","16470","14510","0.881","0"
"2020","0 points","White","All","Main scheme application","32500","27425","0.844","0"
"2021","0 points","White","All","Main scheme application","34935","30825","0.882","0"
"2022","0 points","White","All","Main scheme application","26060","22340","0.857","0"
