"Year","MEM quintile","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2023","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","113710","0"
"2006","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","42390","0"
"2006","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","51320","0.001"
"2006","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","56980","0.001"
"2006","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","75810","0.001"
"2006","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","80","74640","0.001"
"2007","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","41510","0"
"2007","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","40","50280","0.001"
"2007","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","50","56350","0.001"
"2007","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","75780","0.001"
"2007","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","90","74670","0.001"
"2008","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","40890","0"
"2008","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","51350","0"
"2008","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","57490","0.001"
"2008","Quintile 4","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","77920","0.001"
"2008","Quintile 5","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","80","77850","0.001"
"2009","Quintile 1","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","40330","0"
"2009","Quintile 2","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","52120","0"
"2009","Quintile 3","Medium tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","57610","0"
