"Year","Achieved SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","15 point(s)","White","Main scheme applicant","Not main scheme application","95","90","0.907","0"
"2021","15 point(s)","White","Main scheme applicant","Not main scheme application","50","35","0.75","0"
"2022","15 point(s)","White","Main scheme applicant","Not main scheme application","80","70","0.872","0"
"2023","15 point(s)","White","Main scheme applicant","Not main scheme application","50","45","0.9400000000000001","0"
"2010","16 point(s)","White","Main scheme applicant","Not main scheme application","50","40","0.854","0"
"2011","16 point(s)","White","Main scheme applicant","Not main scheme application","75","65","0.84","0"
"2012","16 point(s)","White","Main scheme applicant","Not main scheme application","70","60","0.873","0"
"2013","16 point(s)","White","Main scheme applicant","Not main scheme application","90","75","0.864","0"
"2014","16 point(s)","White","Main scheme applicant","Not main scheme application","65","40","0.621","0"
"2015","16 point(s)","White","Main scheme applicant","Not main scheme application","100","80","0.8280000000000001","0"
"2016","16 point(s)","White","Main scheme applicant","Not main scheme application","110","85","0.757","0"
"2017","16 point(s)","White","Main scheme applicant","Not main scheme application","105","70","0.67","0"
"2018","16 point(s)","White","Main scheme applicant","Not main scheme application","85","70","0.8160000000000001","0"
"2019","16 point(s)","White","Main scheme applicant","Not main scheme application","70","60","0.843","0"
"2020","16 point(s)","White","Main scheme applicant","Not main scheme application","90","80","0.889","0"
"2021","16 point(s)","White","Main scheme applicant","Not main scheme application","70","55","0.757","0"
"2022","16 point(s)","White","Main scheme applicant","Not main scheme application","65","55","0.848","0"
"2023","16 point(s)","White","Main scheme applicant","Not main scheme application","60","55","0.885","0"
"2010","17 point(s)","White","Main scheme applicant","Not main scheme application","30","25","0.742","0"
"2011","17 point(s)","White","Main scheme applicant","Not main scheme application","55","40","0.737","0"
"2012","17 point(s)","White","Main scheme applicant","Not main scheme application","55","50","0.873","0"
"2013","17 point(s)","White","Main scheme applicant","Not main scheme application","55","45","0.87","0"
"2014","17 point(s)","White","Main scheme applicant","Not main scheme application","45","35","0.8","0"
"2015","17 point(s)","White","Main scheme applicant","Not main scheme application","60","40","0.678","0"
"2016","17 point(s)","White","Main scheme applicant","Not main scheme application","75","55","0.74","0"
"2017","17 point(s)","White","Main scheme applicant","Not main scheme application","80","65","0.81","0"
"2018","17 point(s)","White","Main scheme applicant","Not main scheme application","75","60","0.787","0"
"2019","17 point(s)","White","Main scheme applicant","Not main scheme application","55","45","0.8210000000000001","0"
"2020","17 point(s)","White","Main scheme applicant","Not main scheme application","80","70","0.873","0"
"2021","17 point(s)","White","Main scheme applicant","Not main scheme application","55","40","0.737","0"
"2022","17 point(s)","White","Main scheme applicant","Not main scheme application","55","50","0.912","0"
"2023","17 point(s)","White","Main scheme applicant","Not main scheme application","50","45","0.9390000000000001","0"
"2010","18 point(s)","White","Main scheme applicant","Not main scheme application","35","25","0.727","0"
"2011","18 point(s)","White","Main scheme applicant","Not main scheme application","35","30","0.848","0"
"2012","18 point(s)","White","Main scheme applicant","Not main scheme application","45","40","0.809","0"
"2013","18 point(s)","White","Main scheme applicant","Not main scheme application","50","40","0.8130000000000001","0"
"2014","18 point(s)","White","Main scheme applicant","Not main scheme application","35","30","0.757","0"
"2015","18 point(s)","White","Main scheme applicant","Not main scheme application","30","25","0.781","0"
"2016","18 point(s)","White","Main scheme applicant","Not main scheme application","45","35","0.778","0"
"2017","18 point(s)","White","Main scheme applicant","Not main scheme application","60","35","0.627","0"
"2018","18 point(s)","White","Main scheme applicant","Not main scheme application","50","35","0.714","0"
"2019","18 point(s)","White","Main scheme applicant","Not main scheme application","35","30","0.833","0"
"2020","18 point(s)","White","Main scheme applicant","Not main scheme application","55","55","0.9460000000000001","0"
"2021","18 point(s)","White","Main scheme applicant","Not main scheme application","55","50","0.842","0"
"2022","18 point(s)","White","Main scheme applicant","Not main scheme application","65","60","0.892","0"
"2023","18 point(s)","White","Main scheme applicant","Not main scheme application","40","35","0.881","0"
"2010","19 point(s)","White","Main scheme applicant","Not main scheme application","20","15","0.778","0"
"2011","19 point(s)","White","Main scheme applicant","Not main scheme application","15","15","0.765","0"
"2012","19 point(s)","White","Main scheme applicant","Not main scheme application","35","30","0.879","0"
"2013","19 point(s)","White","Main scheme applicant","Not main scheme application","25","20","0.833","0"
"2014","19 point(s)","White","Main scheme applicant","Not main scheme application","35","30","0.778","0"
"2015","19 point(s)","White","Main scheme applicant","Not main scheme application","30","25","0.75","0"
"2016","19 point(s)","White","Main scheme applicant","Not main scheme application","40","30","0.762","0"
"2017","19 point(s)","White","Main scheme applicant","Not main scheme application","40","30","0.714","0"
"2018","19 point(s)","White","Main scheme applicant","Not main scheme application","35","25","0.743","0"
"2019","19 point(s)","White","Main scheme applicant","Not main scheme application","35","25","0.8180000000000001","0"
"2020","19 point(s)","White","Main scheme applicant","Not main scheme application","50","45","0.863","0"
"2021","19 point(s)","White","Main scheme applicant","Not main scheme application","60","50","0.85","0"
"2022","19 point(s)","White","Main scheme applicant","Not main scheme application","70","60","0.843","0"
"2023","19 point(s)","White","Main scheme applicant","Not main scheme application","40","30","0.8210000000000001","0"
"2010","20 point(s)","White","Main scheme applicant","Not main scheme application","25","20","0.76","0"
"2011","20 point(s)","White","Main scheme applicant","Not main scheme application","35","25","0.765","0"
