"Year","Achieved SQA advanced higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","11 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","11 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","11 point(s)","All","Main scheme applicant","Not main scheme application","10","10","1","0"
"2014","11 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","11 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","11 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","11 point(s)","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2018","11 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","11 point(s)","All","Main scheme applicant","Not main scheme application","15","15","1","0"
"2020","11 point(s)","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2021","11 point(s)","All","Main scheme applicant","Not main scheme application","15","15","0.882","0"
"2022","11 point(s)","All","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","11 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","12 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","12 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","12 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","12 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","12 point(s)","All","Main scheme applicant","Not main scheme application","10","10","1","0"
"2015","12 point(s)","All","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2016","12 point(s)","All","Main scheme applicant","Not main scheme application","15","15","1","0"
"2017","12 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","12 point(s)","All","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2019","12 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","12 point(s)","All","Main scheme applicant","Not main scheme application","20","20","0.9550000000000001","0"
"2021","12 point(s)","All","Main scheme applicant","Not main scheme application","15","10","0.769","0"
"2022","12 point(s)","All","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","12 point(s)","All","Main scheme applicant","Not main scheme application","15","10","0.923","0"
