"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2023","International","Not EU","Ghana","18","Female","5","0","0"
"2023","International","Not EU","Gibraltar","18","Female","5","5","0"
"2020","International","Not EU","Hong Kong","18","Female","30","5","5"
"2021","International","Not EU","Hong Kong","18","Female","15","5","5"
"2022","International","Not EU","Hong Kong","18","Female","15","5","0"
"2023","International","Not EU","Hong Kong","18","Female","20","5","5"
"2020","International","Not EU","India","18","Female","30","5","5"
"2021","International","Not EU","India","18","Female","30","5","5"
"2022","International","Not EU","India","18","Female","45","10","5"
"2023","International","Not EU","India","18","Female","25","5","5"
"2020","International","Not EU","Indonesia","18","Female","5","0","0"
"2023","International","Not EU","Indonesia","18","Female","5","5","0"
"2023","International","Not EU","Japan","18","Female","5","0","0"
"2020","International","Not EU","Jordan","18","Female","5","5","5"
"2021","International","Not EU","Jordan","18","Female","5","0","0"
"2020","International","Not EU","Kenya","18","Female","5","0","0"
"2021","International","Not EU","Kenya","18","Female","5","0","0"
"2022","International","Not EU","Kenya","18","Female","10","5","5"
"2023","International","Not EU","Kenya","18","Female","5","0","0"
"2020","International","Not EU","Korea, Republic of","18","Female","5","0","0"
"2023","International","Not EU","Kuwait","18","Female","5","0","0"
"2021","International","Not EU","Lebanon","18","Female","5","0","0"
"2020","International","Not EU","Malaysia","18","Female","15","5","5"
"2021","International","Not EU","Malaysia","18","Female","5","0","0"
"2022","International","Not EU","Malaysia","18","Female","10","5","0"
"2023","International","Not EU","Malaysia","18","Female","10","0","0"
"2020","International","Not EU","Morocco","18","Female","5","0","0"
"2021","International","Not EU","Morocco","18","Female","5","0","0"
"2022","International","Not EU","Morocco","18","Female","5","0","0"
"2023","International","Not EU","Morocco","18","Female","5","0","0"
"2021","International","Not EU","Oman","18","Female","5","0","0"
"2023","International","Not EU","Oman","18","Female","10","0","0"
"2020","International","Not EU","Nigeria","18","Female","20","5","0"
"2021","International","Not EU","Nigeria","18","Female","10","0","0"
"2022","International","Not EU","Nigeria","18","Female","15","5","5"
"2023","International","Not EU","Nigeria","18","Female","20","5","0"
"2020","International","Not EU","Pakistan","18","Female","5","0","0"
"2021","International","Not EU","Pakistan","18","Female","10","0","0"
"2023","International","Not EU","Pakistan","18","Female","5","0","0"
"2022","International","Not EU","Qatar","18","Female","5","0","0"
"2020","International","Not EU","Saudi Arabia","18","Female","5","0","0"
"2022","International","Not EU","Saudi Arabia","18","Female","5","0","0"
"2023","International","Not EU","Saudi Arabia","18","Female","15","0","0"
"2020","International","Not EU","Singapore","18","Female","10","5","5"
"2021","International","Not EU","Singapore","18","Female","5","0","0"
"2022","International","Not EU","Singapore","18","Female","5","0","0"
"2023","International","Not EU","Singapore","18","Female","15","5","0"
"2022","International","Not EU","South Africa","18","Female","5","0","0"
"2023","International","Not EU","South Africa","18","Female","5","0","0"
"2020","International","Not EU","Switzerland","18","Female","5","0","0"
"2023","International","Not EU","Switzerland","18","Female","5","5","5"
"2020","International","Not EU","Thailand","18","Female","10","0","0"
"2022","International","Not EU","Thailand","18","Female","5","0","0"
"2023","International","Not EU","Thailand","18","Female","5","0","0"
"2020","International","Not EU","United Arab Emirates","18","Female","25","10","5"
"2021","International","Not EU","United Arab Emirates","18","Female","10","5","5"
"2022","International","Not EU","United Arab Emirates","18","Female","20","5","5"
"2023","International","Not EU","United Arab Emirates","18","Female","20","0","0"
"2020","International","Not EU","Turkey","18","Female","5","0","0"
"2023","International","Not EU","Turkey","18","Female","5","0","0"
"2022","International","Not EU","Uganda","18","Female","5","0","0"
"2021","International","Not EU","Egypt","18","Female","5","0","0"
"2023","International","Not EU","Egypt","18","Female","5","0","0"
"2020","International","Not EU","United States of America","18","Female","15","0","0"
"2021","International","Not EU","United States of America","18","Female","15","5","0"
"2022","International","Not EU","United States of America","18","Female","20","5","5"
"2023","International","Not EU","United States of America","18","Female","10","5","0"
"2020","International","Not EU","Vietnam [Viet Nam]","18","Female","5","0","0"
"2022","International","Not EU","Bangladesh","18","Female","5","0","0"
"2023","International","Not EU","Bangladesh","18","Female","5","0","0"
"2023","International","Not EU","Cayman Islands","18","Female","5","0","0"
"2022","International","Not EU","Kazakhstan","18","Female","5","0","0"
"2023","International","Not EU","Kazakhstan","18","Female","5","5","0"
"2020","International","Not EU","Russian Federation","18","Female","5","0","0"
"2021","International","Not EU","Russian Federation","18","Female","5","0","0"
"2022","International","Not EU","Russian Federation","18","Female","5","0","0"
"2023","International","Not EU","Russian Federation","18","Female","5","0","0"
"2020","UK","England","England","19","Female","1185","575","420"
"2021","UK","England","England","19","Female","785","400","285"
"2022","UK","England","England","19","Female","490","230","170"
"2023","UK","England","England","19","Female","1120","520","380"
"2020","UK","Northern Ireland","Northern Ireland","19","Female","45","20","20"
"2021","UK","Northern Ireland","Northern Ireland","19","Female","25","10","10"
"2022","UK","Northern Ireland","Northern Ireland","19","Female","5","5","5"
"2023","UK","Northern Ireland","Northern Ireland","19","Female","15","0","0"
"2020","UK","Scotland","Scotland","19","Female","80","30","25"
"2021","UK","Scotland","Scotland","19","Female","50","20","15"
"2022","UK","Scotland","Scotland","19","Female","35","15","15"
"2023","UK","Scotland","Scotland","19","Female","75","35","30"
"2020","UK","Wales","Wales","19","Female","55","30","20"
"2021","UK","Wales","Wales","19","Female","40","25","20"
"2022","UK","Wales","Wales","19","Female","15","5","5"
"2023","UK","Wales","Wales","19","Female","65","35","25"
"2020","International","EU (excluding UK)","Germany","19","Female","10","0","0"
"2020","International","EU (excluding UK)","Ireland","19","Female","10","0","0"
"2021","International","EU (excluding UK)","Ireland","19","Female","15","0","0"
"2022","International","EU (excluding UK)","Ireland","19","Female","10","0","0"
"2023","International","EU (excluding UK)","Ireland","19","Female","20","0","0"
"2020","International","EU (excluding UK)","Italy","19","Female","10","0","0"
"2020","International","EU (excluding UK)","Poland","19","Female","25","10","5"
"2021","International","EU (excluding UK)","Poland","19","Female","5","0","0"
"2020","International","EU (excluding UK)","Romania","19","Female","5","0","0"
"2020","International","EU (excluding UK)","Spain","19","Female","5","5","0"
"2020","International","EU (excluding UK)","Sweden","19","Female","5","0","0"
"2020","International","EU (excluding UK)","Estonia","19","Female","5","0","0"
"2020","International","EU (excluding UK)","Lithuania","19","Female","5","0","0"
"2020","International","EU (excluding UK)","Cyprus (European Union)","19","Female","5","0","0"
"2020","International","Not EU","China","19","Female","60","15","10"
