"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2010","Lower tariff","35 and over","Northern Ireland","Female","525","270","0.516"
"2011","Lower tariff","35 and over","Northern Ireland","Female","585","265","0.456"
"2012","Lower tariff","35 and over","Northern Ireland","Female","415","210","0.506"
"2013","Lower tariff","35 and over","Northern Ireland","Female","400","190","0.48"
"2014","Lower tariff","35 and over","Northern Ireland","Female","395","215","0.549"
"2015","Lower tariff","35 and over","Northern Ireland","Female","465","220","0.47100000000000003"
"2016","Lower tariff","35 and over","Northern Ireland","Female","465","240","0.52"
"2017","Lower tariff","35 and over","Northern Ireland","Female","455","220","0.481"
"2018","Lower tariff","35 and over","Northern Ireland","Female","420","225","0.531"
"2019","Lower tariff","35 and over","Northern Ireland","Female","435","270","0.621"
"2020","Lower tariff","35 and over","Northern Ireland","Female","485","285","0.586"
"2021","Lower tariff","35 and over","Northern Ireland","Female","570","270","0.47200000000000003"
"2022","Lower tariff","35 and over","Northern Ireland","Female","470","210","0.443"
"2023","Lower tariff","35 and over","Northern Ireland","Female","470","265","0.5640000000000001"
"2006","Higher tariff","35 and over","Northern Ireland","Female","10","0"," "
"2007","Higher tariff","35 and over","Northern Ireland","Female","5","0"," "
"2008","Higher tariff","35 and over","Northern Ireland","Female","15","0"," "
"2009","Higher tariff","35 and over","Northern Ireland","Female","10","5"," "
"2010","Higher tariff","35 and over","Northern Ireland","Female","10","5"," "
"2011","Higher tariff","35 and over","Northern Ireland","Female","25","5"," "
"2012","Higher tariff","35 and over","Northern Ireland","Female","10","0"," "
"2013","Higher tariff","35 and over","Northern Ireland","Female","20","0"," "
"2014","Higher tariff","35 and over","Northern Ireland","Female","15","5"," "
"2015","Higher tariff","35 and over","Northern Ireland","Female","25","5"," "
"2016","Higher tariff","35 and over","Northern Ireland","Female","30","0"," "
"2017","Higher tariff","35 and over","Northern Ireland","Female","30","0"," "
"2018","Higher tariff","35 and over","Northern Ireland","Female","20","10","0.55"
"2019","Higher tariff","35 and over","Northern Ireland","Female","20","5"," "
"2020","Higher tariff","35 and over","Northern Ireland","Female","15","0"," "
"2021","Higher tariff","35 and over","Northern Ireland","Female","15","0"," "
"2022","Higher tariff","35 and over","Northern Ireland","Female","25","5"," "
"2023","Higher tariff","35 and over","Northern Ireland","Female","25","0"," "
"2006","Medium tariff","35 and over","Northern Ireland","Female","240","135","0.5630000000000001"
"2007","Medium tariff","35 and over","Northern Ireland","Female","245","155","0.637"
"2008","Medium tariff","35 and over","Northern Ireland","Female","280","180","0.636"
"2009","Medium tariff","35 and over","Northern Ireland","Female","170","90","0.524"
"2010","Medium tariff","35 and over","Northern Ireland","Female","265","150","0.5660000000000001"
"2011","Medium tariff","35 and over","Northern Ireland","Female","245","135","0.543"
"2012","Medium tariff","35 and over","Northern Ireland","Female","185","100","0.551"
"2013","Medium tariff","35 and over","Northern Ireland","Female","500","170","0.34"
"2014","Medium tariff","35 and over","Northern Ireland","Female","540","260","0.481"
"2015","Medium tariff","35 and over","Northern Ireland","Female","480","185","0.381"
"2016","Medium tariff","35 and over","Northern Ireland","Female","535","195","0.364"
"2017","Medium tariff","35 and over","Northern Ireland","Female","515","200","0.384"
"2018","Medium tariff","35 and over","Northern Ireland","Female","480","215","0.444"
"2019","Medium tariff","35 and over","Northern Ireland","Female","575","230","0.398"
"2020","Medium tariff","35 and over","Northern Ireland","Female","460","215","0.467"
"2021","Medium tariff","35 and over","Northern Ireland","Female","605","180","0.296"
"2022","Medium tariff","35 and over","Northern Ireland","Female","510","195","0.378"
"2023","Medium tariff","35 and over","Northern Ireland","Female","435","185","0.423"
"2006","Lower tariff","17 and under","England","Female","530","380","0.715"
"2007","Lower tariff","17 and under","England","Female","615","415","0.676"
"2008","Lower tariff","17 and under","England","Female","695","395","0.5680000000000001"
"2009","Lower tariff","17 and under","England","Female","785","450","0.5750000000000001"
"2010","Lower tariff","17 and under","England","Female","745","320","0.431"
"2011","Lower tariff","17 and under","England","Female","665","345","0.52"
"2012","Lower tariff","17 and under","England","Female","460","305","0.663"
"2013","Lower tariff","17 and under","England","Female","390","265","0.674"
"2014","Lower tariff","17 and under","England","Female","490","305","0.62"
"2015","Lower tariff","17 and under","England","Female","545","350","0.64"
"2016","Lower tariff","17 and under","England","Female","465","320","0.6920000000000001"
"2017","Lower tariff","17 and under","England","Female","385","270","0.706"
"2018","Lower tariff","17 and under","England","Female","360","240","0.669"
"2019","Lower tariff","17 and under","England","Female","360","265","0.731"
"2020","Lower tariff","17 and under","England","Female","370","260","0.705"
"2021","Lower tariff","17 and under","England","Female","450","310","0.6890000000000001"
"2022","Lower tariff","17 and under","England","Female","625","380","0.606"
"2023","Lower tariff","17 and under","England","Female","580","340","0.586"
"2006","Higher tariff","17 and under","England","Female","2285","1460","0.639"
"2007","Higher tariff","17 and under","England","Female","2510","1555","0.62"
"2008","Higher tariff","17 and under","England","Female","1965","1115","0.5680000000000001"
"2009","Higher tariff","17 and under","England","Female","1860","1110","0.598"
"2010","Higher tariff","17 and under","England","Female","1910","1010","0.529"
"2011","Higher tariff","17 and under","England","Female","1615","930","0.5760000000000001"
"2012","Higher tariff","17 and under","England","Female","1255","810","0.645"
"2013","Higher tariff","17 and under","England","Female","1200","745","0.623"
"2014","Higher tariff","17 and under","England","Female","1280","840","0.657"
"2015","Higher tariff","17 and under","England","Female","1225","825","0.674"
"2016","Higher tariff","17 and under","England","Female","1170","765","0.656"
"2017","Higher tariff","17 and under","England","Female","1305","860","0.657"
"2018","Higher tariff","17 and under","England","Female","1275","890","0.6960000000000001"
"2019","Higher tariff","17 and under","England","Female","1255","840","0.67"
"2020","Higher tariff","17 and under","England","Female","1400","940","0.671"
"2021","Higher tariff","17 and under","England","Female","1390","850","0.612"
"2022","Higher tariff","17 and under","England","Female","1450","755","0.519"
"2023","Higher tariff","17 and under","England","Female","1535","810","0.529"
"2006","Medium tariff","17 and under","England","Female","785","585","0.743"
"2007","Medium tariff","17 and under","England","Female","855","655","0.765"
"2008","Medium tariff","17 and under","England","Female","835","585","0.7020000000000001"
"2009","Medium tariff","17 and under","England","Female","770","460","0.599"
"2010","Medium tariff","17 and under","England","Female","805","495","0.617"
"2011","Medium tariff","17 and under","England","Female","725","445","0.617"
"2012","Medium tariff","17 and under","England","Female","555","380","0.685"
"2013","Medium tariff","17 and under","England","Female","495","365","0.737"
"2014","Medium tariff","17 and under","England","Female","555","410","0.735"
"2015","Medium tariff","17 and under","England","Female","505","360","0.715"
"2016","Medium tariff","17 and under","England","Female","490","355","0.724"
"2017","Medium tariff","17 and under","England","Female","475","365","0.766"
"2018","Medium tariff","17 and under","England","Female","495","385","0.776"
"2019","Medium tariff","17 and under","England","Female","475","355","0.747"
"2020","Medium tariff","17 and under","England","Female","465","345","0.74"
"2021","Medium tariff","17 and under","England","Female","515","400","0.781"
"2022","Medium tariff","17 and under","England","Female","715","485","0.678"
"2023","Medium tariff","17 and under","England","Female","715","470","0.655"
"2006","Lower tariff","18","England","Female","189370","144980","0.766"
"2007","Lower tariff","18","England","Female","191870","144925","0.755"
"2008","Lower tariff","18","England","Female","170760","131635","0.771"
"2009","Lower tariff","18","England","Female","183545","138850","0.756"
"2010","Lower tariff","18","England","Female","203820","143400","0.704"
"2011","Lower tariff","18","England","Female","219645","148940","0.678"
"2012","Lower tariff","18","England","Female","211370","146535","0.6930000000000001"
"2013","Lower tariff","18","England","Female","208070","152850","0.735"
"2014","Lower tariff","18","England","Female","213130","158250","0.742"
"2015","Lower tariff","18","England","Female","218255","164530","0.754"
"2016","Lower tariff","18","England","Female","209550","159590","0.762"
"2017","Lower tariff","18","England","Female","201855","158815","0.787"
"2018","Lower tariff","18","England","Female","194040","155645","0.802"
"2019","Lower tariff","18","England","Female","191370","154360","0.807"
"2020","Lower tariff","18","England","Female","198060","162375","0.8200000000000001"
"2021","Lower tariff","18","England","Female","220690","184890","0.838"
"2022","Lower tariff","18","England","Female","238300","193930","0.8140000000000001"
"2023","Lower tariff","18","England","Female","226085","186495","0.8250000000000001"
"2006","Higher tariff","18","England","Female","209725","133495","0.637"
"2007","Higher tariff","18","England","Female","214880","137315","0.639"
"2008","Higher tariff","18","England","Female","192270","126155","0.656"
"2009","Higher tariff","18","England","Female","194350","125220","0.644"
"2010","Higher tariff","18","England","Female","196045","122715","0.626"
"2011","Higher tariff","18","England","Female","183550","115470","0.629"
"2012","Higher tariff","18","England","Female","181430","123225","0.679"
"2013","Higher tariff","18","England","Female","186805","133135","0.713"
"2014","Higher tariff","18","England","Female","194305","142600","0.734"
"2015","Higher tariff","18","England","Female","208265","156960","0.754"
"2016","Higher tariff","18","England","Female","217780","165230","0.759"
"2017","Higher tariff","18","England","Female","229745","175545","0.764"
"2018","Higher tariff","18","England","Female","231575","176015","0.76"
"2019","Higher tariff","18","England","Female","242995","183995","0.757"
"2020","Higher tariff","18","England","Female","251620","191050","0.759"
"2021","Higher tariff","18","England","Female","280615","197975","0.706"
"2022","Higher tariff","18","England","Female","294035","183095","0.623"
"2023","Higher tariff","18","England","Female","288900","193105","0.668"
"2006","Medium tariff","18","England","Female","157520","118925","0.755"
"2007","Medium tariff","18","England","Female","162870","122905","0.755"
"2008","Medium tariff","18","England","Female","151695","115995","0.765"
"2009","Medium tariff","18","England","Female","162105","121450","0.749"
"2010","Medium tariff","18","England","Female","175695","124840","0.711"
"2011","Medium tariff","18","England","Female","181800","123305","0.678"
"2012","Medium tariff","18","England","Female","171060","122480","0.716"
"2013","Medium tariff","18","England","Female","172135","129160","0.75"
"2014","Medium tariff","18","England","Female","176545","134220","0.76"
"2015","Medium tariff","18","England","Female","188940","144725","0.766"
"2016","Medium tariff","18","England","Female","193510","150995","0.78"
"2017","Medium tariff","18","England","Female","190320","152320","0.8"
"2018","Medium tariff","18","England","Female","186650","152945","0.8190000000000001"
"2019","Medium tariff","18","England","Female","186800","154540","0.8270000000000001"
"2020","Medium tariff","18","England","Female","191960","157975","0.8230000000000001"
"2021","Medium tariff","18","England","Female","213495","176285","0.8260000000000001"
"2022","Medium tariff","18","England","Female","223465","177430","0.794"
"2023","Medium tariff","18","England","Female","222230","178990","0.805"
"2006","Lower tariff","19","England","Female","62855","42220","0.672"
"2007","Lower tariff","19","England","Female","75955","50505","0.665"
"2008","Lower tariff","19","England","Female","71570","47540","0.664"
"2009","Lower tariff","19","England","Female","78415","51365","0.655"
"2010","Lower tariff","19","England","Female","94740","55575","0.587"
"2011","Lower tariff","19","England","Female","106285","60650","0.5710000000000001"
"2012","Lower tariff","19","England","Female","90145","53190","0.59"
"2013","Lower tariff","19","England","Female","95365","60850","0.638"
"2014","Lower tariff","19","England","Female","95985","61965","0.646"
"2015","Lower tariff","19","England","Female","94000","62765","0.668"
"2016","Lower tariff","19","England","Female","91425","61600","0.674"
"2017","Lower tariff","19","England","Female","81900","57450","0.7010000000000001"
"2018","Lower tariff","19","England","Female","75640","54630","0.722"
