"Year","Difference between predicted and achieved SQA higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","-4 points","18","All","Female","Main scheme applicant","Main scheme application","20","15","0.619","0"
"2019","-4 points","18","All","Female","Main scheme applicant","Main scheme application","20","15","0.619","0"
"2020","-4 points","18","All","Female","Main scheme applicant","Main scheme application","15","10"," ","0"
"2021","-4 points","18","All","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","-4 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","-4 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","-5 points","18","All","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2011","-5 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","-5 points","18","All","Female","Main scheme applicant","Main scheme application","25","10"," ","0"
"2013","-5 points","18","All","Female","Main scheme applicant","Main scheme application","20","10"," ","0"
"2014","-5 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2015","-5 points","18","All","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2016","-5 points","18","All","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2017","-5 points","18","All","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","-5 points","18","All","Female","Main scheme applicant","Main scheme application","20","10","0.526","0"
"2019","-5 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","-5 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","-5 points","18","All","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","-5 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","-5 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","-6 points","18","All","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2011","-6 points","18","All","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2012","-6 points","18","All","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2013","-6 points","18","All","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2014","-6 points","18","All","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2015","-6 points","18","All","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2016","-6 points","18","All","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2017","-6 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","-6 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","-6 points","18","All","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2020","-6 points","18","All","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","-6 points","18","All","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2022","-6 points","18","All","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
