"Year","Subject group HECoS","Detailed subject group HECoS","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Scotland","5","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Wales","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Wales","5","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Wales","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Unknown","Northern Ireland","5","0"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Unknown","Northern Ireland","5","0"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Unknown","Northern Ireland","10","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Unknown","England","25","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Unknown","England","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Unknown","England","35","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","Unknown","England","10","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","Unknown","Northern Ireland","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","Unknown","Northern Ireland","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","Unknown","England","5","0"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","Unknown","England","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","Unknown","England","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","Unknown","Northern Ireland","5","0"," "
