"Year","Care responsibility status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Has carer responsibility","19","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Female","Main scheme applicant","Not main scheme application","25","15","0.739","0"
"2023","Does not have carer responsibility","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","45","35","0.787","0"
"2023","Does not have carer responsibility","20","England","Female","Main scheme applicant","Not main scheme application","1375","1140","0.8270000000000001","0"
"2023","Does not have carer responsibility","20","Scotland","Female","Main scheme applicant","Not main scheme application","95","70","0.742","0"
"2023","Does not have carer responsibility","20","Wales","Female","Main scheme applicant","Not main scheme application","70","55","0.75","0"
"2023","Has carer responsibility","20","England","Female","Main scheme applicant","Not main scheme application","90","80","0.909","0"
"2023","Has carer responsibility","20","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Has carer responsibility","20","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Female","Main scheme applicant","Not main scheme application","45","30","0.681","0"
"2023","Not declared","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Does not have carer responsibility","21 - 24","Northern Ireland","Female","Main scheme applicant","Not main scheme application","85","60","0.706","0"
"2023","Does not have carer responsibility","21 - 24","England","Female","Main scheme applicant","Not main scheme application","1610","1110","0.6900000000000001","0"
"2023","Does not have carer responsibility","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","210","130","0.629","0"
"2023","Does not have carer responsibility","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","90","70","0.787","0"
"2023","Has carer responsibility","21 - 24","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has carer responsibility","21 - 24","England","Female","Main scheme applicant","Not main scheme application","130","85","0.659","0"
"2023","Has carer responsibility","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2023","Has carer responsibility","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","25 - 29","England","Female","Main scheme applicant","Not main scheme application","25","10","0.522","0"
"2023","Not declared","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Does not have carer responsibility","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","15","0.773","0"
"2023","Does not have carer responsibility","25 - 29","England","Female","Main scheme applicant","Not main scheme application","530","340","0.64","0"
"2023","Does not have carer responsibility","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","75","50","0.658","0"
"2023","Does not have carer responsibility","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","50","35","0.6880000000000001","0"
"2023","Has carer responsibility","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15","10","0.75","0"
"2023","Has carer responsibility","25 - 29","England","Female","Main scheme applicant","Not main scheme application","110","75","0.6940000000000001","0"
"2023","Has carer responsibility","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Has carer responsibility","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","30 - 34","England","Female","Main scheme applicant","Not main scheme application","15","15","0.882","0"
"2023","Does not have carer responsibility","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20","15","0.8","0"
"2023","Does not have carer responsibility","30 - 34","England","Female","Main scheme applicant","Not main scheme application","340","205","0.604","0"
"2023","Does not have carer responsibility","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","45","25","0.578","0"
"2023","Does not have carer responsibility","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","25","20","0.84","0"
"2023","Has carer responsibility","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has carer responsibility","30 - 34","England","Female","Main scheme applicant","Not main scheme application","130","80","0.641","0"
"2023","Has carer responsibility","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Has carer responsibility","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","35 and over","England","Female","Main scheme applicant","Not main scheme application","50","25","0.521","0"
"2023","Does not have carer responsibility","35 and over","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2023","Does not have carer responsibility","35 and over","England","Female","Main scheme applicant","Not main scheme application","630","390","0.623","0"
"2023","Does not have carer responsibility","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","60","35","0.559","0"
"2023","Does not have carer responsibility","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","25","20","0.84","0"
"2023","Has carer responsibility","35 and over","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","20","0.913","0"
"2023","Has carer responsibility","35 and over","England","Female","Main scheme applicant","Not main scheme application","415","265","0.638","0"
"2023","Has carer responsibility","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","45","25","0.558","0"
"2023","Has carer responsibility","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","20","15","0.842","0"
"2023","Not declared","17 and under","England","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Does not have carer responsibility","17 and under","England","Male","Main scheme applicant","Not main scheme application","60","40","0.656","0"
"2023","Does not have carer responsibility","17 and under","Scotland","Male","Main scheme applicant","Not main scheme application","20","15","0.684","0"
"2023","Has carer responsibility","17 and under","England","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","18","Northern Ireland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Male","Main scheme applicant","Not main scheme application","245","225","0.922","0"
"2023","Not declared","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have carer responsibility","18","Northern Ireland","Male","Main scheme applicant","Not main scheme application","320","270","0.85","0"
"2023","Does not have carer responsibility","18","England","Male","Main scheme applicant","Not main scheme application","16975","15760","0.928","0"
"2023","Does not have carer responsibility","18","Scotland","Male","Main scheme applicant","Not main scheme application","375","330","0.875","0"
"2023","Does not have carer responsibility","18","Wales","Male","Main scheme applicant","Not main scheme application","430","385","0.902","0"
"2023","Has carer responsibility","18","Northern Ireland","Male","Main scheme applicant","Not main scheme application","15","15","1","0"
"2023","Has carer responsibility","18","England","Male","Main scheme applicant","Not main scheme application","770","705","0.911","0"
"2023","Has carer responsibility","18","Scotland","Male","Main scheme applicant","Not main scheme application","20","15","0.833","0"
"2023","Has carer responsibility","18","Wales","Male","Main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2023","Not declared","19","England","Male","Main scheme applicant","Not main scheme application","80","70","0.854","0"
"2023","Does not have carer responsibility","19","Northern Ireland","Male","Main scheme applicant","Not main scheme application","85","70","0.847","0"
"2023","Does not have carer responsibility","19","England","Male","Main scheme applicant","Not main scheme application","3480","3065","0.881","0"
"2023","Does not have carer responsibility","19","Scotland","Male","Main scheme applicant","Not main scheme application","145","105","0.738","0"
"2023","Does not have carer responsibility","19","Wales","Male","Main scheme applicant","Not main scheme application","100","95","0.9390000000000001","0"
"2023","Has carer responsibility","19","England","Male","Main scheme applicant","Not main scheme application","190","170","0.885","0"
"2023","Has carer responsibility","19","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Has carer responsibility","19","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Male","Main scheme applicant","Not main scheme application","30","25","0.793","0"
"2023","Does not have carer responsibility","20","Northern Ireland","Male","Main scheme applicant","Not main scheme application","30","20","0.733","0"
"2023","Does not have carer responsibility","20","England","Male","Main scheme applicant","Not main scheme application","1080","895","0.8310000000000001","0"
