"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Disability declared","Learning difference","3015","1770","0.588"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","Disability declared","Learning difference","3505","2025","0.578"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Disability declared","Learning difference","3070","1980","0.646"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Disability declared","Learning difference","3330","2275","0.683"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Disability declared","Learning difference","3545","2560","0.723"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Disability declared","Learning difference","4265","2785","0.653"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","Disability declared","Learning difference","4590","3170","0.6900000000000001"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Disability declared","Learning difference","1570","875","0.559"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Disability declared","Learning difference","1645","930","0.5660000000000001"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Disability declared","Learning difference","1595","930","0.583"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Disability declared","Learning difference","2005","1140","0.5680000000000001"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","Disability declared","Learning difference","2325","1285","0.553"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Disability declared","Learning difference","2925","1185","0.404"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Disability declared","Learning difference","2900","1170","0.404"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Disability declared","Learning difference","3015","1270","0.421"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Disability declared","Learning difference","3595","1540","0.428"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","Disability declared","Learning difference","3845","1610","0.419"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Disability declared","Learning difference","320","150","0.47300000000000003"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Disability declared","Learning difference","360","190","0.533"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Disability declared","Learning difference","510","245","0.47800000000000004"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Disability declared","Learning difference","525","195","0.374"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","Disability declared","Learning difference","575","245","0.426"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Disability declared","Learning difference","230","90","0.399"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Disability declared","Learning difference","135","80","0.586"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Disability declared","Learning difference","130","90","0.7020000000000001"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Disability declared","Learning difference","155","110","0.715"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","Disability declared","Learning difference","135","85","0.644"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Disability declared","Learning difference","225","170","0.747"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Disability declared","Learning difference","240","175","0.725"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Disability declared","Learning difference","280","215","0.774"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Disability declared","Learning difference","340","255","0.744"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","Disability declared","Learning difference","270","205","0.754"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Disability declared","Learning difference","225","110","0.485"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Disability declared","Learning difference","260","140","0.543"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Disability declared","Learning difference","305","165","0.541"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Disability declared","Learning difference","400","220","0.55"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","Disability declared","Learning difference","445","240","0.539"
"2019","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Disability declared","Learning difference","210","185","0.892"
"2020","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Disability declared","Learning difference","190","160","0.839"
"2021","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Disability declared","Learning difference","165","145","0.875"
"2022","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Disability declared","Learning difference","220","170","0.783"
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","Disability declared","Learning difference","220","170","0.779"
"2019","(CAH10) engineering and technology","(CAH10-03-02) materials technology","Disability declared","Learning difference","40","35","0.921"
"2020","(CAH10) engineering and technology","(CAH10-03-02) materials technology","Disability declared","Learning difference","45","40","0.931"
"2021","(CAH10) engineering and technology","(CAH10-03-02) materials technology","Disability declared","Learning difference","30","30","0.933"
"2022","(CAH10) engineering and technology","(CAH10-03-02) materials technology","Disability declared","Learning difference","25","20","0.75"
"2023","(CAH10) engineering and technology","(CAH10-03-02) materials technology","Disability declared","Learning difference","55","45","0.84"
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Disability declared","Learning difference","170","135","0.784"
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Disability declared","Learning difference","205","170","0.8220000000000001"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Disability declared","Learning difference","240","205","0.851"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Disability declared","Learning difference","230","190","0.8270000000000001"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","Disability declared","Learning difference","335","275","0.8230000000000001"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Disability declared","Learning difference","440","360","0.8230000000000001"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Disability declared","Learning difference","460","390","0.851"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Disability declared","Learning difference","515","445","0.865"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Disability declared","Learning difference","605","505","0.838"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","Disability declared","Learning difference","725","620","0.856"
