"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2022","Black","18","Wales","Female","Main scheme applicant","Main scheme application","5","5"," "
"2023","Black","18","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Asian","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Asian","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Asian","18","England","Female","Main scheme applicant","Main scheme application","290","75","0.253"
"2020","Asian","18","England","Female","Main scheme applicant","Main scheme application","335","95","0.277"
"2021","Asian","18","England","Female","Main scheme applicant","Main scheme application","375","100","0.264"
"2022","Asian","18","England","Female","Main scheme applicant","Main scheme application","370","80","0.22"
"2023","Asian","18","England","Female","Main scheme applicant","Main scheme application","350","105","0.304"
"2019","Asian","18","Scotland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2020","Asian","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Asian","18","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2022","Asian","18","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2023","Asian","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Asian","18","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Asian","18","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Asian","18","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Asian","18","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Asian","18","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Mixed","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Mixed","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Mixed","18","England","Female","Main scheme applicant","Main scheme application","90","20","0.23600000000000002"
"2020","Mixed","18","England","Female","Main scheme applicant","Main scheme application","100","40","0.373"
"2021","Mixed","18","England","Female","Main scheme applicant","Main scheme application","125","40","0.315"
"2022","Mixed","18","England","Female","Main scheme applicant","Main scheme application","135","35","0.243"
"2023","Mixed","18","England","Female","Main scheme applicant","Main scheme application","105","35","0.318"
"2019","Mixed","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Mixed","18","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Mixed","18","Wales","Female","Main scheme applicant","Main scheme application","10","0"," "
"2023","Mixed","18","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Other","18","England","Female","Main scheme applicant","Main scheme application","35","10","0.353"
"2020","Other","18","England","Female","Main scheme applicant","Main scheme application","55","25","0.463"
"2021","Other","18","England","Female","Main scheme applicant","Main scheme application","45","10","0.23900000000000002"
"2022","Other","18","England","Female","Main scheme applicant","Main scheme application","60","20","0.317"
"2023","Other","18","England","Female","Main scheme applicant","Main scheme application","60","20","0.356"
"2019","Unknown or Prefer Not To Say","18","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Unknown or Prefer Not To Say","18","England","Female","Main scheme applicant","Main scheme application","10","5"," "
"2022","Unknown or Prefer Not To Say","18","England","Female","Main scheme applicant","Main scheme application","10","0"," "
