"Year","Difference between predicted and achieved BTEC Extended diploma points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2013","-3 points","Quintile 4","Main scheme applicant","Main scheme application","185","85","0.459","0"
"2014","-3 points","Quintile 4","Main scheme applicant","Main scheme application","205","100","0.488","0"
"2015","-3 points","Quintile 4","Main scheme applicant","Main scheme application","245","120","0.496","0"
"2016","-3 points","Quintile 4","Main scheme applicant","Main scheme application","220","130","0.582","0"
"2017","-3 points","Quintile 4","Main scheme applicant","Main scheme application","185","110","0.6","0"
"2018","-3 points","Quintile 4","Main scheme applicant","Main scheme application","205","125","0.621","0"
"2019","-3 points","Quintile 4","Main scheme applicant","Main scheme application","195","130","0.677","0"
"2020","-3 points","Quintile 4","Main scheme applicant","Main scheme application","195","140","0.713","0"
"2021","-3 points","Quintile 4","Main scheme applicant","Main scheme application","235","140","0.59","0"
"2022","-3 points","Quintile 4","Main scheme applicant","Main scheme application","260","145","0.553","0"
"2023","-3 points","Quintile 4","Main scheme applicant","Main scheme application","260","140","0.55","0"
"2010","-4 points","Quintile 4","Main scheme applicant","Main scheme application","105","35","0.34","0"
"2011","-4 points","Quintile 4","Main scheme applicant","Main scheme application","90","35","0.393","0"
"2012","-4 points","Quintile 4","Main scheme applicant","Main scheme application","110","45","0.427","0"
"2013","-4 points","Quintile 4","Main scheme applicant","Main scheme application","120","50","0.43","0"
"2014","-4 points","Quintile 4","Main scheme applicant","Main scheme application","140","55","0.404","0"
"2015","-4 points","Quintile 4","Main scheme applicant","Main scheme application","170","85","0.5","0"
"2016","-4 points","Quintile 4","Main scheme applicant","Main scheme application","105","55","0.509","0"
"2017","-4 points","Quintile 4","Main scheme applicant","Main scheme application","90","50","0.533","0"
"2018","-4 points","Quintile 4","Main scheme applicant","Main scheme application","130","80","0.612","0"
"2019","-4 points","Quintile 4","Main scheme applicant","Main scheme application","145","85","0.594","0"
"2020","-4 points","Quintile 4","Main scheme applicant","Main scheme application","105","75","0.6950000000000001","0"
