"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2020","Asian","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","35","25","0.6970000000000001"
"2021","Asian","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.7000000000000001"
"2022","Asian","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","30","20","0.633"
"2023","Asian","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.75"
"2019","Mixed","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.909"
"2020","Mixed","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.9410000000000001"
"2021","Mixed","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.786"
"2022","Mixed","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.769"
"2023","Mixed","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.722"
"2023","Mixed","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Other","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Other","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Other","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2022","Other","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2019","Unknown or Prefer Not To Say","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","30","30","0.9380000000000001"
"2020","Unknown or Prefer Not To Say","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.9"
"2021","Unknown or Prefer Not To Say","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","30","25","0.929"
"2022","Unknown or Prefer Not To Say","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.913"
"2023","Unknown or Prefer Not To Say","25 - 29","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001"
"2020","Unknown or Prefer Not To Say","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Unknown or Prefer Not To Say","25 - 29","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Unknown or Prefer Not To Say","25 - 29","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","105","90","0.86"
"2020","White","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","205","175","0.854"
"2021","White","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","95","80","0.8210000000000001"
"2022","White","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","100","80","0.808"
"2023","White","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","140","120","0.8310000000000001"
"2019","White","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10"," "
"2020","White","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","20","15","0.65"
"2021","White","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2022","White","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","40","30","0.769"
"2023","White","30 - 34","Scotland","Female","Not main scheme applicant","Not main scheme application","40","25","0.658"
"2019","White","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","White","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2021","White","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","15","10"," "
"2022","White","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","30 - 34","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Black","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","80","70","0.852"
"2020","Black","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","80","60","0.716"
"2021","Black","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","55","40","0.727"
"2022","Black","30 - 34","England","Female","Not main scheme applicant","Not main scheme application","80","55","0.684"
