"Year","Achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2016","2 points (MPP)","All","Wales","Male","Main scheme applicant","All","30","25","0.781","0"
"2017","2 points (MPP)","All","Wales","Male","Main scheme applicant","All","30","25","0.767","0"
"2018","2 points (MPP)","All","Wales","Male","Main scheme applicant","All","55","40","0.774","0"
"2019","2 points (MPP)","All","Wales","Male","Main scheme applicant","All","45","30","0.721","0"
"2020","2 points (MPP)","All","Wales","Male","Main scheme applicant","All","35","30","0.8290000000000001","0"
"2021","2 points (MPP)","All","Wales","Male","Main scheme applicant","All","20","15","0.727","0"
"2022","2 points (MPP)","All","Wales","Male","Main scheme applicant","All","30","15","0.517","0"
"2023","2 points (MPP)","All","Wales","Male","Main scheme applicant","All","45","30","0.651","0"
"2010","3 points (MMP)","All","Northern Ireland","Male","Main scheme applicant","All","30","10","0.357","0"
"2011","3 points (MMP)","All","Northern Ireland","Male","Main scheme applicant","All","35","10","0.303","0"
"2012","3 points (MMP)","All","Northern Ireland","Male","Main scheme applicant","All","10","5"," ","0"
"2013","3 points (MMP)","All","Northern Ireland","Male","Main scheme applicant","All","20","5"," ","0"
"2014","3 points (MMP)","All","Northern Ireland","Male","Main scheme applicant","All","25","10"," ","0"
"2015","3 points (MMP)","All","Northern Ireland","Male","Main scheme applicant","All","30","10"," ","0"
"2016","3 points (MMP)","All","Northern Ireland","Male","Main scheme applicant","All","25","10","0.37","0"
"2017","3 points (MMP)","All","Northern Ireland","Male","Main scheme applicant","All","30","10","0.4","0"
"2018","3 points (MMP)","All","Northern Ireland","Male","Main scheme applicant","All","15","5"," ","0"
"2019","3 points (MMP)","All","Northern Ireland","Male","Main scheme applicant","All","15","5"," ","0"
"2020","3 points (MMP)","All","Northern Ireland","Male","Main scheme applicant","All","15","10"," ","0"
"2021","3 points (MMP)","All","Northern Ireland","Male","Main scheme applicant","All","15","10"," ","0"
"2022","3 points (MMP)","All","Northern Ireland","Male","Main scheme applicant","All","25","10"," ","0"
"2023","3 points (MMP)","All","Northern Ireland","Male","Main scheme applicant","All","10","5"," ","0"
"2010","3 points (MMP)","All","England","Male","Main scheme applicant","All","880","630","0.716","0"
"2011","3 points (MMP)","All","England","Male","Main scheme applicant","All","730","490","0.675","0"
"2012","3 points (MMP)","All","England","Male","Main scheme applicant","All","725","515","0.711","0"
"2013","3 points (MMP)","All","England","Male","Main scheme applicant","All","680","530","0.776","0"
"2014","3 points (MMP)","All","England","Male","Main scheme applicant","All","775","575","0.738","0"
"2015","3 points (MMP)","All","England","Male","Main scheme applicant","All","740","560","0.759","0"
"2016","3 points (MMP)","All","England","Male","Main scheme applicant","All","730","570","0.779","0"
"2017","3 points (MMP)","All","England","Male","Main scheme applicant","All","580","455","0.784","0"
"2018","3 points (MMP)","All","England","Male","Main scheme applicant","All","565","470","0.8270000000000001","0"
"2019","3 points (MMP)","All","England","Male","Main scheme applicant","All","550","445","0.809","0"
"2020","3 points (MMP)","All","England","Male","Main scheme applicant","All","675","580","0.861","0"
"2021","3 points (MMP)","All","England","Male","Main scheme applicant","All","630","510","0.81","0"
"2022","3 points (MMP)","All","England","Male","Main scheme applicant","All","725","570","0.785","0"
"2023","3 points (MMP)","All","England","Male","Main scheme applicant","All","850","670","0.785","0"
"2010","3 points (MMP)","All","Wales","Male","Main scheme applicant","All","50","35","0.654","0"
"2011","3 points (MMP)","All","Wales","Male","Main scheme applicant","All","40","25","0.605","0"
"2012","3 points (MMP)","All","Wales","Male","Main scheme applicant","All","35","25","0.676","0"
"2013","3 points (MMP)","All","Wales","Male","Main scheme applicant","All","45","40","0.889","0"
"2014","3 points (MMP)","All","Wales","Male","Main scheme applicant","All","50","40","0.8200000000000001","0"
"2015","3 points (MMP)","All","Wales","Male","Main scheme applicant","All","55","45","0.789","0"
"2016","3 points (MMP)","All","Wales","Male","Main scheme applicant","All","45","40","0.913","0"
"2017","3 points (MMP)","All","Wales","Male","Main scheme applicant","All","40","35","0.8290000000000001","0"
"2018","3 points (MMP)","All","Wales","Male","Main scheme applicant","All","55","50","0.889","0"
"2019","3 points (MMP)","All","Wales","Male","Main scheme applicant","All","35","30","0.8240000000000001","0"
"2020","3 points (MMP)","All","Wales","Male","Main scheme applicant","All","40","35","0.921","0"
