"Year","Achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","6 points (DDM)","All","England","Male","Main scheme applicant","All","1425","1235","0.868","0"
"2010","6 points (DDM)","All","Scotland","Male","Main scheme applicant","All","5","5"," ","0"
"2010","6 points (DDM)","All","Wales","Male","Main scheme applicant","All","60","50","0.8310000000000001","0"
"2011","6 points (DDM)","All","Wales","Male","Main scheme applicant","All","65","55","0.859","0"
"2012","6 points (DDM)","All","Wales","Male","Main scheme applicant","All","70","60","0.855","0"
"2013","6 points (DDM)","All","Wales","Male","Main scheme applicant","All","55","50","0.877","0"
"2014","6 points (DDM)","All","Wales","Male","Main scheme applicant","All","60","50","0.852","0"
"2015","6 points (DDM)","All","Wales","Male","Main scheme applicant","All","55","50","0.929","0"
"2016","6 points (DDM)","All","Wales","Male","Main scheme applicant","All","80","75","0.902","0"
"2017","6 points (DDM)","All","Wales","Male","Main scheme applicant","All","55","50","0.857","0"
"2018","6 points (DDM)","All","Wales","Male","Main scheme applicant","All","75","65","0.918","0"
"2019","6 points (DDM)","All","Wales","Male","Main scheme applicant","All","45","40","0.93","0"
"2020","6 points (DDM)","All","Wales","Male","Main scheme applicant","All","60","55","0.966","0"
"2021","6 points (DDM)","All","Wales","Male","Main scheme applicant","All","55","40","0.732","0"
"2022","6 points (DDM)","All","Wales","Male","Main scheme applicant","All","60","45","0.81","0"
"2023","6 points (DDM)","All","Wales","Male","Main scheme applicant","All","55","45","0.887","0"
"2010","7 points (DDD)","All","Northern Ireland","Male","Main scheme applicant","All","140","125","0.879","0"
"2011","7 points (DDD)","All","Northern Ireland","Male","Main scheme applicant","All","130","105","0.8290000000000001","0"
"2012","7 points (DDD)","All","Northern Ireland","Male","Main scheme applicant","All","35","30","0.848","0"
"2013","7 points (DDD)","All","Northern Ireland","Male","Main scheme applicant","All","30","25","0.806","0"
"2014","7 points (DDD)","All","Northern Ireland","Male","Main scheme applicant","All","25","20","0.783","0"
"2015","7 points (DDD)","All","Northern Ireland","Male","Main scheme applicant","All","50","40","0.84","0"
"2016","7 points (DDD)","All","Northern Ireland","Male","Main scheme applicant","All","40","35","0.8290000000000001","0"
"2017","7 points (DDD)","All","Northern Ireland","Male","Main scheme applicant","All","25","25","0.885","0"
