"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","Main scheme firm choice","35 and over","England","Female","Main scheme applicant","Main scheme application","285"
"2020","Main scheme firm choice","35 and over","England","Female","Main scheme applicant","Main scheme application","360"
"2021","Main scheme firm choice","35 and over","England","Female","Main scheme applicant","Main scheme application","430"
"2022","Main scheme firm choice","35 and over","England","Female","Main scheme applicant","Main scheme application","390"
"2023","Main scheme firm choice","35 and over","England","Female","Main scheme applicant","Main scheme application","390"
"2020","Main scheme insurance choice","35 and over","England","Female","Main scheme applicant","Main scheme application","5"
"2021","Main scheme insurance choice","35 and over","England","Female","Main scheme applicant","Main scheme application","5"
"2022","Main scheme insurance choice","35 and over","England","Female","Main scheme applicant","Main scheme application","5"
"2023","Main scheme insurance choice","35 and over","England","Female","Main scheme applicant","Main scheme application","5"
"2021","Main scheme firm choice","17 and under","Scotland","Female","Main scheme applicant","Main scheme application","5"
"2023","Main scheme firm choice","17 and under","Scotland","Female","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","18","Scotland","Female","Main scheme applicant","Main scheme application","65"
"2020","Main scheme firm choice","18","Scotland","Female","Main scheme applicant","Main scheme application","65"
"2021","Main scheme firm choice","18","Scotland","Female","Main scheme applicant","Main scheme application","55"
"2022","Main scheme firm choice","18","Scotland","Female","Main scheme applicant","Main scheme application","60"
"2023","Main scheme firm choice","18","Scotland","Female","Main scheme applicant","Main scheme application","55"
"2019","Main scheme firm choice","19","Scotland","Female","Main scheme applicant","Main scheme application","25"
"2020","Main scheme firm choice","19","Scotland","Female","Main scheme applicant","Main scheme application","25"
"2021","Main scheme firm choice","19","Scotland","Female","Main scheme applicant","Main scheme application","15"
"2022","Main scheme firm choice","19","Scotland","Female","Main scheme applicant","Main scheme application","20"
"2023","Main scheme firm choice","19","Scotland","Female","Main scheme applicant","Main scheme application","30"
"2019","Main scheme firm choice","20","Scotland","Female","Main scheme applicant","Main scheme application","10"
"2020","Main scheme firm choice","20","Scotland","Female","Main scheme applicant","Main scheme application","10"
"2021","Main scheme firm choice","20","Scotland","Female","Main scheme applicant","Main scheme application","10"
"2022","Main scheme firm choice","20","Scotland","Female","Main scheme applicant","Main scheme application","15"
"2023","Main scheme firm choice","20","Scotland","Female","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","35"
"2020","Main scheme firm choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","45"
"2021","Main scheme firm choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","35"
"2022","Main scheme firm choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","40"
"2023","Main scheme firm choice","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","40"
"2020","Other main scheme choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","5"
"2021","Other main scheme choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","5"
"2022","Other main scheme choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","5"
"2019","Main scheme firm choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","40"
"2020","Main scheme firm choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","45"
"2021","Main scheme firm choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","50"
"2022","Main scheme firm choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","35"
"2023","Main scheme firm choice","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","35"
"2019","Main scheme firm choice","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","25"
"2020","Main scheme firm choice","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","35"
"2021","Main scheme firm choice","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","30"
"2022","Main scheme firm choice","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","25"
"2023","Main scheme firm choice","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","35"
"2019","Main scheme firm choice","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","25"
"2020","Main scheme firm choice","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","40"
"2021","Main scheme firm choice","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","25"
"2022","Main scheme firm choice","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","40"
