"Year","UK region declared county of residence","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2012","East Midlands","30 - 34","England","Female","Main scheme applicant","All","730","380","0.519","0"
"2013","East Midlands","30 - 34","England","Female","Main scheme applicant","All","660","365","0.555","0"
"2014","East Midlands","30 - 34","England","Female","Main scheme applicant","All","750","450","0.598","0"
"2015","East Midlands","30 - 34","England","Female","Main scheme applicant","All","620","390","0.631","0"
"2016","East Midlands","30 - 34","England","Female","Main scheme applicant","All","645","415","0.644","0"
"2017","East Midlands","30 - 34","England","Female","Main scheme applicant","All","530","375","0.706","0"
"2018","East Midlands","30 - 34","England","Female","Main scheme applicant","All","505","365","0.727","0"
"2019","East Midlands","30 - 34","England","Female","Main scheme applicant","All","460","310","0.679","0"
"2020","East Midlands","30 - 34","England","Female","Main scheme applicant","All","535","410","0.765","0"
"2021","East Midlands","30 - 34","England","Female","Main scheme applicant","All","630","415","0.657","0"
"2022","East Midlands","30 - 34","England","Female","Main scheme applicant","All","560","345","0.616","0"
"2023","East Midlands","30 - 34","England","Female","Main scheme applicant","All","590","355","0.6","0"
"2006","East of England","30 - 34","England","Female","Main scheme applicant","All","425","265","0.619","0"
"2007","East of England","30 - 34","England","Female","Main scheme applicant","All","400","240","0.596","0"
"2008","East of England","30 - 34","England","Female","Main scheme applicant","All","560","340","0.606","0"
"2009","East of England","30 - 34","England","Female","Main scheme applicant","All","720","455","0.636","0"
"2010","East of England","30 - 34","England","Female","Main scheme applicant","All","935","460","0.495","0"
"2011","East of England","30 - 34","England","Female","Main scheme applicant","All","950","440","0.462","0"
"2012","East of England","30 - 34","England","Female","Main scheme applicant","All","865","450","0.521","0"
"2013","East of England","30 - 34","England","Female","Main scheme applicant","All","895","465","0.518","0"
"2014","East of England","30 - 34","England","Female","Main scheme applicant","All","835","455","0.541","0"
"2015","East of England","30 - 34","England","Female","Main scheme applicant","All","795","440","0.55","0"
"2016","East of England","30 - 34","England","Female","Main scheme applicant","All","795","435","0.546","0"
"2017","East of England","30 - 34","England","Female","Main scheme applicant","All","625","385","0.617","0"
"2018","East of England","30 - 34","England","Female","Main scheme applicant","All","600","385","0.646","0"
"2019","East of England","30 - 34","England","Female","Main scheme applicant","All","595","405","0.683","0"
"2020","East of England","30 - 34","England","Female","Main scheme applicant","All","590","400","0.679","0"
"2021","East of England","30 - 34","England","Female","Main scheme applicant","All","745","480","0.645","0"
"2022","East of England","30 - 34","England","Female","Main scheme applicant","All","625","355","0.5670000000000001","0"
"2023","East of England","30 - 34","England","Female","Main scheme applicant","All","530","300","0.5640000000000001","0"
"2006","West Midlands","30 - 34","England","Female","Main scheme applicant","All","500","305","0.604","0"
"2007","West Midlands","30 - 34","England","Female","Main scheme applicant","All","520","315","0.602","0"
"2008","West Midlands","30 - 34","England","Female","Main scheme applicant","All","720","465","0.646","0"
"2009","West Midlands","30 - 34","England","Female","Main scheme applicant","All","945","590","0.625","0"
"2010","West Midlands","30 - 34","England","Female","Main scheme applicant","All","1155","615","0.533","0"
"2011","West Midlands","30 - 34","England","Female","Main scheme applicant","All","1110","605","0.546","0"
"2012","West Midlands","30 - 34","England","Female","Main scheme applicant","All","1095","585","0.532","0"
"2013","West Midlands","30 - 34","England","Female","Main scheme applicant","All","1095","610","0.558","0"
"2014","West Midlands","30 - 34","England","Female","Main scheme applicant","All","1220","700","0.5720000000000001","0"
"2015","West Midlands","30 - 34","England","Female","Main scheme applicant","All","1080","625","0.577","0"
"2016","West Midlands","30 - 34","England","Female","Main scheme applicant","All","1075","650","0.605","0"
"2017","West Midlands","30 - 34","England","Female","Main scheme applicant","All","905","635","0.7000000000000001","0"
"2018","West Midlands","30 - 34","England","Female","Main scheme applicant","All","810","550","0.681","0"
"2019","West Midlands","30 - 34","England","Female","Main scheme applicant","All","830","590","0.713","0"
"2020","West Midlands","30 - 34","England","Female","Main scheme applicant","All","870","640","0.737","0"
"2021","West Midlands","30 - 34","England","Female","Main scheme applicant","All","1000","685","0.687","0"
"2022","West Midlands","30 - 34","England","Female","Main scheme applicant","All","925","635","0.686","0"
"2023","West Midlands","30 - 34","England","Female","Main scheme applicant","All","805","520","0.648","0"
"2006","North West","30 - 34","England","Female","Main scheme applicant","All","765","495","0.648","0"
"2007","North West","30 - 34","England","Female","Main scheme applicant","All","765","500","0.656","0"
"2008","North West","30 - 34","England","Female","Main scheme applicant","All","1040","700","0.675","0"
"2009","North West","30 - 34","England","Female","Main scheme applicant","All","1200","760","0.632","0"
"2010","North West","30 - 34","England","Female","Main scheme applicant","All","1430","770","0.539","0"
"2011","North West","30 - 34","England","Female","Main scheme applicant","All","1435","775","0.54","0"
"2012","North West","30 - 34","England","Female","Main scheme applicant","All","1410","750","0.53","0"
"2013","North West","30 - 34","England","Female","Main scheme applicant","All","1325","725","0.546","0"
"2014","North West","30 - 34","England","Female","Main scheme applicant","All","1380","805","0.584","0"
"2015","North West","30 - 34","England","Female","Main scheme applicant","All","1385","795","0.5740000000000001","0"
"2016","North West","30 - 34","England","Female","Main scheme applicant","All","1380","800","0.58","0"
"2017","North West","30 - 34","England","Female","Main scheme applicant","All","1095","770","0.7000000000000001","0"
"2018","North West","30 - 34","England","Female","Main scheme applicant","All","1050","700","0.664","0"
"2019","North West","30 - 34","England","Female","Main scheme applicant","All","1060","745","0.7020000000000001","0"
"2020","North West","30 - 34","England","Female","Main scheme applicant","All","1185","845","0.714","0"
"2021","North West","30 - 34","England","Female","Main scheme applicant","All","1400","885","0.632","0"
"2022","North West","30 - 34","England","Female","Main scheme applicant","All","1225","790","0.645","0"
"2023","North West","30 - 34","England","Female","Main scheme applicant","All","970","625","0.644","0"
"2006","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","540","355","0.654","0"
"2007","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","470","315","0.665","0"
"2008","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","470","310","0.658","0"
"2009","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","605","395","0.651","0"
"2010","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","1030","555","0.538","0"
"2011","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","1115","610","0.548","0"
"2012","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","985","540","0.548","0"
"2013","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","1025","560","0.545","0"
"2014","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","1105","585","0.532","0"
"2015","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","1520","830","0.546","0"
"2016","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","1605","820","0.51","0"
"2017","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","1695","1025","0.604","0"
"2018","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","1685","995","0.59","0"
"2019","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","1705","1025","0.601","0"
"2020","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","1825","1160","0.634","0"
"2021","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","2110","1195","0.5680000000000001","0"
"2022","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","1705","1060","0.622","0"
"2023","Scotland","30 - 34","Scotland","Female","Main scheme applicant","All","1355","920","0.68","0"
"2006","London","30 - 34","England","Female","Main scheme applicant","All","1180","630","0.536","0"
"2007","London","30 - 34","England","Female","Main scheme applicant","All","1200","655","0.546","0"
"2008","London","30 - 34","England","Female","Main scheme applicant","All","1590","925","0.58","0"
"2009","London","30 - 34","England","Female","Main scheme applicant","All","1930","1025","0.532","0"
"2010","London","30 - 34","England","Female","Main scheme applicant","All","2580","1200","0.465","0"
"2011","London","30 - 34","England","Female","Main scheme applicant","All","2610","1170","0.449","0"
"2012","London","30 - 34","England","Female","Main scheme applicant","All","2380","1045","0.439","0"
"2013","London","30 - 34","England","Female","Main scheme applicant","All","2295","1100","0.48","0"
"2014","London","30 - 34","England","Female","Main scheme applicant","All","2310","1110","0.48","0"
"2015","London","30 - 34","England","Female","Main scheme applicant","All","2200","1120","0.51","0"
"2016","London","30 - 34","England","Female","Main scheme applicant","All","2260","1220","0.54","0"
"2017","London","30 - 34","England","Female","Main scheme applicant","All","1765","980","0.556","0"
"2018","London","30 - 34","England","Female","Main scheme applicant","All","1585","990","0.625","0"
"2019","London","30 - 34","England","Female","Main scheme applicant","All","1555","995","0.642","0"
"2020","London","30 - 34","England","Female","Main scheme applicant","All","1685","1115","0.661","0"
"2021","London","30 - 34","England","Female","Main scheme applicant","All","1880","1090","0.58","0"
"2022","London","30 - 34","England","Female","Main scheme applicant","All","1420","790","0.557","0"
"2023","London","30 - 34","England","Female","Main scheme applicant","All","1145","660","0.5760000000000001","0"
