"Year","POLAR4 Quintile","Age group","Domicile","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2020","Quintile 4","25 - 29","England","Female","85","20","15"
"2021","Quintile 4","25 - 29","England","Female","50","15","10"
"2022","Quintile 4","25 - 29","England","Female","40","15","10"
"2023","Quintile 4","25 - 29","England","Female","65","20","15"
"2020","Quintile 4","25 - 29","Scotland","Female","20","5","0"
"2021","Quintile 4","25 - 29","Scotland","Female","5","0","0"
"2022","Quintile 4","25 - 29","Scotland","Female","10","0","0"
"2023","Quintile 4","25 - 29","Scotland","Female","5","5","0"
"2020","Quintile 4","25 - 29","Wales","Female","5","5","5"
"2021","Quintile 4","25 - 29","Wales","Female","5","0","0"
"2022","Quintile 4","25 - 29","Wales","Female","5","0","0"
"2023","Quintile 4","25 - 29","Wales","Female","5","0","0"
"2020","Quintile 5","25 - 29","Northern Ireland","Female","5","0","0"
"2020","Quintile 5","25 - 29","England","Female","65","30","20"
"2021","Quintile 5","25 - 29","England","Female","45","10","5"
"2022","Quintile 5","25 - 29","England","Female","30","5","5"
"2023","Quintile 5","25 - 29","England","Female","60","15","10"
"2020","Quintile 5","25 - 29","Scotland","Female","15","5","5"
"2021","Quintile 5","25 - 29","Scotland","Female","10","0","0"
"2022","Quintile 5","25 - 29","Scotland","Female","10","0","0"
"2023","Quintile 5","25 - 29","Scotland","Female","10","5","5"
"2021","Quintile 5","25 - 29","Wales","Female","5","0","0"
"2023","Quintile 5","25 - 29","Wales","Female","5","0","0"
"2020","Quintile 1","30 - 34","England","Female","70","25","15"
"2021","Quintile 1","30 - 34","England","Female","40","10","10"
"2022","Quintile 1","30 - 34","England","Female","35","10","5"
"2023","Quintile 1","30 - 34","England","Female","55","20","15"
"2020","Quintile 1","30 - 34","Scotland","Female","5","0","0"
"2021","Quintile 1","30 - 34","Wales","Female","10","5","0"
"2023","Quintile 1","30 - 34","Wales","Female","5","5","0"
"2020","Quintile 2","30 - 34","England","Female","65","25","20"
"2021","Quintile 2","30 - 34","England","Female","30","10","5"
"2022","Quintile 2","30 - 34","England","Female","35","10","10"
"2023","Quintile 2","30 - 34","England","Female","50","15","10"
"2020","Quintile 2","30 - 34","Scotland","Female","5","5","0"
"2021","Quintile 2","30 - 34","Scotland","Female","5","0","0"
"2023","Quintile 2","30 - 34","Scotland","Female","5","0","0"
"2020","Quintile 2","30 - 34","Wales","Female","5","5","5"
"2021","Quintile 2","30 - 34","Wales","Female","5","5","0"
"2022","Quintile 2","30 - 34","Wales","Female","5","0","0"
"2023","Quintile 2","30 - 34","Wales","Female","5","5","0"
"2020","Quintile 3","30 - 34","England","Female","65","20","15"
"2021","Quintile 3","30 - 34","England","Female","40","15","15"
"2022","Quintile 3","30 - 34","England","Female","35","10","5"
"2023","Quintile 3","30 - 34","England","Female","40","15","5"
"2020","Quintile 3","30 - 34","Scotland","Female","5","0","0"
"2021","Quintile 3","30 - 34","Scotland","Female","10","0","0"
"2023","Quintile 3","30 - 34","Scotland","Female","5","0","0"
"2020","Quintile 3","30 - 34","Wales","Female","5","0","0"
"2021","Quintile 3","30 - 34","Wales","Female","5","0","0"
"2023","Quintile 3","30 - 34","Wales","Female","5","0","0"
"2020","Quintile 4","30 - 34","England","Female","65","25","20"
"2021","Quintile 4","30 - 34","England","Female","40","10","5"
"2022","Quintile 4","30 - 34","England","Female","35","10","5"
"2023","Quintile 4","30 - 34","England","Female","45","10","5"
"2020","Quintile 4","30 - 34","Scotland","Female","10","0","0"
"2021","Quintile 4","30 - 34","Scotland","Female","5","0","0"
"2023","Quintile 4","30 - 34","Scotland","Female","5","0","0"
"2020","Quintile 4","30 - 34","Wales","Female","5","0","0"
"2023","Quintile 4","30 - 34","Wales","Female","5","0","0"
"2020","Quintile 5","30 - 34","England","Female","45","10","5"
"2021","Quintile 5","30 - 34","England","Female","40","10","10"
"2022","Quintile 5","30 - 34","England","Female","25","10","10"
"2023","Quintile 5","30 - 34","England","Female","30","10","10"
"2020","Quintile 5","30 - 34","Scotland","Female","10","0","0"
"2021","Quintile 5","30 - 34","Scotland","Female","5","5","5"
"2022","Quintile 5","30 - 34","Scotland","Female","5","0","0"
"2023","Quintile 5","30 - 34","Scotland","Female","5","0","0"
"2020","Quintile 1","35 and over","Northern Ireland","Female","5","0","0"
"2023","Quintile 1","35 and over","Northern Ireland","Female","5","0","0"
"2020","Quintile 1","35 and over","England","Female","135","40","30"
"2021","Quintile 1","35 and over","England","Female","115","25","15"
"2022","Quintile 1","35 and over","England","Female","80","20","15"
"2023","Quintile 1","35 and over","England","Female","90","35","25"
"2020","Quintile 1","35 and over","Scotland","Female","10","0","0"
"2021","Quintile 1","35 and over","Scotland","Female","5","0","0"
"2020","Quintile 1","35 and over","Wales","Female","15","5","5"
"2021","Quintile 1","35 and over","Wales","Female","10","5","5"
"2022","Quintile 1","35 and over","Wales","Female","5","0","0"
"2023","Quintile 1","35 and over","Wales","Female","5","0","0"
"2020","Quintile 2","35 and over","England","Female","145","70","55"
"2021","Quintile 2","35 and over","England","Female","85","20","15"
"2022","Quintile 2","35 and over","England","Female","85","20","10"
"2023","Quintile 2","35 and over","England","Female","105","30","20"
"2020","Quintile 2","35 and over","Scotland","Female","10","0","0"
"2022","Quintile 2","35 and over","Scotland","Female","10","5","0"
"2023","Quintile 2","35 and over","Scotland","Female","10","5","0"
"2020","Quintile 2","35 and over","Wales","Female","10","5","5"
"2021","Quintile 2","35 and over","Wales","Female","10","5","5"
"2022","Quintile 2","35 and over","Wales","Female","10","5","5"
"2023","Quintile 2","35 and over","Wales","Female","10","0","0"
"2020","Quintile 3","35 and over","Northern Ireland","Female","5","0","0"
"2020","Quintile 3","35 and over","England","Female","135","55","45"
"2021","Quintile 3","35 and over","England","Female","120","30","20"
"2022","Quintile 3","35 and over","England","Female","90","25","15"
"2023","Quintile 3","35 and over","England","Female","105","35","20"
"2020","Quintile 3","35 and over","Scotland","Female","15","5","0"
"2021","Quintile 3","35 and over","Scotland","Female","5","0","0"
"2022","Quintile 3","35 and over","Scotland","Female","5","0","0"
"2023","Quintile 3","35 and over","Scotland","Female","5","0","0"
"2020","Quintile 3","35 and over","Wales","Female","5","0","0"
"2021","Quintile 3","35 and over","Wales","Female","10","5","5"
"2023","Quintile 3","35 and over","Wales","Female","10","5","0"
"2020","Quintile 4","35 and over","England","Female","150","45","25"
"2021","Quintile 4","35 and over","England","Female","120","25","20"
"2022","Quintile 4","35 and over","England","Female","115","20","15"
"2023","Quintile 4","35 and over","England","Female","135","35","25"
"2020","Quintile 4","35 and over","Scotland","Female","20","5","5"
"2021","Quintile 4","35 and over","Scotland","Female","10","5","5"
"2022","Quintile 4","35 and over","Scotland","Female","10","5","0"
