"Year","POLAR4 Quintile","Age group","Domicile","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2019","Quintile 1","21 - 24","Scotland","Female","5","0","0"
"2020","Quintile 1","21 - 24","Scotland","Female","10","10","10"
"2021","Quintile 1","21 - 24","Scotland","Female","5","0","0"
"2022","Quintile 1","21 - 24","Scotland","Female","5","5","0"
"2023","Quintile 1","21 - 24","Scotland","Female","10","5","5"
"2019","Quintile 1","21 - 24","Wales","Female","5","0","0"
"2020","Quintile 1","21 - 24","Wales","Female","5","0","0"
"2021","Quintile 1","21 - 24","Wales","Female","5","5","5"
"2022","Quintile 1","21 - 24","Wales","Female","10","5","5"
"2023","Quintile 1","21 - 24","Wales","Female","5","5","5"
"2021","Quintile 2","21 - 24","Northern Ireland","Female","5","0","0"
"2022","Quintile 2","21 - 24","Northern Ireland","Female","5","5","5"
"2023","Quintile 2","21 - 24","Northern Ireland","Female","5","5","5"
"2019","Quintile 2","21 - 24","England","Female","75","50","50"
"2020","Quintile 2","21 - 24","England","Female","80","60","60"
"2021","Quintile 2","21 - 24","England","Female","120","60","55"
"2022","Quintile 2","21 - 24","England","Female","85","55","50"
"2023","Quintile 2","21 - 24","England","Female","95","55","50"
"2019","Quintile 2","21 - 24","Scotland","Female","5","5","5"
"2020","Quintile 2","21 - 24","Scotland","Female","10","5","5"
"2021","Quintile 2","21 - 24","Scotland","Female","10","5","5"
"2022","Quintile 2","21 - 24","Scotland","Female","10","5","5"
"2023","Quintile 2","21 - 24","Scotland","Female","5","5","5"
"2020","Quintile 2","21 - 24","Wales","Female","5","5","5"
"2021","Quintile 2","21 - 24","Wales","Female","10","5","5"
"2022","Quintile 2","21 - 24","Wales","Female","5","5","5"
"2019","Quintile 3","21 - 24","Northern Ireland","Female","10","5","5"
"2020","Quintile 3","21 - 24","Northern Ireland","Female","5","0","0"
"2021","Quintile 3","21 - 24","Northern Ireland","Female","5","0","0"
"2022","Quintile 3","21 - 24","Northern Ireland","Female","5","0","0"
