"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","International","Not EU","Nigeria","21 - 24","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","England","England","25 - 29","Male","Not main scheme applicant","Not main scheme application","45","40","0.909","0"
"2020","UK","England","England","25 - 29","Male","Not main scheme applicant","Not main scheme application","90","75","0.8200000000000001","0"
"2021","UK","England","England","25 - 29","Male","Not main scheme applicant","Not main scheme application","40","35","0.875","0"
"2022","UK","England","England","25 - 29","Male","Not main scheme applicant","Not main scheme application","55","50","0.891","0"
"2023","UK","England","England","25 - 29","Male","Not main scheme applicant","Not main scheme application","60","35","0.638","0"
"2019","UK","Scotland","Scotland","25 - 29","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Scotland","Scotland","25 - 29","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","UK","Scotland","Scotland","25 - 29","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","Scotland","Scotland","25 - 29","Male","Not main scheme applicant","Not main scheme application","15","15","0.933","0"
"2019","UK","Wales","Wales","25 - 29","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Wales","Wales","25 - 29","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","Wales","Wales","25 - 29","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Wales","Wales","25 - 29","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","UK","Wales","Wales","25 - 29","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","International","Not EU","Ghana","25 - 29","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","International","Not EU","Nigeria","25 - 29","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","International","Not EU","Nigeria","25 - 29","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","England","England","30 - 34","Male","Not main scheme applicant","Not main scheme application","40","35","0.857","0"
"2020","UK","England","England","30 - 34","Male","Not main scheme applicant","Not main scheme application","70","50","0.732","0"
"2021","UK","England","England","30 - 34","Male","Not main scheme applicant","Not main scheme application","40","30","0.744","0"
